gvkey,indfmt,consol,popsrc,fyr,datafmt,airafxpgq,airafxpgq_dc,airaskq,airaskq_dc,airasmq,airasmq_dc,airfcgq,airfcgq_dc,airfltq,airfltq_dc,airoeasmq,airoeasmq_dc,airplfq,airplfq_dc,airprasmq,airprasmq_dc,airprevq,airprevq_dc,airprrpmq,airprrpmq_dc,airrpcq,airrpcq_dc,airrpkq,airrpkq_dc,airrpmq,airrpmq_dc,airtfxq,airtfxq_dc,airtrasmq,airtrasmq_dc,datadate,conm,tic,cusip
001230,INDL,C,D,12,STD,,,,,6334000.0000,,86500.0000,,170.0000,,,,79.5400,,11.8200,,748.4000,,14.8600,,5225.0000,,,,5038000.0000,,207.3000,,13.1000,,20100331,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,,,,,6945000.0000,,94300.0000,,173.0000,,,,82.0000,,12.6900,,881.5000,,15.4800,,5875.0000,,,,5695000.0000,,255.0000,,14.0600,,20100630,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,,,,,7379000.0000,,100300.0000,,168.0000,,,,84.7000,,13.1900,,973.5000,,15.5800,,6389.0000,,,,6248000.0000,,220.9000,,14.4700,,20100930,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,,,,,7011000.0000,,96200.0000,,168.0000,,,,83.0000,,12.4000,,869.5000,,14.9400,,5845.0000,,,,5819000.0000,,217.7000,,13.6700,,20101231,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,202.0000,,,,7112000.0000,,96300.0000,,171.0000,,11.6900,,82.3000,,12.3600,,878.9000,,15.0200,,5752.0000,,,,5853000.0000,,194.5000,,13.5700,,20110331,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,399.0000,,,,7469000.0000,,98600.0000,,166.0000,,14.0900,,84.3000,,13.5800,,1014.2000,,16.1200,,6246.0000,,,,6293000.0000,,393.8000,,14.8600,,20110630,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,405.0000,,,,7748000.0000,,103800.0000,,165.0000,,8.1700,,86.5000,,14.2100,,1100.8000,,16.4200,,6709.0000,,,,6703000.0000,,420.1000,,15.4600,,20110930,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,290.0000,,,,7298000.0000,,98500.0000,,165.0000,,12.7500,,84.7000,,13.1100,,956.8000,,15.4700,,6083.0000,,,,6183000.0000,,285.6000,,14.3100,,20111231,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,321.0000,,,,7344000.0000,,99400.0000,,167.0000,,13.1700,,84.9000,,12.9400,,950.4000,,15.2500,,5995.0000,,,,6232000.0000,,318.8000,,14.1500,,20120331,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,406.0000,,,,7939000.0000,,106400.0000,,170.0000,,13.8200,,86.5000,,13.2300,,1050.3000,,15.2900,,6565.0000,,,,6869000.0000,,431.8000,,15.2800,,20120630,ALASKA AIR GROUP INC,ALK,011659109
