gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,tic,conm,curcdq,datacqtr,datafqtr,dvpq,epsf12,epsfxq,ibq,revtq,exchg,costat,dvpspq,mkvaltq,prccq,ggroup,gind,gsector,gsubind
003851,20090630,2009,2,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2009Q2,2009Q2,0.0000,-3.5100,-0.3100,-257.0000,7000.0000,11,A,0.0000,4502.5646,5.7900,2030,203020,20,20302010
003851,20090930,2009,3,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2009Q3,2009Q3,0.0000,-3.5800,-0.1900,-161.0000,7574.0000,11,A,0.0000,6984.5171,8.9600,2030,203020,20,20302010
003851,20091231,2009,4,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2009Q4,2009Q4,0.0000,-1.5000,-0.0300,-25.0000,6805.0000,11,A,0.0000,8921.4079,11.3800,2030,203020,20,20302010
003851,20100331,2010,1,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2010Q1,2010Q1,0.0000,-0.8400,-0.3100,-256.0000,6848.0000,11,A,0.0000,11488.0055,14.5900,2030,203020,20,20302010
003851,20100630,2010,2,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2010Q2,2010Q2,0.0000,0.0300,0.5500,467.0000,8168.0000,11,A,0.0000,9268.9758,11.7500,2030,203020,20,20302010
003851,20100930,2010,3,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2010Q3,2010Q3,0.0000,0.6500,0.4300,363.0000,8950.0000,11,A,0.0000,9183.0404,11.6400,2030,203020,20,20302010
003851,20101231,2010,4,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2010Q4,2010Q4,0.0000,0.7000,0.0200,19.0000,7789.0000,11,A,0.0000,10517.5224,12.6000,2030,203020,20,20302010
003851,20110331,2011,1,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2011Q1,2011Q1,0.0000,0.6200,-0.3800,-318.0000,7747.0000,11,A,0.0000,8284.2340,9.8000,2030,203020,20,20302010
003851,20110630,2011,2,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2011Q2,2011Q2,0.0000,0.3100,0.2300,198.0000,9153.0000,11,A,0.0000,7758.3977,9.1700,2030,203020,20,20302010
003851,20110930,2011,3,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2011Q3,2011Q3,0.0000,0.5300,0.6500,549.0000,9816.0000,11,A,0.0000,6353.5800,7.5000,2030,203020,20,20302010
003851,20111231,2011,4,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2011Q4,2011Q4,0.0000,1.0100,0.5000,425.0000,8399.0000,11,A,0.0000,6838.0401,8.0900,2030,203020,20,20302010
003851,20120331,2012,1,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2012Q1,2012Q1,0.0000,1.5300,0.1500,124.0000,8413.0000,11,A,0.0000,8423.8633,9.9150,2030,203020,20,20302010
003851,20120630,2012,2,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2012Q2,2012Q2,0.0000,1.1000,-0.2000,-168.0000,9732.0000,11,A,0.0000,9310.9055,10.9500,2030,203020,20,20302010
003851,20120930,2012,3,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2012Q3,2012Q3,0.0000,1.6800,1.2300,1047.0000,9923.0000,11,A,0.0000,7790.1220,9.1600,2030,203020,20,20302010
003851,20121231,2012,4,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2012Q4,2012Q4,0.0000,1.1900,0.0100,6.0000,8602.0000,11,A,0.0000,10106.1536,11.8700,2030,203020,20,20302010
003851,20130331,2013,1,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2013Q1,2013Q1,0.0000,1.0500,0.0100,7.0000,8500.0000,11,A,0.0000,14139.5107,16.5100,2030,203020,20,20302010
003851,20130630,2013,2,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2013Q2,2013Q2,0.0000,2.0500,0.8000,685.0000,9707.0000,11,A,0.0000,16052.2445,18.7100,2030,203020,20,20302010
003851,20130930,2013,3,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2013Q3,2013Q3,0.0000,2.4100,1.5900,1369.0000,10490.0000,11,A,0.0600,20182.3301,23.5900,2030,203020,20,20302010
003851,20131231,2013,4,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2013Q4,2013Q4,0.0000,12.2900,9.8900,8479.0000,9076.0000,11,A,0.0600,23389.1392,27.4700,2030,203020,20,20302010
003851,20140331,2014,1,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2014Q1,2014Q1,0.0000,12.5300,0.2500,213.0000,8916.0000,11,A,0.0600,29383.6851,34.6500,2030,203020,20,20302010
003851,20140630,2014,2,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2014Q2,2014Q2,0.0000,12.6700,0.9400,801.0000,10621.0000,11,A,0.0600,32641.1923,38.7200,2030,203020,20,20302010
003851,20140930,2014,3,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2014Q3,2014Q3,0.0000,11.5000,0.4200,357.0000,11178.0000,11,A,0.0900,30255.4172,36.1500,2030,203020,20,20302010
003851,20141231,2014,4,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2014Q4,2014Q4,0.0000,0.7800,-0.8600,-712.0000,9647.0000,11,A,0.0900,40594.4410,49.1900,2030,203020,20,20302010
003851,20150331,2015,1,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2015Q1,2015Q1,0.0000,1.4000,0.9000,746.0000,9388.0000,11,A,0.0900,36700.7131,44.9600,2030,203020,20,20302010
003851,20150630,2015,2,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2015Q2,2015Q2,0.0000,2.2800,1.8300,1485.0000,10707.0000,11,A,0.0900,32674.9498,41.0800,2030,203020,20,20302010
003851,20150930,2015,3,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2015Q3,2015Q3,0.0000,3.5100,1.6500,1315.0000,11107.0000,11,A,0.1350,35289.0884,44.8700,2030,203020,20,20302010
003851,20151231,2015,4,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2015Q4,2015Q4,0.0000,5.6300,1.2500,980.0000,9502.0000,11,A,0.1350,39476.5610,50.6900,2030,203020,20,20302010
003851,20160331,2016,1,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2016Q1,2016Q1,0.0000,5.9400,1.2100,946.0000,9251.0000,11,A,0.1350,37560.5631,48.6800,2030,203020,20,20302010
003851,20160630,2016,2,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2016Q2,2016Q2,0.0000,6.1300,2.0300,1546.0000,10447.0000,11,A,0.1350,27282.7184,36.4300,2030,203020,20,20302010
003851,20160930,2016,3,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2016Q3,2016Q3,0.0000,6.1700,1.6900,1259.0000,10483.0000,11,A,0.2025,28984.1136,39.3600,2030,203020,20,20302010
003851,20161231,2016,4,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2016Q4,2016Q4,0.0000,5.7900,0.8400,622.0000,9458.0000,11,A,0.2025,35945.0022,49.1900,2030,203020,20,20302010
003851,20170331,2017,1,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2017Q1,2017Q1,0.0000,5.3300,0.7700,561.0000,9101.0000,11,A,0.2025,33804.9588,45.9600,2030,203020,20,20302010
003851,20170630,2017,2,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2017Q2,2017Q2,0.0000,4.9200,1.6200,1186.0000,10747.0000,11,A,0.2025,38909.3722,53.7400,2030,203020,20,20302010
003851,20170930,2017,3,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2017Q3,2017Q3,0.0000,4.8400,1.6100,1160.0000,11062.0000,11,A,0.3050,34379.5581,48.2200,2030,203020,20,20302010
003851,20171231,2017,4,12,INDL,C,D,STD,DAL,DELTA AIR LINES INC,USD,2017Q4,2017Q4,0.0000,4.4300,0.4200,298.0000,10228.0000,11,A,0.3050,39603.0880,56.0000,2030,203020,20,20302010
