gvkey,indfmt,consol,popsrc,fyr,datafmt,airafxpgq,airafxpgq_dc,airaskq,airaskq_dc,airasmq,airasmq_dc,airfcgq,airfcgq_dc,airfltq,airfltq_dc,airoeasmq,airoeasmq_dc,airplfq,airplfq_dc,airprasmq,airprasmq_dc,airprevq,airprevq_dc,airprrpmq,airprrpmq_dc,airrpcq,airrpcq_dc,airrpkq,airrpkq_dc,airrpmq,airrpmq_dc,airtfxq,airtfxq_dc,airtrasmq,airtrasmq_dc,datadate,conm,tic,cusip
003851,INDL,C,D,12,STD,206.0000,,,,59029000.0000,,984000.0000,,1017.0000,,11.5500,,83.1000,,10.0000,,5903.0000,,12.0400,,,,,,49053000.0000,,1812.0000,,11.8600,,20090630,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,213.0000,,,,62234000.0000,,1043000.0000,,1001.0000,,11.5600,,85.8000,,10.4800,,6524.0000,,12.2200,,,,,,53371000.0000,,1973.0000,,12.1700,,20090930,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,217.0000,,,,53324000.0000,,902000.0000,,983.0000,,12.5200,,81.7000,,10.8400,,5779.0000,,13.2700,,,,,,43559000.0000,,1706.0000,,12.7600,,20091231,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,223.0000,,,,53301000.0000,,871000.0000,,966.0000,,12.3600,,79.5000,,10.8900,,5806.0000,,13.7000,,,,,,42367000.0000,,1683.0000,,12.8500,,20100331,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,232.0000,,,,58698000.0000,,965000.0000,,958.0000,,12.1800,,85.0000,,11.9400,,7009.0000,,14.0500,,,,,,49894000.0000,,1960.0000,,13.9200,,20100630,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,229.0000,,,,63658000.0000,,1051000.0000,,821.0000,,12.4800,,85.9000,,12.2100,,7775.0000,,14.2200,,,,,,54675000.0000,,2023.0000,,14.0600,,20100930,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,247.0000,,,,57027000.0000,,936000.0000,,815.0000,,12.8300,,81.1000,,11.6900,,6668.0000,,14.4200,,,,,,46233000.0000,,1928.0000,,13.6600,,20101231,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,286.0000,,,,56219000.0000,,919000.0000,,805.0000,,13.9400,,76.4000,,11.6900,,6575.0000,,15.3200,,,,,,42929000.0000,,2166.0000,,13.7800,,20110331,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,322.0000,,,,60141000.0000,,992000.0000,,803.0000,,14.4200,,83.7000,,13.1200,,7891.0000,,15.6700,,,,,,50366000.0000,,2663.0000,,15.2200,,20110630,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,309.0000,,,,63262000.0000,,1044000.0000,,790.0000,,14.1600,,86.1000,,13.5400,,8568.0000,,15.7200,,,,,,54497000.0000,,2881.0000,,15.5200,,20110930,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,297.0000,,,,55034000.0000,,901000.0000,,775.0000,,13.9400,,81.7000,,13.1200,,7223.0000,,16.0600,,,,,,44975000.0000,,2020.0000,,15.2600,,20111231,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,311.0000,,,,54408000.0000,,886000.0000,,770.0000,,14.7600,,79.7000,,13.2800,,7226.0000,,16.6700,,,,,,43351000.0000,,2233.0000,,15.4600,,20120331,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,337.0000,,,,59382000.0000,,968000.0000,,773.0000,,16.1600,,85.1000,,14.2300,,8451.0000,,16.7300,,,,,,50520000.0000,,3305.0000,,16.3900,,20120630,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,314.0000,,,,62283000.0000,,1021000.0000,,725.0000,,13.8300,,86.4000,,13.9600,,8692.0000,,16.1500,,,,,,53828000.0000,,2221.0000,,15.9300,,20120930,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,324.0000,,,,54342000.0000,,894000.0000,,717.0000,,15.1300,,83.3000,,13.6900,,7438.0000,,16.4300,,,,,,45275000.0000,,2391.0000,,15.8300,,20121231,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,324.0000,,,,53022000.0000,,875000.0000,,719.0000,,15.6100,,81.2000,,13.8300,,7333.0000,,17.0200,,,,,,43078000.0000,,2808.0000,,16.0300,,20130331,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,303.0000,,,,59880000.0000,,981000.0000,,908.0000,,14.6900,,84.8000,,14.1900,,8494.0000,,16.7300,,,,,,50781000.0000,,3102.0000,,16.2100,,20130630,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,297.0000,,,,63893000.0000,,1050000.0000,,900.0000,,13.9700,,86.0000,,14.4800,,9254.0000,,16.8500,,,,,,54939000.0000,,2835.0000,,16.4200,,20130930,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,305.0000,,,,55945000.0000,,922000.0000,,743.0000,,14.9700,,82.6000,,14.0700,,7874.0000,,17.0500,,,,,,46190000.0000,,2719.0000,,16.2200,,20131231,DELTA AIR LINES INC,DAL,247361702
003851,INDL,C,D,12,STD,303.0000,,,,53904000.0000,,881000.0000,,909.0000,,15.3900,,82.7000,,14.2400,,7677.0000,,17.2100,,,,,,44601000.0000,,2699.0000,,16.5400,,20140331,DELTA AIR LINES INC,DAL,247361702
