gvkey,iid,datadate,tic,conm,cshoc,cshtrd,eps,epsmo,prccd,exchg,spcindcd,spcseccd
003851,03,20100104,DAL,DELTA AIR LINES INC,779522000.0000,14482470.0000,-1.6400,9,11.2200,11,605,600
003851,03,20100105,DAL,DELTA AIR LINES INC,779522000.0000,25065900.0000,-1.6400,9,12.1000,11,605,600
003851,03,20100106,DAL,DELTA AIR LINES INC,779522000.0000,14980680.0000,-1.6400,9,12.1100,11,605,600
003851,03,20100107,DAL,DELTA AIR LINES INC,779522000.0000,19812230.0000,-1.6400,9,12.6900,11,605,600
003851,03,20100108,DAL,DELTA AIR LINES INC,779522000.0000,24589160.0000,-1.6400,9,12.4700,11,605,600
003851,03,20100111,DAL,DELTA AIR LINES INC,779522000.0000,16220400.0000,-1.6400,9,12.7900,11,605,600
003851,03,20100112,DAL,DELTA AIR LINES INC,779522000.0000,12905460.0000,-1.6400,9,12.5400,11,605,600
003851,03,20100113,DAL,DELTA AIR LINES INC,779522000.0000,11763180.0000,-1.6400,9,12.8500,11,605,600
003851,03,20100114,DAL,DELTA AIR LINES INC,779522000.0000,12026740.0000,-1.6400,9,13.1700,11,605,600
003851,03,20100115,DAL,DELTA AIR LINES INC,779522000.0000,9127433.0000,-1.6400,9,12.7400,11,605,600
003851,03,20100119,DAL,DELTA AIR LINES INC,779522000.0000,9836092.0000,-1.6400,9,13.0300,11,605,600
003851,03,20100120,DAL,DELTA AIR LINES INC,779522000.0000,20133710.0000,-1.6400,9,13.4100,11,605,600
003851,03,20100121,DAL,DELTA AIR LINES INC,779522000.0000,24669150.0000,-1.6400,9,13.4400,11,605,600
003851,03,20100122,DAL,DELTA AIR LINES INC,779522000.0000,22279150.0000,-1.6400,9,13.2900,11,605,600
003851,03,20100125,DAL,DELTA AIR LINES INC,779522000.0000,19299520.0000,-1.6400,9,13.3300,11,605,600
003851,03,20100126,DAL,DELTA AIR LINES INC,779522000.0000,16290580.0000,-1.2900,12,13.1500,11,605,600
003851,03,20100127,DAL,DELTA AIR LINES INC,779522000.0000,24581360.0000,-1.2900,12,13.1600,11,605,600
003851,03,20100128,DAL,DELTA AIR LINES INC,779522000.0000,17086470.0000,-1.2900,12,12.6500,11,605,600
003851,03,20100129,DAL,DELTA AIR LINES INC,779522000.0000,19293990.0000,-1.2900,12,12.2300,11,605,600
003851,03,20100201,DAL,DELTA AIR LINES INC,779522000.0000,9685639.0000,-1.2900,12,12.6300,11,605,600
003851,03,20100202,DAL,DELTA AIR LINES INC,779522000.0000,12952090.0000,-1.2900,12,12.9000,11,605,600
003851,03,20100203,DAL,DELTA AIR LINES INC,779522000.0000,9609502.0000,-1.2900,12,12.4200,11,605,600
003851,03,20100204,DAL,DELTA AIR LINES INC,779522000.0000,17073290.0000,-1.2900,12,11.4600,11,605,600
003851,03,20100205,DAL,DELTA AIR LINES INC,779522000.0000,20002940.0000,-1.2900,12,11.3000,11,605,600
003851,03,20100208,DAL,DELTA AIR LINES INC,779522000.0000,9295643.0000,-1.2900,12,11.2500,11,605,600
003851,03,20100209,DAL,DELTA AIR LINES INC,779522000.0000,23978610.0000,-1.2900,12,12.3900,11,605,600
003851,03,20100210,DAL,DELTA AIR LINES INC,779522000.0000,19455710.0000,-1.2900,12,11.5800,11,605,600
003851,03,20100211,DAL,DELTA AIR LINES INC,779522000.0000,14521720.0000,-1.2900,12,11.8300,11,605,600
003851,03,20100212,DAL,DELTA AIR LINES INC,779522000.0000,12768520.0000,-1.2900,12,12.2500,11,605,600
003851,03,20100216,DAL,DELTA AIR LINES INC,779522000.0000,7985531.0000,-1.2900,12,12.4800,11,605,600
003851,03,20100217,DAL,DELTA AIR LINES INC,779522000.0000,10321490.0000,-1.2900,12,12.7300,11,605,600
003851,03,20100218,DAL,DELTA AIR LINES INC,779522000.0000,7195442.0000,-1.2900,12,12.5500,11,605,600
