DATE,AIRRTMFMD11
2000-01-01,2466758
2000-02-01,2521869
2000-03-01,2489976
2000-04-01,2557049
2000-05-01,2527790
2000-06-01,2519990
2000-07-01,2502040
2000-08-01,2579462
2000-09-01,2759579
2000-10-01,2650276
2000-11-01,2615405
2000-12-01,2614982
2001-01-01,2553688
2001-02-01,2547148
2001-03-01,2479795
2001-04-01,2410641
2001-05-01,2417117
2001-06-01,2477122
2001-07-01,2246758
2001-08-01,2318217
2001-09-01,2047332
2001-10-01,2239403
2001-11-01,2185191
2001-12-01,2250979
2002-01-01,2277695
2002-02-01,2274990
2002-03-01,2362974
2002-04-01,2381273
2002-05-01,2415978
2002-06-01,2495460
2002-07-01,2523018
2002-08-01,2498239
2002-09-01,2425782
2002-10-01,3096637
2002-11-01,2901074
2002-12-01,2763838
2003-01-01,2851428
2003-02-01,2769593
2003-03-01,2736766
2003-04-01,2729539
2003-05-01,2770896
2003-06-01,2680529
2003-07-01,2794906
2003-08-01,2822218
2003-09-01,2765853
2003-10-01,2876784
2003-11-01,2873646
2003-12-01,2862609
2004-01-01,2911589
2004-02-01,3125389
2004-03-01,3024688
2004-04-01,3086041
2004-05-01,3101807
2004-06-01,3116121
2004-07-01,3215743
2004-08-01,3099434
2004-09-01,3251360
2004-10-01,3303698
2004-11-01,3260176
2004-12-01,3307395
2005-01-01,3325884
2005-02-01,3234635
2005-03-01,3239607
2005-04-01,3258706
2005-05-01,3250091
2005-06-01,3311519
2005-07-01,3283036
2005-08-01,3238927
2005-09-01,3302522
2005-10-01,3297725
2005-11-01,3286699
2005-12-01,3295252
2006-01-01,3236836
2006-02-01,3188495
2006-03-01,3371216
2006-04-01,3305067
2006-05-01,3254447
2006-06-01,3344215
2006-07-01,3272657
2006-08-01,3366664
2006-09-01,3390194
2006-10-01,3289901
2006-11-01,3372684
2006-12-01,3354440
2007-01-01,3330152
2007-02-01,3374662
2007-03-01,3379855
2007-04-01,3270491
2007-05-01,3320724
2007-06-01,3272782
2007-07-01,3291973
2007-08-01,3353877
2007-09-01,3345686
2007-10-01,3318752
2007-11-01,3323221
2007-12-01,3304478
2008-01-01,3366636
2008-02-01,3289623
2008-03-01,3249220
2008-04-01,3349710
2008-05-01,3289548
2008-06-01,3092519
2008-07-01,3126420
2008-08-01,3072794
2008-09-01,2967621
2008-10-01,2929304
2008-11-01,2611978
2008-12-01,2509544
2009-01-01,2488172
2009-02-01,2546868
2009-03-01,2348426
2009-04-01,2473522
2009-05-01,2463302
2009-06-01,2587297
2009-07-01,2632124
2009-08-01,2645819
2009-09-01,2754069
2009-10-01,2859439
2009-11-01,2895316
2009-12-01,2942062
2010-01-01,2897090
2010-02-01,2979353
2010-03-01,2854263
2010-04-01,2993782
2010-05-01,3105028
2010-06-01,3107405
2010-07-01,3097147
2010-08-01,3083010
2010-09-01,3107947
2010-10-01,3132034
2010-11-01,3079500
2010-12-01,3090761
2011-01-01,3144759
2011-02-01,3094662
2011-03-01,3180527
2011-04-01,3210833
2011-05-01,3088550
2011-06-01,3049174
2011-07-01,3099012
2011-08-01,3072229
2011-09-01,3044945
2011-10-01,3003337
2011-11-01,3011126
2011-12-01,3058991
2012-01-01,2881339
2012-02-01,3151026
2012-03-01,3104150
2012-04-01,3021490
2012-05-01,3109544
2012-06-01,3091898
2012-07-01,3011691
2012-08-01,3025584
2012-09-01,3042113
2012-10-01,2813494
2012-11-01,2987032
2012-12-01,2881473
2013-01-01,3009500
2013-02-01,2992809
2013-03-01,2939504
2013-04-01,2891183
2013-05-01,2839639
2013-06-01,2902209
2013-07-01,2854185
2013-08-01,2919217
2013-09-01,2832461
2013-10-01,2887429
2013-11-01,2841003
2013-12-01,2925991
2014-01-01,2883918
2014-02-01,2841049
2014-03-01,2903615
2014-04-01,2933241
2014-05-01,3027977
2014-06-01,2954530
2014-07-01,3066757
2014-08-01,3010396
2014-09-01,2921035
2014-10-01,2990747
2014-11-01,3016760
2014-12-01,3022010
2015-01-01,3030068
2015-02-01,3240322
2015-03-01,2999374
2015-04-01,3059973
2015-05-01,2998377
2015-06-01,2958829
2015-07-01,2984689
2015-08-01,2932800
2015-09-01,3014384
2015-10-01,3011991
2015-11-01,2976601
2015-12-01,3020260
2016-01-01,3020580
2016-02-01,2922676
2016-03-01,2995122
2016-04-01,3023696
2016-05-01,2980325
2016-06-01,3054805
2016-07-01,3051725
2016-08-01,3091323
2016-09-01,3142245
2016-10-01,3178924
2016-11-01,3222412
2016-12-01,3215012
2017-01-01,3192580
2017-02-01,3228419
2017-03-01,3286140
2017-04-01,3310829
2017-05-01,3368888
2017-06-01,3440989
2017-07-01,3478653
2017-08-01,3527641
2017-09-01,3524084
2017-10-01,3499265
2017-11-01,3638018
2017-12-01,3581443
2018-01-01,3604564
2018-02-01,3687085
2018-03-01,3678285
2018-04-01,3537627
2018-05-01,3717547
2018-06-01,3714387
2018-07-01,3663303
2018-08-01,3650045
2018-09-01,3733014
2018-10-01,3687662
2018-11-01,3603453
2018-12-01,3617519
2019-01-01,3712344
2019-02-01,3612751
2019-03-01,3664808
2019-04-01,3653647
2019-05-01,3702422
2019-06-01,3628005
2019-07-01,3643276
2019-08-01,3665069
2019-09-01,3540531
2019-10-01,3584794
