DATE,BOXTVLM133S
1992-01-01,4597
1992-02-01,4615
1992-03-01,4407
1992-04-01,4645
1992-05-01,4579
1992-06-01,4492
1992-07-01,4418
1992-08-01,4566
1992-09-01,4578
1992-10-01,4812
1992-11-01,4591
1992-12-01,4442
1993-01-01,4687
1993-02-01,4853
1993-03-01,4664
1993-04-01,4872
1993-05-01,4828
1993-06-01,4769
1993-07-01,4906
1993-08-01,4807
1993-09-01,4773
1993-10-01,5219
1993-11-01,4548
1993-12-01,4949
1994-01-01,4503
1994-02-01,4637
1994-03-01,5259
1994-04-01,4839
1994-05-01,4804
1994-06-01,5071
1994-07-01,5023
1994-08-01,4769
1994-09-01,4701
1994-10-01,4698
1994-11-01,5072
1994-12-01,5040
1995-01-01,5337
1995-02-01,4789
1995-03-01,4737
1995-04-01,5324
1995-05-01,5223
1995-06-01,4494
1995-07-01,5367
1995-08-01,5304
1995-09-01,5686
1995-10-01,5536
1995-11-01,5696
1995-12-01,5901
1996-01-01,5442
1996-02-01,5434
1996-03-01,5938
1996-04-01,5487
1996-05-01,6218
1996-06-01,6017
1996-07-01,5309
1996-08-01,5493
1996-09-01,5392
1996-10-01,6419
1996-11-01,6508
1996-12-01,6152
1997-01-01,6156
1997-02-01,6026
1997-03-01,6169
1997-04-01,6025
1997-05-01,6076
1997-06-01,6175
1997-07-01,6111
1997-08-01,6176
1997-09-01,6308
1997-10-01,6154
1997-11-01,6081
1997-12-01,5969
1998-01-01,6148
1998-02-01,5994
1998-03-01,5784
1998-04-01,6307
1998-05-01,6042
1998-06-01,5832
1998-07-01,5732
1998-08-01,5784
1998-09-01,5780
1998-10-01,5906
1998-11-01,5868
1998-12-01,6148
1999-01-01,6014
1999-02-01,6035
1999-03-01,6192
1999-04-01,5991
1999-05-01,6105
1999-06-01,6186
1999-07-01,6479
1999-08-01,6473
1999-09-01,6614
1999-10-01,6595
1999-11-01,6770
1999-12-01,5996
2000-01-01,6558
2000-02-01,6848
2000-03-01,6768
2000-04-01,7219
2000-05-01,6806
2000-06-01,6981
2000-07-01,6968
2000-08-01,6852
2000-09-01,6944
2000-10-01,6694
2000-11-01,6869
2000-12-01,6856
2001-01-01,6745
2001-02-01,6542
2001-03-01,6577
2001-04-01,6199
2001-05-01,6017
2001-06-01,6131
2001-07-01,6176
2001-08-01,6352
2001-09-01,4253
2001-10-01,3806
2001-11-01,4136
2001-12-01,4515
2002-01-01,4895
2002-02-01,5088
2002-03-01,5255
2002-04-01,5072
2002-05-01,5147
2002-06-01,5178
2002-07-01,4972
2002-08-01,5138
2002-09-01,5021
2002-10-01,5045
2002-11-01,5092
2002-12-01,5186
2003-01-01,4839
2003-02-01,4771
2003-03-01,4443
2003-04-01,4118
2003-05-01,4560
2003-06-01,4683
2003-07-01,4945
2003-08-01,5070
2003-09-01,5200
2003-10-01,5287
2003-11-01,5375
2003-12-01,5397
2004-01-01,5436
2004-02-01,5731
2004-03-01,5848
2004-04-01,5803
2004-05-01,5706
2004-06-01,5825
2004-07-01,5883
2004-08-01,5702
2004-09-01,5760
2004-10-01,5882
2004-11-01,6017
2004-12-01,6108
2005-01-01,6359
2005-02-01,6524
2005-03-01,6622
2005-04-01,6647
2005-05-01,6465
2005-06-01,6418
2005-07-01,6269
2005-08-01,6164
2005-09-01,6461
2005-10-01,6425
2005-11-01,6211
2005-12-01,6435
2006-01-01,6576
2006-02-01,6209
2006-03-01,6331
2006-04-01,6538
2006-05-01,6639
2006-06-01,6448
2006-07-01,6783
2006-08-01,6761
2006-09-01,6784
2006-10-01,6721
2006-11-01,6841
2006-12-01,6941
2007-01-01,7135
2007-02-01,7005
2007-03-01,7434
2007-04-01,7325
2007-05-01,7481
2007-06-01,7569
2007-07-01,7649
2007-08-01,7863
2007-09-01,7851
2007-10-01,8408
2007-11-01,8511
2007-12-01,8501
2008-01-01,8663
2008-02-01,8719
2008-03-01,9076
2008-04-01,8770
2008-05-01,9459
2008-06-01,9297
2008-07-01,9087
2008-08-01,8955
2008-09-01,8439
2008-10-01,8468
2008-11-01,7755
2008-12-01,7932
2009-01-01,7316
2009-02-01,7261
2009-03-01,7174
2009-04-01,7331
2009-05-01,7266
2009-06-01,7275
2009-07-01,7583
2009-08-01,7724
2009-09-01,7724
2009-10-01,8014
2009-11-01,7943
2009-12-01,8068
2010-01-01,8373
2010-02-01,8448
2010-03-01,8563
2010-04-01,8299
2010-05-01,8830
2010-06-01,8844
2010-07-01,8960
2010-08-01,9032
2010-09-01,9204
2010-10-01,9376
2010-11-01,9339
2010-12-01,9585
2011-01-01,9428
2011-02-01,9312
2011-03-01,9597
2011-04-01,10028
2011-05-01,10123
2011-06-01,10289
2011-07-01,10106
2011-08-01,9979
2011-09-01,9835
2011-10-01,9983
2011-11-01,9998
2011-12-01,9967
2012-01-01,9824
2012-02-01,10273
2012-03-01,10464
2012-04-01,10608
2012-05-01,10509
2012-06-01,10645
2012-07-01,10438
2012-08-01,10915
2012-09-01,10890
2012-10-01,10450
2012-11-01,10859
2012-12-01,10870
2013-01-01,11394
2013-02-01,11405
2013-03-01,11559
2013-04-01,11472
2013-05-01,11436
2013-06-01,11538
2013-07-01,11780
2013-08-01,11398
2013-09-01,11674
2013-10-01,11837
2013-11-01,11904
2013-12-01,12055
2014-01-01,12217
2014-02-01,12333
2014-03-01,12153
2014-04-01,12277
2014-05-01,12468
2014-06-01,12529
2014-07-01,12538
2014-08-01,12550
2014-09-01,12659
2014-10-01,12632
2014-11-01,12664
2014-12-01,12735
2015-01-01,12829
2015-02-01,12781
2015-03-01,12895
2015-04-01,13144
2015-05-01,13381
2015-06-01,13694
2015-07-01,13341
2015-08-01,13317
2015-09-01,13151
2015-10-01,13154
2015-11-01,13183
2015-12-01,13296
2016-01-01,13031
2016-02-01,12935
2016-03-01,12892
2016-04-01,12763
2016-05-01,12769
2016-06-01,12745
2016-07-01,12822
2016-08-01,12739
2016-09-01,12775
2016-10-01,12773
2016-11-01,12777
2016-12-01,12772
2017-01-01,12751
2017-02-01,12740
2017-03-01,12723
2017-04-01,12980
2017-05-01,13115
2017-06-01,13379
2017-07-01,13198
2017-08-01,13121
2017-09-01,13140
