DATE,PCU532111532111221
1998-12-01,100.0
1999-01-01,99.9
1999-02-01,102.5
1999-03-01,104.9
1999-04-01,106.2
1999-05-01,106.6
1999-06-01,104.6
1999-07-01,110.2
1999-08-01,108.5
1999-09-01,108.0
1999-10-01,110.3
1999-11-01,109.5
1999-12-01,110.3
2000-01-01,115.8
2000-02-01,117.8
2000-03-01,118.2
2000-04-01,118.2
2000-05-01,115.1
2000-06-01,111.4
2000-07-01,119.9
2000-08-01,116.5
2000-09-01,106.8
2000-10-01,106.7
2000-11-01,115.2
2000-12-01,112.7
2001-01-01,113.9
2001-02-01,117.7
2001-03-01,119.9
2001-04-01,114.3
2001-05-01,106.5
2001-06-01,106.5
2001-07-01,108.9
2001-08-01,112.9
2001-09-01,108.5
2001-10-01,94.5
2001-11-01,104.8
2001-12-01,108.1
2002-01-01,114.9
2002-02-01,124.0
2002-03-01,125.9
2002-04-01,121.0
2002-05-01,118.7
2002-06-01,122.9
2002-07-01,125.4
2002-08-01,123.5
2002-09-01,115.1
2002-10-01,113.3
2002-11-01,112.7
2002-12-01,120.4
2003-01-01,118.1
2003-02-01,123.3
2003-03-01,121.3
2003-04-01,122.3
2003-05-01,122.1
2003-06-01,123.0
2003-07-01,126.7
2003-08-01,129.9
2003-09-01,128.8
2003-10-01,132.1
2003-11-01,130.6
2003-12-01,132.2
2004-01-01,126.0
2004-02-01,137.7
2004-03-01,129.9
2004-04-01,123.4
2004-05-01,112.5
2004-06-01,113.7
2004-07-01,132.1
2004-08-01,131.2
2004-09-01,124.7
2004-10-01,125.6
2004-11-01,127.4
2004-12-01,132.8
2005-01-01,119.6
2005-02-01,129.8
2005-03-01,132.9
2005-04-01,119.2
2005-05-01,121.5
2005-06-01,122.6
2005-07-01,129.7
2005-08-01,126.2
2005-09-01,131.3
2005-10-01,133.2
2005-11-01,133.0
2005-12-01,137.1
2006-01-01,134.5
2006-02-01,147.0
2006-03-01,143.5
2006-04-01,147.8
2006-05-01,136.8
2006-06-01,142.5
2006-07-01,147.4
2006-08-01,135.8
2006-09-01,137.2
2006-10-01,146.6
2006-11-01,148.2
2006-12-01,157.4
2007-01-01,141.4
2007-02-01,143.7
2007-03-01,138.5
2007-04-01,137.7
2007-05-01,127.0
2007-06-01,128.1
2007-07-01,158.3
2007-08-01,163.5
2007-09-01,137.5
2007-10-01,149.7
2007-11-01,150.2
2007-12-01,148.9
2008-01-01,149.4
2008-02-01,142.1
2008-03-01,152.4
2008-04-01,130.1
2008-05-01,137.4
2008-06-01,152.0
2008-07-01,201.6
2008-08-01,193.1
2008-09-01,174.4
2008-10-01,177.0
2008-11-01,172.6
2008-12-01,157.1
2009-01-01,182.6
2009-02-01,206.7
2009-03-01,204.9
2009-04-01,203.0
2009-05-01,202.3
2009-06-01,217.0
2009-07-01,238.4
2009-08-01,242.0
2009-09-01,235.4
2009-10-01,209.9
2009-11-01,193.6
2009-12-01,190.0
2010-01-01,195.0
2010-02-01,212.2
2010-03-01,201.3
2010-04-01,189.5
2010-05-01,167.1
2010-06-01,187.7
2010-07-01,239.9
2010-08-01,196.6
2010-09-01,176.9
2010-10-01,203.0
2010-11-01,189.3
2010-12-01,175.0
2011-01-01,172.2
2011-02-01,181.3
2011-03-01,211.7
2011-04-01,174.2
2011-05-01,149.5
2011-06-01,181.5
2011-07-01,228.4
2011-08-01,231.1
2011-09-01,185.4
2011-10-01,171.4
2011-11-01,164.2
2011-12-01,115.8
2012-01-01,120.4
2012-02-01,139.7
2012-03-01,192.8
2012-04-01,139.5
2012-05-01,132.8
2012-06-01,139.2
2012-07-01,169.4
2012-08-01,174.5
2012-09-01,158.2
2012-10-01,167.1
2012-11-01,180.3
2012-12-01,165.4
2013-01-01,148.5
2013-02-01,181.5
2013-03-01,186.8
2013-04-01,146.3
2013-05-01,133.4
2013-06-01,163.5
2013-07-01,172.9
2013-08-01,187.5
2013-09-01,162.5
2013-10-01,163.5
2013-11-01,154.8
2013-12-01,148.0
2014-01-01,169.6
2014-02-01,172.1
2014-03-01,202.7
2014-04-01,201.7
2014-05-01,174.4
2014-06-01,167.7
2014-07-01,202.1
2014-08-01,189.5
2014-09-01,160.4
2014-10-01,160.4
2014-11-01,151.6
2014-12-01,136.5
2015-01-01,160.8
2015-02-01,160.2
2015-03-01,174.2
2015-04-01,160.6
2015-05-01,154.4
2015-06-01,147.3
2015-07-01,176.6
2015-08-01,181.4
2015-09-01,151.4
2015-10-01,157.1
2015-11-01,148.9
2015-12-01,137.7
2016-01-01,139.7
2016-02-01,138.9
2016-03-01,144.7
2016-04-01,137.8
2016-05-01,138.3
2016-06-01,143.0
2016-07-01,155.5
2016-08-01,154.4
2016-09-01,139.6
2016-10-01,141.0
2016-11-01,135.3
2016-12-01,138.1
2017-01-01,141.4
2017-02-01,136.7
2017-03-01,134.9
2017-04-01,130.2
2017-05-01,139.3
2017-06-01,141.8
2017-07-01,165.3
2017-08-01,164.9
2017-09-01,149.4
2017-10-01,154.1
2017-11-01,150.4
2017-12-01,158.4
2018-01-01,146.4
2018-02-01,144.3
2018-03-01,142.3
2018-04-01,139.2
2018-05-01,142.8
2018-06-01,148.4
2018-07-01,178.4
2018-08-01,169.9
2018-09-01,146.4
2018-10-01,149.6
2018-11-01,151.2
2018-12-01,149.6
2019-01-01,137.9
2019-02-01,144.0
2019-03-01,149.9
2019-04-01,150.7
2019-05-01,141.2
2019-06-01,145.8
2019-07-01,169.0
2019-08-01,166.5
2019-09-01,150.1
2019-10-01,157.5
2019-11-01,139.7
2019-12-01,141.0
