DATE,DSPIC96
1990-01-01,6787.8
1990-02-01,6801.9
1990-03-01,6803.6
1990-04-01,6847.3
1990-05-01,6839.1
1990-06-01,6848.9
1990-07-01,6872.7
1990-08-01,6829.5
1990-09-01,6826.2
1990-10-01,6770.2
1990-11-01,6771.9
1990-12-01,6810.8
1991-01-01,6791.5
1991-02-01,6800.8
1991-03-01,6811.6
1991-04-01,6838.3
1991-05-01,6839.6
1991-06-01,6875.1
1991-07-01,6861.8
1991-08-01,6878.0
1991-09-01,6897.1
1991-10-01,6907.6
1991-11-01,6918.8
1991-12-01,6982.1
1992-01-01,7051.6
1992-02-01,7084.0
1992-03-01,7091.7
1992-04-01,7112.9
1992-05-01,7147.1
1992-06-01,7177.8
1992-07-01,7173.0
1992-08-01,7198.8
1992-09-01,7165.6
1992-10-01,7119.7
1992-11-01,7130.6
1992-12-01,7384.7
1993-01-01,7223.5
1993-02-01,7257.7
1993-03-01,7235.1
1993-04-01,7272.7
1993-05-01,7262.2
1993-06-01,7248.8
1993-07-01,7267.1
1993-08-01,7277.7
1993-09-01,7257.8
1993-10-01,7222.3
1993-11-01,7242.4
1993-12-01,7489.1
1994-01-01,7348.8
1994-02-01,7362.9
1994-03-01,7387.3
1994-04-01,7387.6
1994-05-01,7472.8
1994-06-01,7461.0
1994-07-01,7467.2
1994-08-01,7476.0
1994-09-01,7508.6
1994-10-01,7579.9
1994-11-01,7579.7
1994-12-01,7614.2
1995-01-01,7638.9
1995-02-01,7654.3
1995-03-01,7675.4
1995-04-01,7618.8
1995-05-01,7695.9
1995-06-01,7719.0
1995-07-01,7736.3
1995-08-01,7741.6
1995-09-01,7766.9
1995-10-01,7775.7
1995-11-01,7797.1
1995-12-01,7807.8
1996-01-01,7818.5
1996-02-01,7879.0
1996-03-01,7904.5
1996-04-01,7857.0
1996-05-01,7956.5
1996-06-01,8004.7
1996-07-01,7983.8
1996-08-01,8004.2
1996-09-01,8023.1
1996-10-01,8022.6
1996-11-01,8044.5
1996-12-01,8072.0
1997-01-01,8095.1
1997-02-01,8117.7
1997-03-01,8156.2
1997-04-01,8162.4
1997-05-01,8198.2
1997-06-01,8224.5
1997-07-01,8255.6
1997-08-01,8298.5
1997-09-01,8320.2
1997-10-01,8361.4
1997-11-01,8415.4
1997-12-01,8463.9
1998-01-01,8538.3
1998-02-01,8592.2
1998-03-01,8641.5
1998-04-01,8668.8
1998-05-01,8704.1
1998-06-01,8753.5
1998-07-01,8769.0
1998-08-01,8797.3
1998-09-01,8823.3
1998-10-01,8836.1
1998-11-01,8872.6
1998-12-01,8889.9
1999-01-01,8923.4
1999-02-01,8953.2
1999-03-01,8962.3
1999-04-01,8944.9
1999-05-01,8962.0
1999-06-01,8992.5
1999-07-01,9002.6
1999-08-01,9043.0
1999-09-01,9037.4
1999-10-01,9094.7
1999-11-01,9160.3
1999-12-01,9234.7
2000-01-01,9307.1
2000-02-01,9342.6
2000-03-01,9366.5
2000-04-01,9409.8
2000-05-01,9446.4
2000-06-01,9469.6
2000-07-01,9516.6
2000-08-01,9568.5
2000-09-01,9569.8
2000-10-01,9582.9
2000-11-01,9579.0
2000-12-01,9595.3
2001-01-01,9651.9
2001-02-01,9668.6
2001-03-01,9697.2
2001-04-01,9670.8
2001-05-01,9648.1
2001-06-01,9648.4
2001-07-01,9790.7
2001-08-01,9958.9
2001-09-01,9886.2
2001-10-01,9732.3
2001-11-01,9754.3
2001-12-01,9774.4
2002-01-01,9968.4
2002-02-01,9976.4
2002-03-01,9975.9
2002-04-01,10011.3
2002-05-01,10044.8
2002-06-01,10067.0
2002-07-01,10035.0
2002-08-01,10028.9
2002-09-01,10032.9
2002-10-01,10060.7
2002-11-01,10090.6
2002-12-01,10124.4
2003-01-01,10124.6
2003-02-01,10098.3
2003-03-01,10124.0
2003-04-01,10177.0
2003-05-01,10254.7
2003-06-01,10285.0
2003-07-01,10408.7
2003-08-01,10476.8
2003-09-01,10350.6
2003-10-01,10390.6
2003-11-01,10456.5
2003-12-01,10470.9
2004-01-01,10461.0
2004-02-01,10479.2
2004-03-01,10522.1
2004-04-01,10566.2
2004-05-01,10623.7
