DATE,WPU3022
2008-12-01,100.0
2009-01-01,100.5
2009-02-01,96.1
2009-03-01,95.0
2009-04-01,95.1
2009-05-01,90.0
2009-06-01,92.1
2009-07-01,94.1
2009-08-01,96.7
2009-09-01,93.5
2009-10-01,95.8
2009-11-01,98.3
2009-12-01,99.1
2010-01-01,101.3
2010-02-01,100.7
2010-03-01,103.0
2010-04-01,104.8
2010-05-01,102.8
2010-06-01,106.0
2010-07-01,106.6
2010-08-01,104.1
2010-09-01,98.4
2010-10-01,101.2
2010-11-01,102.1
2010-12-01,102.0
2011-01-01,105.0
2011-02-01,106.7
2011-03-01,111.6
2011-04-01,111.0
2011-05-01,110.6
2011-06-01,110.6
2011-07-01,110.9
2011-08-01,113.3
2011-09-01,108.7
2011-10-01,111.0
2011-11-01,110.9
2011-12-01,111.6
2012-01-01,113.0
2012-02-01,115.1
2012-03-01,117.4
2012-04-01,117.9
2012-05-01,116.3
2012-06-01,118.2
2012-07-01,116.2
2012-08-01,116.4
2012-09-01,110.4
2012-10-01,113.8
2012-11-01,112.9
2012-12-01,112.4
2013-01-01,114.6
2013-02-01,113.7
2013-03-01,116.7
2013-04-01,113.7
2013-05-01,112.1
2013-06-01,116.0
2013-07-01,117.0
2013-08-01,117.7
2013-09-01,111.4
2013-10-01,114.1
2013-11-01,111.7
2013-12-01,118.0
2014-01-01,115.2
2014-02-01,112.7
2014-03-01,117.4
2014-04-01,118.3
2014-05-01,117.3
2014-06-01,120.4
2014-07-01,120.0
2014-08-01,120.8
2014-09-01,114.5
2014-10-01,115.2
2014-11-01,114.7
2014-12-01,116.3
2015-01-01,115.7
2015-02-01,113.9
2015-03-01,116.4
2015-04-01,114.3
2015-05-01,112.7
2015-06-01,115.4
2015-07-01,115.3
2015-08-01,112.6
2015-09-01,107.2
2015-10-01,109.4
2015-11-01,108.1
2015-12-01,106.5
2016-01-01,110.0
2016-02-01,108.9
2016-03-01,112.5
2016-04-01,110.5
2016-05-01,106.3
2016-06-01,111.3
2016-07-01,112.7
2016-08-01,110.6
2016-09-01,103.2
2016-10-01,106.4
2016-11-01,107.7
2016-12-01,111.6
2017-01-01,112.2
2017-02-01,112.0
2017-03-01,110.3
2017-04-01,112.8
2017-05-01,109.5
2017-06-01,113.6
2017-07-01,111.3
2017-08-01,108.8
2017-09-01,106.5
2017-10-01,111.2
2017-11-01,112.4
2017-12-01,107.9
2018-01-01,107.8
2018-02-01,110.0
2018-03-01,114.5
2018-04-01,114.8
2018-05-01,112.0
2018-06-01,115.1
2018-07-01,114.6
2018-08-01,111.9
2018-09-01,111.5
2018-10-01,115.6
2018-11-01,118.2
2018-12-01,116.7
2019-01-01,118.1
2019-02-01,114.6
2019-03-01,116.5
2019-04-01,118.6
2019-05-01,117.5
2019-06-01,119.9
2019-07-01,120.8
2019-08-01,116.9
2019-09-01,113.3
2019-10-01,117.2
2019-11-01,115.1
2019-12-01,124.3
