DATE,AIRRTMFMD11
2000-01-01,2466849
2000-02-01,2521848
2000-03-01,2489846
2000-04-01,2557238
2000-05-01,2527817
2000-06-01,2519683
2000-07-01,2502005
2000-08-01,2579459
2000-09-01,2759737
2000-10-01,2649925
2000-11-01,2617807
2000-12-01,2613179
2001-01-01,2553473
2001-02-01,2547195
2001-03-01,2479826
2001-04-01,2410690
2001-05-01,2417128
2001-06-01,2476945
2001-07-01,2246632
2001-08-01,2318188
2001-09-01,2047577
2001-10-01,2239015
2001-11-01,2187062
2001-12-01,2249520
2002-01-01,2277489
2002-02-01,2275032
2002-03-01,2363076
2002-04-01,2381264
2002-05-01,2415962
2002-06-01,2495406
2002-07-01,2522818
2002-08-01,2498323
2002-09-01,2425933
2002-10-01,3096158
2002-11-01,2897719
2002-12-01,2767634
2003-01-01,2851220
2003-02-01,2769598
2003-03-01,2736699
2003-04-01,2729514
2003-05-01,2771066
2003-06-01,2680379
2003-07-01,2794766
2003-08-01,2822459
2003-09-01,2765872
2003-10-01,2876376
2003-11-01,2873101
2003-12-01,2863765
2004-01-01,2911672
2004-02-01,3125523
2004-03-01,3023968
2004-04-01,3086060
2004-05-01,3102047
2004-06-01,3115908
2004-07-01,3215790
2004-08-01,3099484
2004-09-01,3251349
2004-10-01,3303793
2004-11-01,3261942
2004-12-01,3305994
2005-01-01,3326401
2005-02-01,3234642
2005-03-01,3238454
2005-04-01,3259131
2005-05-01,3250365
2005-06-01,3310560
2005-07-01,3283357
2005-08-01,3238837
2005-09-01,3302521
2005-10-01,3297973
2005-11-01,3288107
2005-12-01,3294476
2006-01-01,3237152
2006-02-01,3189713
2006-03-01,3369418
2006-04-01,3305676
2006-05-01,3254056
2006-06-01,3342710
2006-07-01,3273085
2006-08-01,3366650
2006-09-01,3390422
2006-10-01,3290104
2006-11-01,3373930
2006-12-01,3354309
2007-01-01,3330408
2007-02-01,3377452
2007-03-01,3376794
2007-04-01,3271209
2007-05-01,3319998
2007-06-01,3271043
2007-07-01,3292393
2007-08-01,3353964
2007-09-01,3346162
2007-10-01,3318725
2007-11-01,3324577
2007-12-01,3304289
2008-01-01,3366792
2008-02-01,3293672
2008-03-01,3245108
2008-04-01,3351395
2008-05-01,3288368
2008-06-01,3090843
2008-07-01,3126644
2008-08-01,3073261
2008-09-01,2967684
2008-10-01,2929221
2008-11-01,2610614
2008-12-01,2511494
2009-01-01,2488335
2009-02-01,2550919
2009-03-01,2344816
2009-04-01,2475359
2009-05-01,2462419
2009-06-01,2585653
2009-07-01,2632311
2009-08-01,2646242
2009-09-01,2754174
2009-10-01,2859574
2009-11-01,2896523
2009-12-01,2940211
2010-01-01,2897495
2010-02-01,2984997
2010-03-01,2849711
2010-04-01,2996584
2010-05-01,3103431
2010-06-01,3106034
2010-07-01,3097365
2010-08-01,3083242
2010-09-01,3108038
2010-10-01,3132409
2010-11-01,3080612
2010-12-01,3087782
2011-01-01,3145487
2011-02-01,3100395
2011-03-01,3175993
2011-04-01,3213870
2011-05-01,3087181
2011-06-01,3048180
2011-07-01,3099183
2011-08-01,3072106
2011-09-01,3045381
2011-10-01,3003701
2011-11-01,3012441
2011-12-01,3055094
2012-01-01,2882096
2012-02-01,3155383
2012-03-01,3101293
2012-04-01,3024139
2012-05-01,3108182
2012-06-01,3091526
2012-07-01,3011423
2012-08-01,3025260
2012-09-01,3043229
2012-10-01,2813432
2012-11-01,2988484
2012-12-01,2877873
2013-01-01,3010166
2013-02-01,2995265
2013-03-01,2938360
2013-04-01,2892729
2013-05-01,2838813
2013-06-01,2902018
2013-07-01,2853711
2013-08-01,2918993
2013-09-01,2833743
2013-10-01,2887439
2013-11-01,2837125
2013-12-01,2928065
2014-01-01,2884651
2014-02-01,2841933
2014-03-01,2903548
2014-04-01,2933818
2014-05-01,3027301
2014-06-01,2954155
2014-07-01,3066206
2014-08-01,3010378
2014-09-01,2922366
2014-10-01,2990725
2014-11-01,3016552
2014-12-01,3022244
2015-01-01,3030866
2015-02-01,3239701
2015-03-01,2999093
2015-04-01,3059658
2015-05-01,2997615
2015-06-01,2958039
2015-07-01,2983818
2015-08-01,2932598
2015-09-01,3017289
2015-10-01,3011956
2015-11-01,2979482
2015-12-01,3018662
2016-01-01,3025527
2016-02-01,2916849
2016-03-01,2994150
2016-04-01,3023311
2016-05-01,2978532
2016-06-01,3052726
2016-07-01,3049860
2016-08-01,3093607
2016-09-01,3145168
2016-10-01,3178834
2016-11-01,3226154
2016-12-01,3217370
2017-01-01,3202954
2017-02-01,3215218
2017-03-01,3283029
2017-04-01,3310140
2017-05-01,3364334
2017-06-01,3436356
2017-07-01,3474012
2017-08-01,3533403
2017-09-01,3528468
2017-10-01,3499608
2017-11-01,3644785
2017-12-01,3589024
2018-01-01,3624071
2018-02-01,3662376
2018-03-01,3671116
2018-04-01,3536653
2018-05-01,3709047
2018-06-01,3706496
2018-07-01,3654793
2018-08-01,3659438
2018-09-01,3738310
2018-10-01,3689241
2018-11-01,3615286
2018-12-01,3633620
2019-01-01,3734657
2019-02-01,3581260
2019-03-01,3653552
2019-04-01,3652161
2019-05-01,3687811
2019-06-01,3618163
2019-07-01,3632982
2019-08-01,3675603
2019-09-01,3547897
2019-10-01,3584230
2019-11-01,3579369
2019-12-01,3560949
