DATE,CES4348100001
1990-01-01,508.8
1990-02-01,513.7
1990-03-01,518.5
1990-04-01,523.8
1990-05-01,527.4
1990-06-01,531.3
1990-07-01,532.2
1990-08-01,536.0
1990-09-01,538.4
1990-10-01,541.1
1990-11-01,540.6
1990-12-01,540.5
1991-01-01,533.3
1991-02-01,532.8
1991-03-01,529.2
1991-04-01,528.5
1991-05-01,528.4
1991-06-01,525.8
1991-07-01,525.9
1991-08-01,524.9
1991-09-01,523.7
1991-10-01,523.0
1991-11-01,521.7
1991-12-01,513.9
1992-01-01,519.3
1992-02-01,519.8
1992-03-01,521.2
1992-04-01,521.4
1992-05-01,520.6
1992-06-01,520.8
1992-07-01,520.7
1992-08-01,521.6
1992-09-01,518.2
1992-10-01,518.0
1992-11-01,518.3
1992-12-01,515.9
1993-01-01,518.8
1993-02-01,518.6
1993-03-01,517.1
1993-04-01,515.3
1993-05-01,517.3
1993-06-01,517.1
1993-07-01,516.0
1993-08-01,515.9
1993-09-01,516.6
1993-10-01,515.8
1993-11-01,515.6
1993-12-01,515.8
1994-01-01,515.7
1994-02-01,514.7
1994-03-01,514.5
1994-04-01,513.4
1994-05-01,512.3
1994-06-01,511.1
1994-07-01,511.0
1994-08-01,510.7
1994-09-01,509.1
1994-10-01,506.4
1994-11-01,507.4
1994-12-01,507.2
1995-01-01,507.8
1995-02-01,509.5
1995-03-01,511.4
1995-04-01,509.8
1995-05-01,508.1
1995-06-01,509.3
1995-07-01,509.5
1995-08-01,510.1
1995-09-01,511.7
1995-10-01,513.5
1995-11-01,515.2
1995-12-01,515.7
1996-01-01,518.4
1996-02-01,521.1
1996-03-01,523.3
1996-04-01,522.0
1996-05-01,524.2
1996-06-01,524.8
1996-07-01,526.5
1996-08-01,527.4
1996-09-01,527.8
1996-10-01,529.6
1996-11-01,531.9
1996-12-01,534.6
1997-01-01,535.2
1997-02-01,536.0
1997-03-01,539.1
1997-04-01,539.0
1997-05-01,539.5
1997-06-01,541.1
1997-07-01,541.2
1997-08-01,543.4
1997-09-01,544.9
1997-10-01,547.2
1997-11-01,548.6
1997-12-01,550.1
1998-01-01,551.2
1998-02-01,553.1
1998-03-01,554.4
1998-04-01,558.0
1998-05-01,560.8
1998-06-01,562.3
1998-07-01,564.9
1998-08-01,566.3
1998-09-01,568.2
1998-10-01,568.2
1998-11-01,569.8
1998-12-01,571.7
1999-01-01,574.3
1999-02-01,575.0
1999-03-01,576.5
1999-04-01,577.6
1999-05-01,580.6
1999-06-01,584.0
1999-07-01,586.6
1999-08-01,589.2
1999-09-01,592.2
1999-10-01,595.2
1999-11-01,597.8
1999-12-01,600.6
2000-01-01,604.5
2000-02-01,608.5
2000-03-01,610.3
2000-04-01,609.0
2000-05-01,611.5
2000-06-01,612.6
2000-07-01,612.1
2000-08-01,614.1
2000-09-01,616.9
2000-10-01,620.8
2000-11-01,624.6
2000-12-01,628.3
2001-01-01,631.8
2001-02-01,633.4
2001-03-01,633.6
2001-04-01,632.4
2001-05-01,628.9
2001-06-01,625.1
2001-07-01,625.5
2001-08-01,622.6
2001-09-01,619.2
2001-10-01,601.2
2001-11-01,570.3
2001-12-01,560.0
2002-01-01,556.9
2002-02-01,558.2
2002-03-01,557.3
2002-04-01,558.0
2002-05-01,562.8
2002-06-01,567.3
2002-07-01,570.4
2002-08-01,568.8
2002-09-01,567.3
2002-10-01,565.8
2002-11-01,565.9
2002-12-01,565.4
2003-01-01,563.9
2003-02-01,556.0
2003-03-01,548.7
2003-04-01,536.9
2003-05-01,528.6
2003-06-01,520.4
2003-07-01,515.1
2003-08-01,514.5
2003-09-01,514.3
2003-10-01,512.5
2003-11-01,515.1
2003-12-01,517.3
2004-01-01,514.6
2004-02-01,515.4
2004-03-01,516.5
2004-04-01,516.5
2004-05-01,516.5
2004-06-01,515.1
2004-07-01,514.5
2004-08-01,512.6
2004-09-01,512.8
2004-10-01,512.9
2004-11-01,513.7
2004-12-01,511.9
2005-01-01,509.1
2005-02-01,508.3
2005-03-01,506.8
2005-04-01,507.2
2005-05-01,506.8
2005-06-01,506.2
2005-07-01,503.9
2005-08-01,500.3
2005-09-01,494.1
2005-10-01,492.8
2005-11-01,487.9
2005-12-01,484.9
2006-01-01,487.2
2006-02-01,485.8
2006-03-01,485.4
2006-04-01,486.4
2006-05-01,484.7
2006-06-01,485.3
2006-07-01,486.5
2006-08-01,486.8
2006-09-01,489.8
2006-10-01,490.4
2006-11-01,485.1
2006-12-01,491.8
2007-01-01,489.9
2007-02-01,482.4
2007-03-01,485.5
2007-04-01,492.0
2007-05-01,483.9
2007-06-01,491.9
2007-07-01,492.3
2007-08-01,493.7
2007-09-01,495.2
2007-10-01,495.6
2007-11-01,497.2
2007-12-01,499.5
2008-01-01,501.2
2008-02-01,504.8
2008-03-01,503.3
2008-04-01,500.2
2008-05-01,497.2
2008-06-01,493.8
2008-07-01,490.7
2008-08-01,485.4
2008-09-01,481.8
2008-10-01,478.9
2008-11-01,477.0
2008-12-01,473.1
2009-01-01,469.6
2009-02-01,468.4
2009-03-01,466.7
2009-04-01,460.0
2009-05-01,461.3
2009-06-01,459.7
2009-07-01,460.4
2009-08-01,461.5
2009-09-01,461.8
2009-10-01,462.8
2009-11-01,461.1
2009-12-01,460.6
2010-01-01,462.1
2010-02-01,463.8
2010-03-01,462.2
2010-04-01,461.2
2010-05-01,459.8
2010-06-01,458.0
2010-07-01,456.7
2010-08-01,456.2
2010-09-01,455.3
2010-10-01,455.1
2010-11-01,455.0
2010-12-01,455.0
2011-01-01,453.6
2011-02-01,454.0
2011-03-01,454.3
2011-04-01,455.0
2011-05-01,456.1
2011-06-01,457.4
2011-07-01,459.3
2011-08-01,458.2
2011-09-01,458.7
2011-10-01,458.8
2011-11-01,458.1
2011-12-01,458.8
2012-01-01,461.3
2012-02-01,460.6
2012-03-01,460.2
2012-04-01,460.0
2012-05-01,460.6
2012-06-01,461.5
2012-07-01,461.1
2012-08-01,461.1
2012-09-01,458.5
2012-10-01,457.0
2012-11-01,455.3
2012-12-01,453.2
2013-01-01,450.1
2013-02-01,448.9
2013-03-01,448.5
2013-04-01,448.0
2013-05-01,446.3
2013-06-01,444.8
2013-07-01,442.4
2013-08-01,441.1
2013-09-01,440.5
2013-10-01,439.3
2013-11-01,440.8
2013-12-01,442.6
2014-01-01,441.4
2014-02-01,440.6
2014-03-01,442.1
2014-04-01,440.2
2014-05-01,442.7
2014-06-01,443.6
2014-07-01,444.2
2014-08-01,443.8
2014-09-01,444.2
2014-10-01,447.3
2014-11-01,449.8
2014-12-01,448.8
2015-01-01,450.0
2015-02-01,451.4
2015-03-01,451.0
2015-04-01,453.5
2015-05-01,454.1
2015-06-01,456.1
2015-07-01,459.3
2015-08-01,460.8
2015-09-01,464.0
2015-10-01,465.2
2015-11-01,466.3
2015-12-01,468.0
2016-01-01,469.5
2016-02-01,470.2
2016-03-01,471.4
2016-04-01,473.6
2016-05-01,477.2
2016-06-01,478.3
2016-07-01,479.3
2016-08-01,481.2
2016-09-01,481.1
2016-10-01,481.5
2016-11-01,482.2
2016-12-01,483.7
2017-01-01,485.5
2017-02-01,486.2
2017-03-01,488.6
2017-04-01,489.1
2017-05-01,490.1
2017-06-01,490.2
2017-07-01,490.7
2017-08-01,492.8
2017-09-01,494.0
2017-10-01,496.6
2017-11-01,497.5
2017-12-01,496.7
2018-01-01,496.6
2018-02-01,498.4
2018-03-01,497.3
2018-04-01,498.2
2018-05-01,496.9
2018-06-01,496.9
2018-07-01,497.1
2018-08-01,497.0
2018-09-01,497.2
2018-10-01,496.1
2018-11-01,495.4
2018-12-01,497.8
2019-01-01,498.9
2019-02-01,501.8
2019-03-01,500.7
2019-04-01,500.3
2019-05-01,500.1
2019-06-01,503.3
2019-07-01,505.2
2019-08-01,503.1
2019-09-01,503.5
2019-10-01,507.3
2019-11-01,507.2
2019-12-01,508.2
2020-01-01,509.1
2020-02-01,510.8
