gvkey,indfmt,consol,popsrc,fyr,datafmt,airafxpgq,airafxpgq_dc,airaskq,airaskq_dc,airasmq,airasmq_dc,airfcgq,airfcgq_dc,airfltq,airfltq_dc,airoeasmq,airoeasmq_dc,airplfq,airplfq_dc,airprasmq,airprasmq_dc,airprevq,airprevq_dc,airprrpmq,airprrpmq_dc,airrpcq,airrpcq_dc,airrpkq,airrpkq_dc,airrpmq,airrpmq_dc,airtfxq,airtfxq_dc,airtrasmq,airtrasmq_dc,gmexpq,gmexpq_dc,gmfbexpq,gmfbexpq_dc,gmfbrevq,gmfbrevq_dc,gmothexpq,gmothexpq_dc,gmothrevq,gmothrevq_dc,gmpromq,gmpromq_dc,gmrevq,gmrevq_dc,gmrmexpq,gmrmexpq_dc,gmrmrevq,gmrmrevq_dc,gmtotrevq,gmtotrevq_dc,hbbckavq,hbbckavq_dc,hbbckq,hbbckq_dc,hbbckuq,hbbckuq_dc,hbcsq,hbcsq_dc,hbdcavq,hbdcavq_dc,hbdcq,hbdcq_dc,hbdcuq,hbdcuq_dc,hbinvfhq,hbinvfhq_dc,hbinvludq,hbinvludq_dc,hbinvnoq,hbinvnoq_dc,hbinvtq,hbinvtq_dc,hbinvuoq,hbinvuoq_dc,hbloq,hbloq_dc,hbluoq,hbluoq_dc,hbnocavq,hbnocavq_dc,hbnocq,hbnocq_dc,hbnocuq,hbnocuq_dc,hfadmchgq,hfadmchgq_dc,hfadmq,hfadmq_dc,hfavgdayq,hfavgdayq_dc,hfbdq,hfbdq_dc,hfbedlq,hfbedlq_dc,hfbedq,hfbedq_dc,hfdayq,hfdayq_dc,hfeadchgq,hfeadchgq_dc,hfeadq,hfeadq_dc,hffacq,hffacq_dc,hfmcdq,hfmcdq_dc,hfmceq,hfmceq_dc,hfmgdq,hfmgdq_dc,hfocpyq,hfocpyq_dc,hfopsq,hfopsq_dc,hfopvq,hfopvq_dc,hfoq,hfoq_dc,hfreachgq,hfreachgq_dc,hfrevchgq,hfrevchgq_dc,hfsalq,hfsalq_dc,hfstayq,hfstayq_dc,hfsupq,hfsupq_dc,hfsurgq,hfsurgq_dc,lgadrq,lgadrq_dc,lgpropq,lgpropq_dc,lgrevparq,lgrevparq_dc,lgroomsq,lgroomsq_dc,lgrorq,lgrorq_dc,mcdmcpq,mcdmcpq_dc,mcetq,mcetq_dc,mcgetq,mcgetq_dc,mcgprtq,mcgprtq_dc,mchptq,mchptq_dc,mcmctq,mcmctq_dc,mcmdeq,mcmdeq_dc,mcmdrq,mcmdrq_dc,mcmpdrq,mcmpdrq_dc,mcmreq,mcmreq_dc,mcmrpdeq,mcmrpdeq_dc,mcmrrq,mcmrrq_dc,mcniiq,mcniiq_dc,mcomlrq,mcomlrq_dc,mcorq,mcorq_dc,mcpprdq,mcpprdq_dc,mctreq,mctreq_dc,mctrrq,mctrrq_dc,mmaspagq,mmaspagq_dc,mmaspauq,mmaspauq_dc,mmaspcuq,mmaspcuq_dc,mmaspniq,mmaspniq_dc,mmaspznq,mmaspznq_dc,mmccagq,mmccagq_dc,mmccauq,mmccauq_dc,mmcpdcuq,mmcpdcuq_dc,mmpagq,mmpagq_dc,mmpauq,mmpauq_dc,mmpcagq,mmpcagq_dc,mmpcauq,mmpcauq_dc,mmpcoalq,mmpcoalq_dc,mmpcuq,mmpcuq_dc,mmpfeq,mmpfeq_dc,mmpniq,mmpniq_dc,mmpscq,mmpscq_dc,mmpznq,mmpznq_dc,mmxpxq,mmxpxq_dc,ogaspnglq,ogaspnglq_dc,ogaspngq,ogaspngq_dc,ogaspoilq,ogaspoilq_dc,ogpngdq,ogpngdq_dc,ogpngldq,ogpngldq_dc,ogpnglq,ogpnglq_dc,ogpngq,ogpngq_dc,ogpoildq,ogpoildq_dc,ogpoilq,ogpoilq_dc,ogxdhq,ogxdhq_dc,ogxpxq,ogxpxq_dc,orcaptq,orcaptq_dc,orcapuq,orcapuq_dc,orfmq,orfmq_dc,orfsitesq,orfsitesq_dc,orfvolq,orfvolq_dc,ormmq,ormmq_dc,ormsaleq,ormsaleq_dc,orpsdq,orpsdq_dc,orpsgq,orpsgq_dc,orpsoq,orpsoq_dc,orpspq,orpspq_dc,orpstq,orpstq_dc,orpydq,orpydq_dc,orpygq,orpygq_dc,orpyoq,orpyoq_dc,orpypq,orpypq_dc,orpytq,orpytq_dc,orttq,orttq_dc,rtlcsq,rtlcsq_dc,rtlnscq,rtlnscq_dc,rtlnseq,rtlnseq_dc,rtlnsoq,rtlnsoq_dc,rtnssfq,rtnssfq_dc,rttsfq,rttsfq_dc,scbktoblq,scbktoblq_dc,scbookq,scbookq_dc,uada12,uada12_dc,uadaq,uadaq_dc,uadate12,uadate12_dc,uadateq,uadateq_dc,uafudc12,uafudc12_dc,uafudcb12,uafudcb12_dc,uafudcbq,uafudcbq_dc,uafudce12,uafudce12_dc,uafudceq,uafudceq_dc,uafudcq,uafudcq_dc,uconswipq,uconswipq_dc,ucshfd12,ucshfd12_dc,ucshpri12,ucshpri12_dc,ucstke12,ucstke12_dc,udcloq,udcloq_dc,udcopresq,udcopresq_dc,udcoprestq,udcoprestq_dc,udd1q,udd1q_dc,udp12,udp12_dc,ududdq,ududdq_dc,udvp12,udvp12_dc,uedodf_dc,uedods_dc,uedodt_dc,uelrevaf,uelrevaf_dc,uelrevas,uelrevas_dc,uelrevat,uelrevat_dc,uelrevrf,uelrevrf_dc,uelrevrs,uelrevrs_dc,uelrevrt,uelrevrt_dc,uepsfi12,uepsfi12_dc,uepsfx12,uepsfx12_dc,uepspi12,uepspi12_dc,uepspx12,uepspx12_dc,ueroeaf,ueroeaf_dc,ueroeas,ueroeas_dc,ueroeat,ueroeat_dc,ueroerqf,ueroerqf_dc,ueroerqs,ueroerqs_dc,ueroerqt,ueroerqt_dc,uesub12,uesub12_dc,ugdodf_dc,ugdods_dc,ugdodt_dc,ugi12,ugi12_dc,ugrevaf,ugrevaf_dc,ugrevas,ugrevas_dc,ugrevat,ugrevat_dc,ugrevrf,ugrevrf_dc,ugrevrs,ugrevrs_dc,ugrevrt,ugrevrt_dc,ugroeaf,ugroeaf_dc,ugroeas,ugroeas_dc,ugroeat,ugroeat_dc,ugroerqf,ugroerqf_dc,ugroerqs,ugroerqs_dc,ugroerqt,ugroerqt_dc,uibcom12,uibcom12_dc,uitcbq,uitcbq_dc,uitci12,uitci12_dc,uitciq,uitciq_dc,uivatq,uivatq_dc,umii12,umii12_dc,uniami12,uniami12_dc,unopinc12,unopinc12_dc,unopinom12,unopinom12_dc,unopinomq,unopinomq_dc,unopit12,unopit12_dc,unopitn12,unopitn12_dc,unopitnq,unopitnq_dc,unopitq,unopitq_dc,unordc12,unordc12_dc,unordcq,unordcq_dc,unpq,unpq_dc,uopeom12,uopeom12_dc,uopeomq,uopeomq_dc,uopeps12,uopeps12_dc,uopexpt12,uopexpt12_dc,uopexptq,uopexptq_dc,uopext12,uopext12_dc,uopextq,uopextq_dc,uopi12,uopi12_dc,uopitt12,uopitt12_dc,uopittq,uopittq_dc,uoprdc12,uoprdc12_dc,uoprdcq,uoprdcq_dc,uopre12,uopre12_dc,uopreq,uopreq_dc,uoprgwci12,uoprgwci12_dc,uoprgwciq,uoprgwciq_dc,uoproi12,uoproi12_dc,uoproiq,uoproiq_dc,updvp12,updvp12_dc,uptq,uptq_dc,usale12,usale12_dc,usaleetq,usaleetq_dc,usalegwtq,usalegwtq_dc,uspi12,uspi12_dc,uspinoq,uspinoq_dc,ustatejurf,ustatejurf_dc,ustatejurs,ustatejurs_dc,ustatejurt,ustatejurt_dc,usubdvp12,usubdvp12_dc,utme12,utme12_dc,utstkcq,utstkcq_dc,utstkpq,utstkpq_dc,utxdi12,utxdi12_dc,utxdiq,utxdiq_dc,utxfed12,utxfed12_dc,utxfedq,utxfedq_dc,utxs12,utxs12_dc,utxsq,utxsq_dc,utxto12,utxto12_dc,utxtoq,utxtoq_dc,uxido12,uxido12_dc,uxint12,uxint12_dc,datadate,uedodf,uedods,uedodt,ugdodf,ugdods,ugdodt,add1,add2,add3,add4,addzip,busdesc,cik,city,conml,county,dlrsn,ein,fax,fic,fyrc,ggroup,gind,gsector,gsubind,idbflag,incorp,loc,naics,phone,prican,prirow,priusa,sic,spcindcd,spcseccd,spcsrc,state,stko,weburl,dldte,ipodate,conm,tic,cusip
001230,INDL,C,D,12,STD,,,,,6307000.0000,,87800.0000,,167.0000,,,,74.5700,,10.8500,,684.1000,,14.5500,,5119.0000,,,,4703000.0000,,157.7000,,11.7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20090331,,,,,,,19300 International Boulevard,,,,98188,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon.",0000766421,Seattle,Alaska Air Group Inc.,,,91-1292054,,USA,12,2030,203020,20,20302010,D,DE,USA,481111,206-392-5040,,,01,4512,605,600,B+,WA,0,www.alaskaair.com,,,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,,,,,6680000.0000,,91500.0000,,171.0000,,,,78.1700,,11.3300,,757.2000,,14.5000,,5677.0000,,,,5222000.0000,,128.4000,,12.6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20090630,,,,,,,19300 International Boulevard,,,,98188,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon.",0000766421,Seattle,Alaska Air Group Inc.,,,91-1292054,,USA,12,2030,203020,20,20302010,D,DE,USA,481111,206-392-5040,,,01,4512,605,600,B+,WA,0,www.alaskaair.com,,,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,,,,,6952000.0000,,95700.0000,,171.0000,,,,81.7900,,12.7300,,884.8000,,15.5600,,6055.0000,,,,5686000.0000,,199.5000,,13.9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20090930,,,,,,,19300 International Boulevard,,,,98188,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon.",0000766421,Seattle,Alaska Air Group Inc.,,,91-1292054,,USA,12,2030,203020,20,20302010,D,DE,USA,481111,206-392-5040,,,01,4512,605,600,B+,WA,0,www.alaskaair.com,,,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,,,,,6497000.0000,,90000.0000,,173.0000,,,,79.4000,,11.7900,,766.0000,,14.8500,,5469.0000,,,,5159000.0000,,172.5000,,13.0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20091231,,,,,,,19300 International Boulevard,,,,98188,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon.",0000766421,Seattle,Alaska Air Group Inc.,,,91-1292054,,USA,12,2030,203020,20,20302010,D,DE,USA,481111,206-392-5040,,,01,4512,605,600,B+,WA,0,www.alaskaair.com,,,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,,,,,6334000.0000,,86500.0000,,170.0000,,,,79.5400,,11.8200,,748.4000,,14.8600,,5225.0000,,,,5038000.0000,,207.3000,,13.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20100331,,,,,,,19300 International Boulevard,,,,98188,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon.",0000766421,Seattle,Alaska Air Group Inc.,,,91-1292054,,USA,12,2030,203020,20,20302010,D,DE,USA,481111,206-392-5040,,,01,4512,605,600,B+,WA,0,www.alaskaair.com,,,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,,,,,6945000.0000,,94300.0000,,173.0000,,,,82.0000,,12.6900,,881.5000,,15.4800,,5875.0000,,,,5695000.0000,,255.0000,,14.0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20100630,,,,,,,19300 International Boulevard,,,,98188,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon.",0000766421,Seattle,Alaska Air Group Inc.,,,91-1292054,,USA,12,2030,203020,20,20302010,D,DE,USA,481111,206-392-5040,,,01,4512,605,600,B+,WA,0,www.alaskaair.com,,,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,,,,,7379000.0000,,100300.0000,,168.0000,,,,84.7000,,13.1900,,973.5000,,15.5800,,6389.0000,,,,6248000.0000,,220.9000,,14.4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20100930,,,,,,,19300 International Boulevard,,,,98188,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon.",0000766421,Seattle,Alaska Air Group Inc.,,,91-1292054,,USA,12,2030,203020,20,20302010,D,DE,USA,481111,206-392-5040,,,01,4512,605,600,B+,WA,0,www.alaskaair.com,,,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,,,,,7011000.0000,,96200.0000,,168.0000,,,,83.0000,,12.4000,,869.5000,,14.9400,,5845.0000,,,,5819000.0000,,217.7000,,13.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20101231,,,,,,,19300 International Boulevard,,,,98188,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon.",0000766421,Seattle,Alaska Air Group Inc.,,,91-1292054,,USA,12,2030,203020,20,20302010,D,DE,USA,481111,206-392-5040,,,01,4512,605,600,B+,WA,0,www.alaskaair.com,,,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,202.0000,,,,7112000.0000,,96300.0000,,171.0000,,11.6900,,82.3000,,12.3600,,878.9000,,15.0200,,5752.0000,,,,5853000.0000,,194.5000,,13.5700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20110331,,,,,,,19300 International Boulevard,,,,98188,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon.",0000766421,Seattle,Alaska Air Group Inc.,,,91-1292054,,USA,12,2030,203020,20,20302010,D,DE,USA,481111,206-392-5040,,,01,4512,605,600,B+,WA,0,www.alaskaair.com,,,ALASKA AIR GROUP INC,ALK,011659109
001230,INDL,C,D,12,STD,399.0000,,,,7469000.0000,,98600.0000,,166.0000,,14.0900,,84.3000,,13.5800,,1014.2000,,16.1200,,6246.0000,,,,6293000.0000,,393.8000,,14.8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20110630,,,,,,,19300 International Boulevard,,,,98188,"Alaska Air Group, Inc., through its subsidiaries, provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon.",0000766421,Seattle,Alaska Air Group Inc.,,,91-1292054,,USA,12,2030,203020,20,20302010,D,DE,USA,481111,206-392-5040,,,01,4512,605,600,B+,WA,0,www.alaskaair.com,,,ALASKA AIR GROUP INC,ALK,011659109
