Categoría: Todas las categorías

Mes,airline: (Estados Unidos)
2004-01,86
2004-02,85
2004-03,86
2004-04,85
2004-05,92
2004-06,100
2004-07,100
2004-08,89
2004-09,79
2004-10,78
2004-11,75
2004-12,73
2005-01,89
2005-02,83
2005-03,86
2005-04,81
2005-05,86
2005-06,92
2005-07,86
2005-08,80
2005-09,71
2005-10,69
2005-11,68
2005-12,64
2006-01,74
2006-02,71
2006-03,75
2006-04,72
2006-05,75
2006-06,77
2006-07,77
2006-08,75
2006-09,65
2006-10,65
2006-11,63
2006-12,62
2007-01,71
2007-02,70
2007-03,71
2007-04,70
2007-05,72
2007-06,79
2007-07,77
2007-08,66
2007-09,61
2007-10,58
2007-11,57
2007-12,54
2008-01,63
2008-02,60
2008-03,63
2008-04,61
2008-05,59
2008-06,63
2008-07,56
2008-08,49
2008-09,40
2008-10,39
2008-11,38
2008-12,40
2009-01,42
2009-02,40
2009-03,42
2009-04,40
2009-05,40
2009-06,45
2009-07,45
2009-08,38
2009-09,36
2009-10,36
2009-11,34
2009-12,34
2010-01,37
2010-02,37
2010-03,39
2010-04,38
2010-05,38
2010-06,40
2010-07,35
2010-08,32
2010-09,31
2010-10,29
2010-11,28
2010-12,28
2011-01,35
2011-02,35
2011-03,33
2011-04,33
2011-05,32
2011-06,36
2011-07,35
2011-08,33
2011-09,31
2011-10,28
2011-11,28
2011-12,27
2012-01,31
2012-02,30
2012-03,31
2012-04,29
2012-05,32
2012-06,31
2012-07,29
2012-08,28
2012-09,25
2012-10,23
2012-11,23
2012-12,23
2013-01,25
2013-02,24
2013-03,25
2013-04,24
2013-05,24
2013-06,26
2013-07,28
2013-08,23
2013-09,22
2013-10,22
2013-11,22
2013-12,23
2014-01,26
2014-02,24
2014-03,32
2014-04,26
2014-05,25
2014-06,26
2014-07,29
2014-08,23
2014-09,23
2014-10,22
2014-11,21
2014-12,23
2015-01,25
2015-02,24
2015-03,25
2015-04,22
2015-05,23
2015-06,26
2015-07,27
2015-08,25
2015-09,22
2015-10,25
2015-11,23
2015-12,22
2016-01,25
2016-02,23
2016-03,24
2016-04,23
2016-05,24
2016-06,26
2016-07,25
2016-08,24
2016-09,21
2016-10,21
2016-11,21
2016-12,23
2017-01,24
2017-02,35
2017-03,26
2017-04,31
2017-05,27
2017-06,26
2017-07,26
2017-08,24
2017-09,22
2017-10,22
2017-11,23
2017-12,22
2018-01,24
2018-02,23
2018-03,25
2018-04,25
2018-05,24
2018-06,26
2018-07,26
2018-08,25
2018-09,21
2018-10,21
2018-11,22
2018-12,21
2019-01,23
2019-02,22
2019-03,27
2019-04,22
2019-05,23
2019-06,25
2019-07,24
2019-08,23
2019-09,21
2019-10,23
