DATE,CES3232500001
1990-01-01,1035.6
1990-02-01,1036.6
1990-03-01,1040.3
1990-04-01,1038.9
1990-05-01,1039.5
1990-06-01,1038.9
1990-07-01,1039.9
1990-08-01,1035.4
1990-09-01,1034.9
1990-10-01,1031.4
1990-11-01,1029.5
1990-12-01,1029.1
1991-01-01,1027.4
1991-02-01,1025.4
1991-03-01,1023.9
1991-04-01,1022.5
1991-05-01,1022.0
1991-06-01,1022.0
1991-07-01,1022.1
1991-08-01,1023.9
1991-09-01,1024.9
1991-10-01,1025.9
1991-11-01,1026.8
1991-12-01,1024.6
1992-01-01,1027.4
1992-02-01,1028.8
1992-03-01,1028.5
1992-04-01,1030.5
1992-05-01,1030.1
1992-06-01,1031.1
1992-07-01,1029.3
1992-08-01,1030.8
1992-09-01,1027.9
1992-10-01,1028.7
1992-11-01,1028.5
1992-12-01,1027.9
1993-01-01,1028.1
1993-02-01,1027.2
1993-03-01,1027.7
1993-04-01,1025.6
1993-05-01,1027.0
1993-06-01,1025.6
1993-07-01,1027.1
1993-08-01,1024.1
1993-09-01,1023.9
1993-10-01,1021.3
1993-11-01,1020.1
1993-12-01,1018.7
1994-01-01,1016.0
1994-02-01,1014.3
1994-03-01,1012.0
1994-04-01,1010.0
1994-05-01,1007.5
1994-06-01,1006.1
1994-07-01,1004.1
1994-08-01,1002.0
1994-09-01,999.4
1994-10-01,996.3
1994-11-01,994.5
1994-12-01,993.0
1995-01-01,994.4
1995-02-01,992.3
1995-03-01,989.7
1995-04-01,988.3
1995-05-01,987.7
1995-06-01,987.0
1995-07-01,986.0
1995-08-01,986.1
1995-09-01,985.7
1995-10-01,986.4
1995-11-01,986.4
1995-12-01,983.4
1996-01-01,985.9
1996-02-01,985.0
1996-03-01,987.1
1996-04-01,985.1
1996-05-01,984.5
1996-06-01,984.0
1996-07-01,984.6
1996-08-01,986.4
1996-09-01,984.0
1996-10-01,983.3
1996-11-01,982.7
1996-12-01,982.9
1997-01-01,983.4
1997-02-01,983.2
1997-03-01,984.5
1997-04-01,985.3
1997-05-01,986.2
1997-06-01,986.5
1997-07-01,984.5
1997-08-01,987.2
1997-09-01,989.0
1997-10-01,990.9
1997-11-01,991.1
1997-12-01,991.4
1998-01-01,991.0
1998-02-01,991.7
1998-03-01,992.6
1998-04-01,993.1
1998-05-01,993.5
1998-06-01,994.3
1998-07-01,995.2
1998-08-01,995.1
1998-09-01,994.3
1998-10-01,992.1
1998-11-01,990.8
1998-12-01,989.5
1999-01-01,987.2
1999-02-01,986.6
1999-03-01,983.7
1999-04-01,982.1
1999-05-01,982.9
1999-06-01,981.6
1999-07-01,979.7
1999-08-01,980.9
1999-09-01,980.7
1999-10-01,981.6
1999-11-01,983.6
1999-12-01,980.6
2000-01-01,984.9
2000-02-01,984.9
2000-03-01,983.9
2000-04-01,984.0
2000-05-01,982.1
2000-06-01,980.3
2000-07-01,976.9
2000-08-01,978.1
2000-09-01,978.2
2000-10-01,978.6
2000-11-01,976.4
2000-12-01,975.3
2001-01-01,976.8
2001-02-01,972.8
2001-03-01,971.6
2001-04-01,967.5
2001-05-01,963.6
2001-06-01,959.4
2001-07-01,957.2
2001-08-01,954.0
2001-09-01,950.6
2001-10-01,947.4
2001-11-01,945.5
2001-12-01,940.3
2002-01-01,936.7
2002-02-01,936.4
2002-03-01,932.4
2002-04-01,929.9
2002-05-01,927.9
2002-06-01,927.8
2002-07-01,925.0
2002-08-01,923.1
2002-09-01,925.7
2002-10-01,921.7
2002-11-01,920.7
2002-12-01,921.5
2003-01-01,923.4
2003-02-01,919.2
2003-03-01,916.1
2003-04-01,912.7
2003-05-01,910.5
2003-06-01,906.1
2003-07-01,905.0
2003-08-01,902.2
2003-09-01,897.0
2003-10-01,894.7
2003-11-01,893.0
2003-12-01,891.5
2004-01-01,889.5
2004-02-01,890.1
2004-03-01,889.5
2004-04-01,890.6
2004-05-01,890.5
2004-06-01,889.5
2004-07-01,888.0
2004-08-01,885.8
2004-09-01,885.2
2004-10-01,884.6
2004-11-01,882.7
2004-12-01,880.6
2005-01-01,876.0
2005-02-01,876.1
2005-03-01,877.8
2005-04-01,876.8
2005-05-01,875.3
2005-06-01,873.3
2005-07-01,871.9
2005-08-01,868.9
2005-09-01,870.3
2005-10-01,867.6
2005-11-01,866.3
2005-12-01,866.8
2006-01-01,868.5
2006-02-01,864.9
2006-03-01,865.3
2006-04-01,864.8
2006-05-01,863.3
2006-06-01,864.7
2006-07-01,866.6
2006-08-01,870.4
2006-09-01,867.1
2006-10-01,867.2
2006-11-01,866.3
2006-12-01,864.3
2007-01-01,864.6
2007-02-01,864.7
2007-03-01,862.8
2007-04-01,860.4
2007-05-01,860.9
2007-06-01,861.6
2007-07-01,861.0
2007-08-01,862.9
2007-09-01,863.1
2007-10-01,857.3
2007-11-01,856.7
2007-12-01,857.6
2008-01-01,856.3
2008-02-01,856.1
2008-03-01,854.7
2008-04-01,854.7
2008-05-01,852.9
2008-06-01,851.6
2008-07-01,848.4
2008-08-01,845.0
2008-09-01,841.2
2008-10-01,838.3
2008-11-01,834.5
2008-12-01,828.6
2009-01-01,824.1
2009-02-01,819.6
2009-03-01,813.9
2009-04-01,809.9
2009-05-01,806.5
2009-06-01,803.4
2009-07-01,799.1
2009-08-01,794.2
2009-09-01,793.0
2009-10-01,793.8
2009-11-01,797.2
2009-12-01,794.3
2010-01-01,792.5
2010-02-01,789.2
2010-03-01,786.3
2010-04-01,786.0
2010-05-01,788.1
2010-06-01,786.4
2010-07-01,786.0
2010-08-01,784.9
2010-09-01,784.8
2010-10-01,784.1
2010-11-01,783.2
2010-12-01,783.6
2011-01-01,780.4
2011-02-01,781.9
2011-03-01,783.5
2011-04-01,784.6
2011-05-01,782.5
2011-06-01,782.8
2011-07-01,783.8
2011-08-01,785.7
2011-09-01,786.8
2011-10-01,784.7
2011-11-01,781.1
2011-12-01,782.2
2012-01-01,783.2
2012-02-01,781.6
2012-03-01,784.0
2012-04-01,782.2
2012-05-01,781.2
2012-06-01,781.8
2012-07-01,781.9
2012-08-01,783.2
2012-09-01,786.0
2012-10-01,786.7
2012-11-01,785.7
2012-12-01,786.2
2013-01-01,789.5
2013-02-01,792.4
2013-03-01,792.5
2013-04-01,793.7
2013-05-01,793.9
2013-06-01,792.5
2013-07-01,794.7
2013-08-01,792.7
2013-09-01,791.1
2013-10-01,791.8
2013-11-01,795.4
2013-12-01,794.3
2014-01-01,796.0
2014-02-01,796.4
2014-03-01,798.0
2014-04-01,798.4
2014-05-01,800.1
2014-06-01,802.8
2014-07-01,803.1
2014-08-01,804.7
2014-09-01,806.1
2014-10-01,808.7
2014-11-01,807.8
2014-12-01,808.3
2015-01-01,805.4
2015-02-01,807.0
2015-03-01,806.0
2015-04-01,807.3
2015-05-01,807.6
2015-06-01,807.6
2015-07-01,808.0
2015-08-01,806.7
2015-09-01,806.3
2015-10-01,805.9
2015-11-01,807.2
2015-12-01,808.4
2016-01-01,808.8
2016-02-01,809.9
2016-03-01,810.2
2016-04-01,810.2
2016-05-01,811.5
2016-06-01,811.3
2016-07-01,812.4
2016-08-01,813.7
2016-09-01,813.2
2016-10-01,813.0
2016-11-01,813.9
2016-12-01,812.5
2017-01-01,814.3
2017-02-01,817.6
2017-03-01,819.2
2017-04-01,820.9
2017-05-01,821.7
2017-06-01,823.2
2017-07-01,825.2
2017-08-01,824.7
2017-09-01,825.6
2017-10-01,831.1
2017-11-01,829.6
2017-12-01,833.5
2018-01-01,833.0
2018-02-01,831.0
2018-03-01,828.1
2018-04-01,831.3
2018-05-01,832.7
2018-06-01,834.1
2018-07-01,833.9
2018-08-01,837.4
2018-09-01,837.6
2018-10-01,839.3
2018-11-01,844.1
2018-12-01,843.0
2019-01-01,844.0
2019-02-01,851.1
2019-03-01,847.6
2019-04-01,848.5
2019-05-01,848.6
2019-06-01,848.9
2019-07-01,849.9
2019-08-01,849.3
2019-09-01,851.7
2019-10-01,851.7
2019-11-01,853.6
2019-12-01,852.6
2020-01-01,850.1
