DATE,CAPUTLG325SQ
1948-01-01,84.3531
1948-04-01,83.0863
1948-07-01,82.0142
1948-10-01,79.0065
1949-01-01,75.4294
1949-04-01,71.2794
1949-07-01,71.6327
1949-10-01,75.2348
1950-01-01,78.5539
1950-04-01,83.3245
1950-07-01,87.6486
1950-10-01,89.4554
1951-01-01,89.8092
1951-04-01,89.8182
1951-07-01,87.7802
1951-10-01,85.4657
1952-01-01,85.3889
1952-04-01,83.3722
1952-07-01,84.2083
1952-10-01,85.1994
1953-01-01,85.1042
1953-04-01,86.4274
1953-07-01,84.4880
1953-10-01,80.7268
1954-01-01,78.9460
1954-04-01,78.5987
1954-07-01,79.3361
1954-10-01,81.4215
1955-01-01,84.6510
1955-04-01,86.2503
1955-07-01,85.8201
1955-10-01,86.9413
1956-01-01,85.6338
1956-04-01,84.2916
1956-07-01,82.3526
1956-10-01,81.8874
1957-01-01,82.7081
1957-04-01,80.5270
1957-07-01,81.0469
1957-10-01,80.3552
1958-01-01,76.6098
1958-04-01,74.4668
1958-07-01,78.0689
1958-10-01,80.3497
1959-01-01,82.4872
1959-04-01,84.9232
1959-07-01,84.3989
1959-10-01,82.9010
1960-01-01,83.8041
1960-04-01,82.3247
1960-07-01,80.2025
1960-10-01,77.4519
1961-01-01,76.4414
1961-04-01,78.3061
1961-07-01,78.5535
1961-10-01,80.9537
1962-01-01,81.1560
1962-04-01,81.3917
1962-07-01,81.3348
1962-10-01,80.9096
1963-01-01,81.8791
1963-04-01,82.6186
1963-07-01,82.7309
1963-10-01,83.1535
1964-01-01,82.9397
1964-04-01,83.8556
1964-07-01,83.8649
1964-10-01,83.9601
1965-01-01,85.7182
1965-04-01,85.2043
1965-07-01,85.0725
1965-10-01,83.6382
1966-01-01,84.1766
1966-04-01,83.4944
1966-07-01,83.4779
1966-10-01,82.4295
1967-01-01,80.6157
1967-04-01,77.8489
1967-07-01,77.3818
1967-10-01,79.6844
1968-01-01,79.8270
1968-04-01,80.1385
1968-07-01,80.2655
1968-10-01,80.4279
1969-01-01,80.2012
1969-04-01,79.5816
1969-07-01,78.9632
1969-10-01,77.9848
1970-01-01,77.1160
1970-04-01,76.9698
1970-07-01,76.1892
1970-10-01,74.8581
1971-01-01,73.5026
1971-04-01,74.7904
1971-07-01,76.2424
1971-10-01,77.8553
1972-01-01,79.4310
1972-04-01,79.9702
1972-07-01,80.1904
1972-10-01,81.6444
1973-01-01,83.4612
1973-04-01,83.4467
1973-07-01,83.3609
1973-10-01,85.1279
1974-01-01,86.1573
1974-04-01,85.4410
1974-07-01,84.6384
1974-10-01,79.3866
1975-01-01,72.3423
1975-04-01,69.3376
1975-07-01,71.2584
1975-10-01,73.9987
1976-01-01,76.3068
1976-04-01,77.3707
1976-07-01,78.5534
1976-10-01,79.3374
1977-01-01,80.6415
1977-04-01,82.2427
1977-07-01,81.7236
