DATE,N403RC1Q027SBEA
2001-01-01,16.423
2001-04-01,23.209
2001-07-01,24.906
2001-10-01,23.424
2002-01-01,28.1
2002-04-01,28.797
2002-07-01,30.255
2002-10-01,35.541
2003-01-01,29.225
2003-04-01,28.53
2003-07-01,34.431
2003-10-01,35.0
2004-01-01,33.351
2004-04-01,39.517
2004-07-01,47.55
2004-10-01,37.084
2005-01-01,50.88
2005-04-01,29.996
2005-07-01,30.453
2005-10-01,33.541
2006-01-01,58.711
2006-04-01,76.123
2006-07-01,78.406
2006-10-01,61.779
2007-01-01,78.94
2007-04-01,63.856
2007-07-01,60.57
2007-10-01,79.843
2008-01-01,43.617
2008-04-01,65.439
2008-07-01,50.259
2008-10-01,46.697
2009-01-01,56.73
2009-04-01,57.884
2009-07-01,52.077
2009-10-01,54.125
2010-01-01,42.578
2010-04-01,61.238
2010-07-01,81.425
2010-10-01,68.335
2011-01-01,55.367
2011-04-01,40.664
2011-07-01,53.743
2011-10-01,63.011
2012-01-01,67.371
2012-04-01,65.97
2012-07-01,53.735
2012-10-01,67.047
2013-01-01,68.347
2013-04-01,80.062
2013-07-01,71.491
2013-10-01,80.248
2014-01-01,54.947
2014-04-01,87.424
2014-07-01,68.041
2014-10-01,78.559
2015-01-01,74.079
2015-04-01,63.999
2015-07-01,65.55
2015-10-01,58.834
2016-01-01,76.831
2016-04-01,61.319
2016-07-01,62.972
2016-10-01,57.134
2017-01-01,58.613
2017-04-01,66.688
2017-07-01,70.587
2017-10-01,52.894
2018-01-01,48.402
2018-04-01,59.7
2018-07-01,60.532
2018-10-01,65.386
2019-01-01,52.941
2019-04-01,49.111
2019-07-01,53.29
