DATE,IPB51213S
1954-01-01,7.9978
1954-02-01,8.0727
1954-03-01,8.1851
1954-04-01,7.8292
1954-05-01,7.8292
1954-06-01,7.7731
1954-07-01,7.5670
1954-08-01,7.9604
1954-09-01,8.2413
1954-10-01,8.3350
1954-11-01,8.3350
1954-12-01,8.4661
1955-01-01,8.5597
1955-02-01,8.7283
1955-03-01,8.7658
1955-04-01,8.8407
1955-05-01,8.8594
1955-06-01,8.9531
1955-07-01,8.9156
1955-08-01,8.8407
1955-09-01,9.3464
1955-10-01,9.5337
1955-11-01,9.6835
1955-12-01,9.7959
1956-01-01,9.6086
1956-02-01,9.7772
1956-03-01,9.9270
1956-04-01,10.2642
1956-05-01,10.2080
1956-06-01,10.5451
1956-07-01,10.7886
1956-08-01,10.7137
1956-09-01,10.6762
1956-10-01,10.5451
1956-11-01,10.6013
1956-12-01,10.8074
1957-01-01,11.1445
1957-02-01,11.1258
1957-03-01,11.5004
1957-04-01,11.1258
1957-05-01,11.3880
1957-06-01,11.1632
1957-07-01,11.3131
1957-08-01,11.3693
1957-09-01,11.4442
1957-10-01,11.8562
1957-11-01,11.9499
1957-12-01,12.1185
1958-01-01,12.0810
1958-02-01,12.0061
1958-03-01,12.0623
1958-04-01,11.8937
1958-05-01,11.8562
1958-06-01,12.2683
1958-07-01,12.4743
1958-08-01,12.6616
1958-09-01,12.7928
1958-10-01,12.6055
1958-11-01,12.7928
1958-12-01,12.9051
1959-01-01,13.2236
1959-02-01,13.4858
1959-03-01,13.4483
1959-04-01,13.8042
1959-05-01,13.5794
1959-06-01,13.6356
1959-07-01,13.4483
1959-08-01,13.9540
1959-09-01,14.4972
1959-10-01,14.1601
1959-11-01,14.1975
1959-12-01,13.9915
1960-01-01,14.3286
1960-02-01,14.0851
1960-03-01,14.4597
1960-04-01,14.5347
1960-05-01,14.6283
1960-06-01,14.6845
1960-07-01,14.6096
1960-08-01,14.7032
1960-09-01,14.7220
1960-10-01,15.2652
1960-11-01,14.8718
1960-12-01,14.7407
1961-01-01,14.9467
1961-02-01,14.9655
1961-03-01,14.7969
1961-04-01,15.6959
1961-05-01,15.9207
1961-06-01,15.8271
1961-07-01,15.7521
1961-08-01,15.9020
1961-09-01,15.6585
1961-10-01,16.1080
1961-11-01,16.4452
1961-12-01,16.6512
1962-01-01,16.3140
1962-02-01,16.8385
1962-03-01,16.6886
1962-04-01,16.7636
1962-05-01,17.0445
1962-06-01,17.1756
1962-07-01,17.2880
1962-08-01,17.3255
1962-09-01,17.2131
1962-10-01,17.3442
1962-11-01,17.3442
1962-12-01,17.7750
1963-01-01,18.0372
1963-02-01,18.4493
1963-03-01,18.4118
1963-04-01,19.1049
1963-05-01,18.5991
1963-06-01,18.2807
1963-07-01,18.8239
1963-08-01,18.9925
1963-09-01,18.8052
1963-10-01,19.2360
1963-11-01,18.8988
1963-12-01,19.0487
1964-01-01,18.8052
1964-02-01,18.9363
1964-03-01,18.7115
1964-04-01,19.6293
1964-05-01,19.6855
1964-06-01,20.1538
1964-07-01,19.9852
1964-08-01,20.1163
1964-09-01,20.3785
1964-10-01,20.4534
1964-11-01,20.4722
1964-12-01,20.7344
1965-01-01,21.7645
1965-02-01,21.7645
1965-03-01,22.1017
1965-04-01,21.5023
1965-05-01,21.7271
1965-06-01,21.4087
1965-07-01,21.7084
1965-08-01,22.0642
1965-09-01,22.2141
1965-10-01,21.7833
1965-11-01,22.6074
1965-12-01,22.5325
1966-01-01,23.4315
1966-02-01,23.1319
1966-03-01,23.2817
1966-04-01,23.0007
1966-05-01,23.7125
1966-06-01,23.8249
1966-07-01,23.6750
1966-08-01,24.2744
1966-09-01,24.2744
1966-10-01,24.7614
1966-11-01,25.5855
1966-12-01,25.0049
1967-01-01,25.3259
1967-02-01,25.0564
1967-03-01,25.5402
1967-04-01,24.7841
1967-05-01,24.8982
1967-06-01,25.3684
1967-07-01,24.8827
1967-08-01,25.5124
1967-09-01,25.7447
1967-10-01,26.0309
1967-11-01,27.0119
1967-12-01,26.1852
1968-01-01,26.8764
1968-02-01,26.7582
1968-03-01,26.6716
1968-04-01,27.2566
1968-05-01,27.7908
1968-06-01,27.7505
1968-07-01,27.6097
1968-08-01,28.3841
1968-09-01,28.5637
1968-10-01,28.4416
1968-11-01,29.5190
1968-12-01,28.9280
1969-01-01,29.1430
1969-02-01,29.7013
1969-03-01,28.8576
1969-04-01,29.1323
1969-05-01,27.6036
1969-06-01,28.8118
1969-07-01,29.0413
1969-08-01,29.0662
1969-09-01,29.7109
1969-10-01,29.9590
1969-11-01,29.4426
1969-12-01,30.6987
1970-01-01,30.4862
1970-02-01,30.8465
1970-03-01,31.5666
1970-04-01,31.9213
1970-05-01,32.1769
1970-06-01,32.1732
1970-07-01,33.1608
1970-08-01,31.2446
1970-09-01,31.6326
1970-10-01,32.1098
1970-11-01,31.7017
1970-12-01,32.7288
1971-01-01,32.1392
1971-02-01,32.1552
1971-03-01,32.6949
1971-04-01,33.2835
1971-05-01,33.0544
1971-06-01,33.8597
1971-07-01,34.0280
1971-08-01,32.8166
1971-09-01,34.6421
1971-10-01,34.1237
1971-11-01,34.9398
1971-12-01,35.2432
1972-01-01,35.4545
1972-02-01,35.7549
1972-03-01,35.3949
1972-04-01,35.4584
1972-05-01,35.9107
1972-06-01,37.0383
1972-07-01,37.2086
1972-08-01,37.2769
1972-09-01,37.7778
1972-10-01,37.5436
1972-11-01,37.8424
1972-12-01,37.9341
1973-01-01,38.0281
1973-02-01,38.6467
1973-03-01,39.1830
