DATE,CAPG325S
1948-01-01,7.8194
1948-02-01,7.9058
1948-03-01,7.9882
1948-04-01,8.0706
1948-05-01,8.1530
1948-06-01,8.2354
1948-07-01,8.3178
1948-08-01,8.4002
1948-09-01,8.4826
1948-10-01,8.5650
1948-11-01,8.6474
1948-12-01,8.7165
1949-01-01,8.7856
1949-02-01,8.8547
1949-03-01,8.9105
1949-04-01,8.9663
1949-05-01,9.0221
1949-06-01,9.0779
1949-07-01,9.1338
1949-08-01,9.1896
1949-09-01,9.2454
1949-10-01,9.3012
1949-11-01,9.3570
1949-12-01,9.4195
1950-01-01,9.4819
1950-02-01,9.5444
1950-03-01,9.6135
1950-04-01,9.6826
1950-05-01,9.7517
1950-06-01,9.8208
1950-07-01,9.8899
1950-08-01,9.9590
1950-09-01,10.0281
1950-10-01,10.0972
1950-11-01,10.1663
1950-12-01,10.2408
1951-01-01,10.3152
1951-02-01,10.3896
1951-03-01,10.4693
1951-04-01,10.5491
1951-05-01,10.6288
1951-06-01,10.7085
1951-07-01,10.7883
1951-08-01,10.8680
1951-09-01,10.9478
1951-10-01,11.0275
1951-11-01,11.1072
1951-12-01,11.1883
1952-01-01,11.2694
1952-02-01,11.3504
1952-03-01,11.4328
1952-04-01,11.5152
1952-05-01,11.5976
1952-06-01,11.6800
1952-07-01,11.7624
1952-08-01,11.8448
1952-09-01,11.9272
1952-10-01,12.0096
1952-11-01,12.0920
1952-12-01,12.1770
1953-01-01,12.2621
1953-02-01,12.3471
1953-03-01,12.4348
1953-04-01,12.5225
1953-05-01,12.6102
1953-06-01,12.6980
1953-07-01,12.7857
1953-08-01,12.8734
1953-09-01,12.9611
1953-10-01,13.0488
1953-11-01,13.1365
1953-12-01,13.2123
1954-01-01,13.2880
1954-02-01,13.3638
1954-03-01,13.4275
1954-04-01,13.4913
1954-05-01,13.5551
1954-06-01,13.6189
1954-07-01,13.6827
1954-08-01,13.7465
1954-09-01,13.8103
1954-10-01,13.8741
1954-11-01,13.9379
1954-12-01,14.0309
1955-01-01,14.1239
1955-02-01,14.2169
1955-03-01,14.3392
1955-04-01,14.4615
1955-05-01,14.5837
1955-06-01,14.7060
1955-07-01,14.8282
1955-08-01,14.9505
1955-09-01,15.0728
1955-10-01,15.1950
1955-11-01,15.3173
1955-12-01,15.4462
1956-01-01,15.5751
1956-02-01,15.7040
1956-03-01,15.8396
1956-04-01,15.9751
1956-05-01,16.1107
1956-06-01,16.2462
1956-07-01,16.3818
1956-08-01,16.5173
1956-09-01,16.6529
1956-10-01,16.7884
1956-11-01,16.9240
1956-12-01,17.0436
1957-01-01,17.1632
1957-02-01,17.2828
1957-03-01,17.3864
1957-04-01,17.4901
1957-05-01,17.5938
1957-06-01,17.6974
1957-07-01,17.8011
1957-08-01,17.9047
1957-09-01,18.0084
1957-10-01,18.1120
1957-11-01,18.2157
1957-12-01,18.3366
1958-01-01,18.4576
1958-02-01,18.5785
1958-03-01,18.7167
1958-04-01,18.8549
1958-05-01,18.9931
1958-06-01,19.1313
1958-07-01,19.2695
1958-08-01,19.4077
1958-09-01,19.5460
1958-10-01,19.6842
1958-11-01,19.8224
1958-12-01,19.9473
1959-01-01,20.0722
1959-02-01,20.1971
1959-03-01,20.3088
1959-04-01,20.4204
1959-05-01,20.5320
1959-06-01,20.6437
1959-07-01,20.7553
1959-08-01,20.8669
1959-09-01,20.9785
1959-10-01,21.0902
1959-11-01,21.2018
1959-12-01,21.3294
1960-01-01,21.4570
1960-02-01,21.5845
1960-03-01,21.7281
1960-04-01,21.8716
1960-05-01,22.0151
1960-06-01,22.1586
1960-07-01,22.3022
1960-08-01,22.4457
1960-09-01,22.5892
1960-10-01,22.7327
1960-11-01,22.8763
1960-12-01,23.0264
1961-01-01,23.1766
1961-02-01,23.3268
1961-03-01,23.4836
1961-04-01,23.6404
1961-05-01,23.7972
1961-06-01,23.9540
1961-07-01,24.1108
1961-08-01,24.2677
1961-09-01,24.4245
1961-10-01,24.5813
1961-11-01,24.7381
1961-12-01,24.8869
1962-01-01,25.0358
1962-02-01,25.1846
1962-03-01,25.3255
1962-04-01,25.4664
1962-05-01,25.6072
1962-06-01,25.7481
1962-07-01,25.8890
1962-08-01,26.0298
1962-09-01,26.1707
1962-10-01,26.3116
1962-11-01,26.4524
1962-12-01,26.6119
1963-01-01,26.7714
1963-02-01,26.9308
1963-03-01,27.1089
1963-04-01,27.2870
1963-05-01,27.4651
1963-06-01,27.6432
1963-07-01,27.8212
1963-08-01,27.9993
1963-09-01,28.1774
1963-10-01,28.3555
1963-11-01,28.5335
1963-12-01,28.7236
