DATE,QFR101CHEUSNO
2000-10-01,131557
2001-01-01,133720
2001-04-01,137849
2001-07-01,130822
2001-10-01,128872
2002-01-01,126274
2002-04-01,135563
2002-07-01,130432
2002-10-01,134328
2003-01-01,135761
2003-04-01,140469
2003-07-01,135266
2003-10-01,131711
2004-01-01,136668
2004-04-01,144593
2004-07-01,143269
2004-10-01,149834
2005-01-01,153890
2005-04-01,158526
2005-07-01,155744
2005-10-01,163590
2006-01-01,171318
2006-04-01,176686
2006-07-01,173301
2006-10-01,176107
2007-01-01,180616
2007-04-01,189369
2007-07-01,187613
2007-10-01,192946
2008-01-01,194494
2008-04-01,209414
2008-07-01,203741
2008-10-01,180696
2009-01-01,170928
2009-04-01,177249
2009-07-01,175723
2009-10-01,180950
2010-01-01,187615
2010-04-01,197891
2010-07-01,189137
2010-10-01,189867
2011-01-01,202351
2011-04-01,216084
2011-07-01,212781
2011-10-01,206552
2012-01-01,214780
2012-04-01,220551
2012-07-01,205724
2012-10-01,205240
2013-01-01,212673
2013-04-01,223713
2013-07-01,217177
2013-10-01,211659
2014-01-01,211664
2014-04-01,231940
2014-07-01,220652
2014-10-01,220321
2015-01-01,212008
2015-04-01,226273
2015-07-01,212354
2015-10-01,211126
2016-01-01,210525
2016-04-01,223818
2016-07-01,216078
2016-10-01,214575
2017-01-01,218574
2017-04-01,229853
2017-07-01,220250
2017-10-01,222337
2018-01-01,222780
2018-04-01,238880
2018-07-01,233208
2018-10-01,231832
2019-01-01,223964
2019-04-01,237558
2019-07-01,228266
