DATE,A25SVS
1992-01-01,25949
1992-02-01,25580
1992-03-01,25656
1992-04-01,26297
1992-05-01,26969
1992-06-01,26626
1992-07-01,26845
1992-08-01,27058
1992-09-01,26614
1992-10-01,26688
1992-11-01,26922
1992-12-01,27053
1993-01-01,27444
1993-02-01,27741
1993-03-01,27339
1993-04-01,27514
1993-05-01,27478
1993-06-01,27943
1993-07-01,27538
1993-08-01,27225
1993-09-01,27468
1993-10-01,27812
1993-11-01,27700
1993-12-01,27522
1994-01-01,27938
1994-02-01,27707
1994-03-01,28515
1994-04-01,28583
1994-05-01,28598
1994-06-01,28798
1994-07-01,29092
1994-08-01,29446
1994-09-01,30205
1994-10-01,30145
1994-11-01,30328
1994-12-01,31158
1995-01-01,31163
1995-02-01,31771
1995-03-01,31187
1995-04-01,31615
1995-05-01,30665
1995-06-01,31491
1995-07-01,32359
1995-08-01,31467
1995-09-01,31610
1995-10-01,31595
1995-11-01,31281
1995-12-01,31695
1996-01-01,30856
1996-02-01,29938
1996-03-01,31645
1996-04-01,31291
1996-05-01,31940
1996-06-01,32108
1996-07-01,32290
1996-08-01,32911
1996-09-01,32879
1996-10-01,32825
1996-11-01,33265
1996-12-01,33085
1997-01-01,33803
1997-02-01,34511
1997-03-01,34417
1997-04-01,34471
1997-05-01,34684
1997-06-01,34586
1997-07-01,34319
1997-08-01,34969
1997-09-01,34630
1997-10-01,35069
1997-11-01,35578
1997-12-01,34664
1998-01-01,35258
1998-02-01,35089
1998-03-01,35013
1998-04-01,34728
1998-05-01,35183
1998-06-01,34775
1998-07-01,34415
1998-08-01,34458
1998-09-01,34632
1998-10-01,34008
1998-11-01,34196
1998-12-01,34627
1999-01-01,34025
1999-02-01,34406
1999-03-01,34100
1999-04-01,34643
1999-05-01,34265
1999-06-01,34871
1999-07-01,35152
1999-08-01,34963
1999-09-01,35567
1999-10-01,36421
1999-11-01,35889
1999-12-01,36046
2000-01-01,36460
2000-02-01,35939
2000-03-01,36664
2000-04-01,37610
2000-05-01,36716
2000-06-01,37760
2000-07-01,37831
2000-08-01,37477
2000-09-01,38514
2000-10-01,37514
2000-11-01,37304
2000-12-01,38753
2001-01-01,37522
2001-02-01,38313
2001-03-01,37596
2001-04-01,36735
2001-05-01,36943
2001-06-01,35565
2001-07-01,35833
2001-08-01,36135
2001-09-01,35477
2001-10-01,35437
2001-11-01,36438
2001-12-01,36343
2002-01-01,36352.0
2002-02-01,36586.0
2002-03-01,37092.0
2002-04-01,37641.0
2002-05-01,38665.0
2002-06-01,40879.0
2002-07-01,37103.0
2002-08-01,38358.0
2002-09-01,40901.0
2002-10-01,39378.0
2002-11-01,39619.0
2002-12-01,39811.0
2003-01-01,39856.0
2003-02-01,40530.0
2003-03-01,41382.0
2003-04-01,39247.0
2003-05-01,39500.0
2003-06-01,39995.0
2003-07-01,41105.0
2003-08-01,40755.0
2003-09-01,41753.0
2003-10-01,41727.0
2003-11-01,41242.0
2003-12-01,41065.0
2004-01-01,42016.0
