Date,Price
"Nov 01, 2019",1.74
"Oct 31, 2019",1.688
"Oct 30, 2019",1.775
"Oct 29, 2019",1.837
"Oct 28, 2019",1.845
"Oct 27, 2019",1.805
"Oct 25, 2019",1.8
"Oct 24, 2019",1.771
"Oct 23, 2019",1.768
"Oct 22, 2019",1.768
"Oct 21, 2019",1.803
"Oct 20, 2019",1.74
"Oct 18, 2019",1.754
"Oct 17, 2019",1.75
"Oct 16, 2019",1.745
"Oct 15, 2019",1.771
"Oct 14, 2019",1.715
"Oct 11, 2019",1.734
"Oct 10, 2019",1.67
"Oct 09, 2019",1.587
"Oct 08, 2019",1.532
"Oct 07, 2019",1.565
"Oct 06, 2019",1.515
"Oct 04, 2019",1.529
"Oct 03, 2019",1.534
"Oct 02, 2019",1.601
"Oct 01, 2019",1.635
"Sep 30, 2019",1.668
"Sep 29, 2019",1.684
"Sep 27, 2019",1.687
"Sep 26, 2019",1.697
"Sep 25, 2019",1.737
"Sep 24, 2019",1.652
"Sep 23, 2019",1.723
"Sep 22, 2019",1.722
"Sep 20, 2019",1.722
"Sep 19, 2019",1.787
"Sep 18, 2019",1.8
"Sep 17, 2019",1.81
"Sep 16, 2019",1.843
"Sep 15, 2019",1.901
"Sep 13, 2019",1.901
"Sep 12, 2019",1.778
"Sep 11, 2019",1.746
"Sep 10, 2019",1.744
"Sep 09, 2019",1.647
"Sep 08, 2019",1.56
"Sep 06, 2019",1.56
"Sep 05, 2019",1.565
"Sep 04, 2019",1.471
"Sep 03, 2019",1.462
"Sep 02, 2019",1.506
"Aug 30, 2019",1.499
"Aug 29, 2019",1.496
"Aug 28, 2019",1.468
"Aug 27, 2019",1.474
"Aug 26, 2019",1.538
"Aug 25, 2019",1.476
"Aug 23, 2019",1.533
"Aug 22, 2019",1.613
"Aug 21, 2019",1.591
"Aug 20, 2019",1.552
"Aug 19, 2019",1.608
"Aug 18, 2019",1.574
"Aug 16, 2019",1.562
"Aug 15, 2019",1.502
"Aug 14, 2019",1.583
"Aug 13, 2019",1.702
"Aug 12, 2019",1.64
"Aug 11, 2019",1.745
"Aug 09, 2019",1.745
"Aug 08, 2019",1.719
"Aug 07, 2019",1.721
"Aug 06, 2019",1.716
"Aug 05, 2019",1.718
"Aug 04, 2019",1.85
"Aug 02, 2019",1.843
"Aug 01, 2019",1.902
"Jul 31, 2019",2.007
"Jul 30, 2019",2.06
"Jul 29, 2019",2.063
"Jul 28, 2019",2.069
"Jul 26, 2019",2.074
"Jul 25, 2019",2.083
"Jul 24, 2019",2.05
"Jul 23, 2019",2.078
"Jul 22, 2019",2.05
"Jul 21, 2019",2.059
"Jul 19, 2019",2.057
"Jul 18, 2019",2.026
"Jul 17, 2019",2.043
"Jul 16, 2019",2.106
"Jul 15, 2019",2.09
"Jul 14, 2019",2.124
"Jul 12, 2019",2.124
"Jul 11, 2019",2.143
"Jul 10, 2019",2.061
"Jul 09, 2019",2.072
"Jul 08, 2019",2.048
"Jul 07, 2019",2.043
"Jul 05, 2019",2.039
"Jul 04, 2019",1.948
"Jul 03, 2019",1.953
"Jul 02, 2019",1.976
"Jul 01, 2019",2.033
"Jun 30, 2019",2.045
"Jun 28, 2019",2.007
"Jun 27, 2019",2.014
"Jun 26, 2019",2.05
"Jun 25, 2019",1.988
"Jun 24, 2019",2.018
"Jun 23, 2019",2.059
"Jun 21, 2019",2.059
"Jun 20, 2019",2.023
"Jun 19, 2019",2.029
"Jun 18, 2019",2.058
"Jun 17, 2019",2.091
"Jun 16, 2019",2.092
"Jun 14, 2019",2.084
"Jun 13, 2019",2.093
"Jun 12, 2019",2.122
"Jun 11, 2019",2.145
"Jun 10, 2019",2.15
"Jun 09, 2019",2.121
"Jun 07, 2019",2.084
"Jun 06, 2019",2.121
"Jun 05, 2019",2.131
"Jun 04, 2019",2.121
"Jun 03, 2019",2.075
