DATE,IPN213111S
1972-01-01,61.8041
1972-02-01,61.2653
1972-03-01,60.1600
1972-04-01,61.3148
1972-05-01,61.6815
1972-06-01,63.0297
1972-07-01,62.3710
1972-08-01,62.3525
1972-09-01,62.6537
1972-10-01,62.6118
1972-11-01,62.2559
1972-12-01,62.7293
1973-01-01,64.3698
1973-02-01,59.1462
1973-03-01,57.7190
1973-04-01,53.4326
1973-05-01,51.8560
1973-06-01,55.1570
1973-07-01,56.8325
1973-08-01,57.9106
1973-09-01,59.1840
1973-10-01,60.6504
1973-11-01,61.5821
1973-12-01,61.9770
1974-01-01,63.0537
1974-02-01,64.1869
1974-03-01,65.6365
1974-04-01,70.5081
1974-05-01,68.3666
1974-06-01,67.2918
1974-07-01,68.0015
1974-08-01,67.3906
1974-09-01,66.7539
1974-10-01,68.2066
1974-11-01,71.2726
1974-12-01,73.3088
1975-01-01,69.7246
1975-02-01,69.5738
1975-03-01,73.6917
1975-04-01,74.9094
1975-05-01,75.0735
1975-06-01,77.5002
1975-07-01,77.4157
1975-08-01,78.1393
1975-09-01,79.8262
1975-10-01,80.1370
1975-11-01,80.6757
1975-12-01,81.8396
1976-01-01,83.8598
1976-02-01,83.1424
1976-03-01,84.5627
1976-04-01,82.2065
1976-05-01,81.5465
1976-06-01,82.1177
1976-07-01,87.3263
1976-08-01,85.5564
1976-09-01,86.0326
1976-10-01,88.7117
1976-11-01,93.1854
1976-12-01,95.9696
1977-01-01,96.4905
1977-02-01,105.2826
1977-03-01,104.8085
1977-04-01,106.8610
1977-05-01,111.7021
1977-06-01,111.9059
1977-07-01,112.6749
1977-08-01,113.4335
1977-09-01,114.4324
1977-10-01,112.4151
1977-11-01,112.2484
1977-12-01,110.9686
1978-01-01,112.4327
1978-02-01,116.8366
1978-03-01,117.6737
1978-04-01,120.9253
1978-05-01,122.5981
1978-06-01,123.2861
1978-07-01,123.3817
1978-08-01,126.8314
1978-09-01,125.7406
1978-10-01,126.2203
1978-11-01,125.3222
1978-12-01,121.7427
1979-01-01,128.1882
1979-02-01,126.2907
1979-03-01,124.4514
1979-04-01,126.9807
1979-05-01,123.6630
1979-06-01,127.1995
