DATE,IPN33313S
1972-01-01,40.8945
1972-02-01,40.8686
1972-03-01,41.2223
1972-04-01,41.5869
1972-05-01,42.1520
1972-06-01,42.8002
1972-07-01,43.1274
1972-08-01,43.6083
1972-09-01,44.0116
1972-10-01,43.8945
1972-11-01,44.0905
1972-12-01,43.3634
1973-01-01,43.6613
1973-02-01,45.1041
1973-03-01,46.5947
1973-04-01,47.4591
1973-05-01,44.7872
1973-06-01,47.6054
1973-07-01,48.6625
1973-08-01,50.1636
1973-09-01,51.6400
1973-10-01,53.1871
1973-11-01,54.0224
1973-12-01,54.1295
1974-01-01,56.3752
1974-02-01,57.3550
1974-03-01,58.2750
1974-04-01,58.1218
1974-05-01,60.7199
1974-06-01,62.2657
1974-07-01,62.2206
1974-08-01,64.0273
1974-09-01,64.6254
1974-10-01,66.7526
1974-11-01,66.4344
1974-12-01,65.5222
1975-01-01,65.6348
1975-02-01,66.4927
1975-03-01,66.6364
1975-04-01,67.8816
1975-05-01,66.7158
1975-06-01,64.9493
1975-07-01,67.4639
1975-08-01,66.3894
1975-09-01,66.0867
1975-10-01,67.0312
1975-11-01,68.6198
1975-12-01,68.8602
1976-01-01,67.8237
1976-02-01,66.1134
1976-03-01,63.5363
1976-04-01,63.4025
1976-05-01,61.8203
1976-06-01,61.8276
1976-07-01,61.3314
1976-08-01,63.0293
1976-09-01,62.3014
1976-10-01,63.0740
1976-11-01,63.7549
1976-12-01,64.2050
1977-01-01,62.7033
1977-02-01,64.3631
1977-03-01,63.9952
1977-04-01,63.2484
1977-05-01,64.3265
1977-06-01,64.8768
1977-07-01,66.3502
1977-08-01,68.3075
1977-09-01,68.5301
1977-10-01,67.3213
1977-11-01,67.6217
1977-12-01,68.8520
1978-01-01,68.1674
1978-02-01,68.1050
1978-03-01,70.8289
1978-04-01,71.8483
1978-05-01,73.7812
1978-06-01,75.1844
1978-07-01,76.1511
1978-08-01,76.7823
1978-09-01,78.1897
1978-10-01,79.6183
1978-11-01,78.5691
1978-12-01,79.4388
1979-01-01,79.9281
1979-02-01,77.8179
1979-03-01,78.4412
1979-04-01,74.7167
1979-05-01,78.4320
1979-06-01,76.7666
1979-07-01,76.4547
1979-08-01,76.1716
1979-09-01,76.2861
1979-10-01,77.9345
1979-11-01,77.4423
1979-12-01,77.4399
1980-01-01,79.0495
1980-02-01,79.2705
1980-03-01,79.8567
1980-04-01,81.8784
1980-05-01,83.6621
1980-06-01,83.1511
1980-07-01,83.1743
1980-08-01,86.1543
1980-09-01,88.2734
1980-10-01,90.9984
1980-11-01,93.3312
1980-12-01,95.9119
1981-01-01,97.5232
1981-02-01,97.8034
1981-03-01,100.0566
1981-04-01,101.7212
1981-05-01,103.1115
1981-06-01,103.8853
1981-07-01,105.7662
1981-08-01,108.1455
1981-09-01,109.9117
1981-10-01,110.7148
1981-11-01,113.2051
1981-12-01,112.8371
1982-01-01,110.3635
1982-02-01,113.9278
1982-03-01,111.6802
1982-04-01,104.4944
1982-05-01,96.0561
1982-06-01,87.8311
1982-07-01,77.7413
1982-08-01,72.5162
1982-09-01,66.0651
1982-10-01,61.5169
1982-11-01,59.8726
1982-12-01,58.7264
1983-01-01,54.4242
1983-02-01,52.0626
1983-03-01,50.2880
1983-04-01,49.0240
1983-05-01,47.4073
1983-06-01,46.1090
1983-07-01,45.6743
1983-08-01,44.4042
1983-09-01,44.8892
1983-10-01,44.4579
1983-11-01,44.8212
1983-12-01,45.4115
1984-01-01,45.4113
1984-02-01,45.8037
1984-03-01,47.2947
1984-04-01,47.3190
1984-05-01,47.6243
1984-06-01,47.3432
1984-07-01,46.2623
1984-08-01,47.7051
1984-09-01,49.1320
1984-10-01,48.6550
1984-11-01,48.3280
1984-12-01,48.0575
1985-01-01,47.8402
1985-02-01,46.3990
1985-03-01,45.8314
1985-04-01,45.3225
1985-05-01,45.2043
1985-06-01,45.3978
1985-07-01,44.8723
1985-08-01,42.9315
1985-09-01,43.4346
1985-10-01,43.1172
1985-11-01,41.4510
1985-12-01,41.5430
1986-01-01,40.9952
1986-02-01,38.7580
1986-03-01,36.7552
1986-04-01,33.8349
1986-05-01,30.9441
1986-06-01,29.3546
1986-07-01,27.9716
1986-08-01,27.3963
1986-09-01,26.1679
1986-10-01,25.5681
1986-11-01,23.7620
1986-12-01,23.0470
1987-01-01,22.4277
1987-02-01,22.9818
1987-03-01,22.5969
1987-04-01,23.4331
1987-05-01,24.4505
1987-06-01,24.8326
1987-07-01,25.5978
1987-08-01,26.3990
1987-09-01,27.4171
1987-10-01,28.1022
1987-11-01,29.0825
1987-12-01,29.4239
1988-01-01,29.6664
1988-02-01,30.4926
1988-03-01,30.9245
1988-04-01,32.3796
1988-05-01,33.3089
1988-06-01,32.5300
1988-07-01,32.6793
1988-08-01,32.8516
1988-09-01,32.1998
1988-10-01,31.9849
1988-11-01,31.8301
1988-12-01,31.8113
1989-01-01,31.5284
1989-02-01,30.2083
1989-03-01,30.8525
1989-04-01,30.3379
1989-05-01,30.2231
1989-06-01,30.5465
1989-07-01,29.4795
1989-08-01,29.6406
1989-09-01,29.7450
1989-10-01,28.9373
1989-11-01,29.7460
1989-12-01,30.2947
1990-01-01,30.0397
1990-02-01,30.6484
1990-03-01,31.3000
1990-04-01,30.6521
1990-05-01,31.6572
1990-06-01,32.6937
1990-07-01,33.4114
1990-08-01,32.8060
1990-09-01,33.2125
1990-10-01,32.9908
1990-11-01,33.6159
1990-12-01,33.6622
1991-01-01,33.4999
1991-02-01,33.3939
1991-03-01,32.9200
1991-04-01,31.1902
1991-05-01,30.8742
1991-06-01,31.5763
1991-07-01,31.1923
1991-08-01,30.4564
1991-09-01,30.8116
1991-10-01,31.1761
1991-11-01,30.5997
1991-12-01,30.7485
1992-01-01,29.9918
1992-02-01,30.3809
