gvkey,indfmt,consol,popsrc,fyr,datafmt,ogaspnglq,ogaspnglq_dc,ogaspngq,ogaspngq_dc,ogaspoilq,ogaspoilq_dc,ogpngdq,ogpngdq_dc,ogpngldq,ogpngldq_dc,ogpnglq,ogpnglq_dc,ogpngq,ogpngq_dc,ogpoildq,ogpoildq_dc,ogpoilq,ogpoilq_dc,ogxdhq,ogxdhq_dc,ogxpxq,ogxpxq_dc,orcaptq,orcaptq_dc,orcapuq,orcapuq_dc,orfmq,orfmq_dc,orfsitesq,orfsitesq_dc,orfvolq,orfvolq_dc,ormmq,ormmq_dc,ormsaleq,ormsaleq_dc,orpsdq,orpsdq_dc,orpsgq,orpsgq_dc,orpsoq,orpsoq_dc,orpspq,orpspq_dc,orpstq,orpstq_dc,orpydq,orpydq_dc,orpygq,orpygq_dc,orpyoq,orpyoq_dc,orpypq,orpypq_dc,orpytq,orpytq_dc,orttq,orttq_dc,datadate,tic
002991,INDL,C,D,12,STD,,,,,,,5054000.0000,,,4,,,,,1911.0000,,,,71.0000,,281.0000,,2158.0000,,91.0000,,,,,,,,,,,,,,,,,,,,3156.0000,,,,,,,,,,,,1831.0000,,20091231,CVX
002991,INDL,C,D,12,STD,,,,,,,5101000.0000,,,4,,,,,1933.0000,,,,66.0000,,180.0000,,,,,,,,,,,,,,,,,,1100.0000,,,,,,3074.0000,,,,,,,,,,,,1881.0000,,20100331,CVX
002991,INDL,C,D,12,STD,,,,,,,5016000.0000,,,4,,,,,1910.0000,,,,62.0000,,212.0000,,,,,,,,,,,,,,,,,,1177.0000,,,,,,3182.0000,,,,,,,,,,,,1871.0000,,20100630,CVX
002991,INDL,C,D,12,STD,,,,,,,5003000.0000,,,4,,,,,1904.0000,,,,253.0000,,420.0000,,,,,,,,,,,,,,,,,,1106.0000,,,,,,3102.0000,,,,,,,,,,,,1907.0000,,20100930,CVX
002991,INDL,C,D,12,STD,,,,,,,5040000.0000,,,4,,,,,1946.0000,,,,115.0000,,335.0000,,2160.0000,,92.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916.0000,,20101231,CVX
002991,INDL,C,D,12,STD,,,,,,,5096000.0000,,,4,,,,,1910.0000,,,,2.0000,,168.0000,,,,,,,,,,,,,,,,,,1050.0000,,,,,,3064.0000,,,,,,,,,,,,1911.0000,,20110331,CVX
002991,INDL,C,D,12,STD,,,,,,,4969000.0000,,,4,,,,,1866.0000,,,,202.0000,,422.0000,,,,,,,,,,,,,,,,,,1029.0000,,,,,,3097.0000,,,,,,,,,,,,1895.0000,,20110630,CVX
002991,INDL,C,D,12,STD,,,,,,,4756000.0000,,,4,,,,,1806.0000,,,,57.0000,,240.0000,,,,,,,,,,,,,,,,,,993.0000,,,,,,2842.0000,,,,,,,,,,,,1779.0000,,20110930,CVX
002991,INDL,C,D,12,STD,,,,,,,4948000.0000,,,4,,,,,1816.0000,,,,116.0000,,386.0000,,,,,,,,,,,,,,,,,,,,,,,,2797.0000,,,,,,,,,,,,1568.0000,,20111231,CVX
002991,INDL,C,D,12,STD,,,,,,,5019000.0000,,,4,,,,,1794.0000,,,,242.0000,,403.0000,,,,,,,,,,,,,,,,,,915.0000,,,,,,2761.0000,,,,,,,,,,,,1705.0000,,20120331,CVX
002991,INDL,C,D,12,STD,,,,,,,5080000.0000,,,4,,,,,1778.0000,,,,200.0000,,493.0000,,,,,,,,,,,,,,,,,,977.0000,,,,,,2839.0000,,,,,,,,,,,,1798.0000,,20120630,CVX
