gvkey,iid,datadate,tic,cusip,conm,curcddv,capgn,cheqv,div,divd,divdpaydateind,divsp,dvrated,paydateind,anncdate,capgnpaydate,cheqvpaydate,divdpaydate,divsppaydate,paydate,recorddate,curcdd,adrrc,ajexdi,cshoc,cshtrd,dvi,eps,epsmo,prccd,prchd,prcld,prcod,prcstd,trfd,exchg,secstat,tpci,cik,fic,add1,add2,add3,add4,addzip,busdesc,city,conml,costat,county,dlrsn,ein,fax,fyrc,ggroup,gind,gsector,gsubind,idbflag,incorp,loc,naics,phone,prican,prirow,priusa,sic,spcindcd,spcseccd,spcsrc,state,stko,weburl,dldte,ipodate
004503,01,20080930,XOM,30231G102,EXXON MOBIL CORP,,,,,,,,,,,,,,,,,USD,,1.0000,5194003000.0000,42033740.0000,1.6000,8.1700,6,77.6600,78.6100,75.1700,75.6200,3,2.54185532,11,A,0,0000034088,USA,5959 Las Colinas Boulevard,,,,75039,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/Other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments.",Irving,Exxon Mobil Corp,A,,,13-5409005,,12,1010,101020,10,10102010,B,NJ,USA,324110,972-940-6000,,,01,2911,390,935,B+,TX,0,corporate.exxonmobil.com,,
004503,01,20081001,XOM,30231G102,EXXON MOBIL CORP,,,,,,,,,,,,,,,,,USD,,1.0000,5194003000.0000,34337070.0000,1.6000,8.1700,6,78.5800,79.2300,74.9300,77.1900,3,2.54185532,11,A,0,0000034088,USA,5959 Las Colinas Boulevard,,,,75039,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/Other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments.",Irving,Exxon Mobil Corp,A,,,13-5409005,,12,1010,101020,10,10102010,B,NJ,USA,324110,972-940-6000,,,01,2911,390,935,B+,TX,0,corporate.exxonmobil.com,,
004503,01,20081002,XOM,30231G102,EXXON MOBIL CORP,,,,,,,,,,,,,,,,,USD,,1.0000,5194003000.0000,44095740.0000,1.6000,8.1700,6,77.5000,79.4100,76.4400,77.7700,3,2.54185532,11,A,0,0000034088,USA,5959 Las Colinas Boulevard,,,,75039,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/Other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments.",Irving,Exxon Mobil Corp,A,,,13-5409005,,12,1010,101020,10,10102010,B,NJ,USA,324110,972-940-6000,,,01,2911,390,935,B+,TX,0,corporate.exxonmobil.com,,
004503,01,20081003,XOM,30231G102,EXXON MOBIL CORP,,,,,,,,,,,,,,,,,USD,,1.0000,5194003000.0000,44177160.0000,1.6000,8.1700,6,77.9400,81.7500,77.5500,77.8500,3,2.54185532,11,A,0,0000034088,USA,5959 Las Colinas Boulevard,,,,75039,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/Other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments.",Irving,Exxon Mobil Corp,A,,,13-5409005,,12,1010,101020,10,10102010,B,NJ,USA,324110,972-940-6000,,,01,2911,390,935,B+,TX,0,corporate.exxonmobil.com,,
004503,01,20081006,XOM,30231G102,EXXON MOBIL CORP,,,,,,,,,,,,,,,,,USD,,1.0000,5194003000.0000,65937140.0000,1.6000,8.1700,6,77.3200,77.5000,73.7300,75.6500,3,2.54185532,11,A,0,0000034088,USA,5959 Las Colinas Boulevard,,,,75039,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/Other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments.",Irving,Exxon Mobil Corp,A,,,13-5409005,,12,1010,101020,10,10102010,B,NJ,USA,324110,972-940-6000,,,01,2911,390,935,B+,TX,0,corporate.exxonmobil.com,,
004503,01,20081007,XOM,30231G102,EXXON MOBIL CORP,,,,,,,,,,,,,,,,,USD,,1.0000,5194003000.0000,62786520.0000,1.6000,8.1700,6,76.0700,79.8800,74.9600,78.0000,3,2.54185532,11,A,0,0000034088,USA,5959 Las Colinas Boulevard,,,,75039,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/Other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments.",Irving,Exxon Mobil Corp,A,,,13-5409005,,12,1010,101020,10,10102010,B,NJ,USA,324110,972-940-6000,,,01,2911,390,935,B+,TX,0,corporate.exxonmobil.com,,
004503,01,20081008,XOM,30231G102,EXXON MOBIL CORP,,,,,,,,,,,,,,,,,USD,,1.0000,5194003000.0000,74941210.0000,1.6000,8.1700,6,77.0000,79.3900,74.0000,74.8500,3,2.54185532,11,A,0,0000034088,USA,5959 Las Colinas Boulevard,,,,75039,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/Other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments.",Irving,Exxon Mobil Corp,A,,,13-5409005,,12,1010,101020,10,10102010,B,NJ,USA,324110,972-940-6000,,,01,2911,390,935,B+,TX,0,corporate.exxonmobil.com,,
004503,01,20081009,XOM,30231G102,EXXON MOBIL CORP,,,,,,,,,,,,,,,,,USD,,1.0000,5194003000.0000,68699510.0000,1.6000,8.1700,6,68.0000,78.4500,67.4700,77.6000,3,2.54185532,11,A,0,0000034088,USA,5959 Las Colinas Boulevard,,,,75039,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/Other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments.",Irving,Exxon Mobil Corp,A,,,13-5409005,,12,1010,101020,10,10102010,B,NJ,USA,324110,972-940-6000,,,01,2911,390,935,B+,TX,0,corporate.exxonmobil.com,,
004503,01,20081010,XOM,30231G102,EXXON MOBIL CORP,,,,,,,,,,,,,,,,,USD,,1.0000,5194003000.0000,112866100.0000,1.6000,8.1700,6,62.3600,66.0600,56.5100,63.8600,3,2.54185532,11,A,0,0000034088,USA,5959 Las Colinas Boulevard,,,,75039,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/Other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments.",Irving,Exxon Mobil Corp,A,,,13-5409005,,12,1010,101020,10,10102010,B,NJ,USA,324110,972-940-6000,,,01,2911,390,935,B+,TX,0,corporate.exxonmobil.com,,
004503,01,20081013,XOM,30231G102,EXXON MOBIL CORP,,,,,,,,,,,,,,,,,USD,,1.0000,5194003000.0000,64852650.0000,1.6000,8.1700,6,73.0800,73.7400,63.8800,64.9000,3,2.54185532,11,A,0,0000034088,USA,5959 Las Colinas Boulevard,,,,75039,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/Other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments.",Irving,Exxon Mobil Corp,A,,,13-5409005,,12,1010,101020,10,10102010,B,NJ,USA,324110,972-940-6000,,,01,2911,390,935,B+,TX,0,corporate.exxonmobil.com,,
004503,01,20081014,XOM,30231G102,EXXON MOBIL CORP,,,,,,,,,,,,,,,,,USD,,1.0000,5194003000.0000,64125010.0000,1.6000,8.1700,6,72.4600,75.6600,68.7100,75.0500,3,2.54185532,11,A,0,0000034088,USA,5959 Las Colinas Boulevard,,,,75039,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/Other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments.",Irving,Exxon Mobil Corp,A,,,13-5409005,,12,1010,101020,10,10102010,B,NJ,USA,324110,972-940-6000,,,01,2911,390,935,B+,TX,0,corporate.exxonmobil.com,,
