DATE,PCU213111213111
1985-12-01,100.0
1986-01-01,100.0
1986-02-01,97.1
1986-03-01,95.6
1986-04-01,93.5
1986-05-01,92.2
1986-06-01,91.4
1986-07-01,90.0
1986-08-01,89.0
1986-09-01,88.7
1986-10-01,86.7
1986-11-01,85.9
1986-12-01,85.5
1987-01-01,85.3
1987-02-01,85.1
1987-03-01,85.1
1987-04-01,85.0
1987-05-01,84.9
1987-06-01,84.5
1987-07-01,85.2
1987-08-01,85.5
1987-09-01,85.8
1987-10-01,86.3
1987-11-01,86.2
1987-12-01,86.8
1988-01-01,87.7
1988-02-01,89.4
1988-03-01,89.9
1988-04-01,89.7
1988-05-01,89.9
1988-06-01,89.9
1988-07-01,89.7
1988-08-01,87.8
1988-09-01,87.7
1988-10-01,87.5
1988-11-01,87.4
1988-12-01,87.4
1989-01-01,87.5
1989-02-01,87.5
1989-03-01,87.4
1989-04-01,86.9
1989-05-01,86.7
1989-06-01,87.0
1989-07-01,87.4
1989-08-01,87.5
1989-09-01,87.7
1989-10-01,87.7
1989-11-01,88.2
1989-12-01,88.6
1990-01-01,90.3
1990-02-01,90.2
1990-03-01,90.4
1990-04-01,90.3
1990-05-01,90.1
1990-06-01,90.7
1990-07-01,91.0
1990-08-01,91.3
1990-09-01,91.4
1990-10-01,92.9
1990-11-01,93.4
1990-12-01,94.0
1991-01-01,94.2
1991-02-01,95.0
1991-03-01,95.2
1991-04-01,95.5
1991-05-01,95.7
1991-06-01,95.0
1991-07-01,95.1
1991-08-01,93.8
1991-09-01,94.3
1991-10-01,92.3
1991-11-01,92.0
1991-12-01,92.1
1992-01-01,91.7
1992-02-01,90.7
1992-03-01,90.5
1992-04-01,88.6
1992-05-01,88.7
1992-06-01,88.3
1992-07-01,87.6
1992-08-01,87.7
1992-09-01,88.4
1992-10-01,89.6
1992-11-01,90.3
1992-12-01,93.3
1993-01-01,97.1
1993-02-01,97.1
1993-03-01,97.3
1993-04-01,97.9
1993-05-01,98.7
1993-06-01,100.8
1993-07-01,101.4
1993-08-01,102.7
1993-09-01,103.8
1993-10-01,103.2
1993-11-01,103.8
1993-12-01,104.2
1994-01-01,105.0
1994-02-01,104.9
1994-03-01,103.5
1994-04-01,102.1
1994-05-01,102.2
1994-06-01,102.8
1994-07-01,102.2
1994-08-01,102.4
1994-09-01,102.2
1994-10-01,102.0
1994-11-01,104.8
1994-12-01,104.9
1995-01-01,104.6
1995-02-01,103.0
1995-03-01,103.0
1995-04-01,103.0
1995-05-01,102.4
1995-06-01,102.5
1995-07-01,103.3
1995-08-01,104.1
1995-09-01,104.6
1995-10-01,105.6
1995-11-01,106.5
1995-12-01,107.3
1996-01-01,107.6
1996-02-01,107.9
1996-03-01,108.3
1996-04-01,110.5
1996-05-01,113.0
1996-06-01,114.3
1996-07-01,116.4
1996-08-01,116.6
1996-09-01,117.7
1996-10-01,120.3
1996-11-01,123.4
1996-12-01,124.9
1997-01-01,127.8
1997-02-01,129.6
