DATE,PCU21112111
1985-12-01,100.0
1986-01-01,99.7
1986-02-01,90.7
1986-03-01,84.8
1986-04-01,78.8
1986-05-01,77.2
1986-06-01,76.1
1986-07-01,70.4
1986-08-01,68.5
1986-09-01,68.8
1986-10-01,69.3
1986-11-01,69.9
1986-12-01,69.0
1987-01-01,72.3
1987-02-01,72.4
1987-03-01,74.6
1987-04-01,74.5
1987-05-01,74.0
1987-06-01,74.6
1987-07-01,76.1
1987-08-01,77.0
1987-09-01,75.9
1987-10-01,74.0
1987-11-01,72.7
1987-12-01,73.2
1988-01-01,71.3
1988-02-01,70.2
1988-03-01,69.4
1988-04-01,71.8
1988-05-01,71.1
1988-06-01,69.0
1988-07-01,67.9
1988-08-01,66.3
1988-09-01,65.4
1988-10-01,65.9
1988-11-01,65.2
1988-12-01,68.3
1989-01-01,73.0
1989-02-01,74.5
1989-03-01,73.8
1989-04-01,76.7
1989-05-01,78.1
1989-06-01,77.2
1989-07-01,78.1
1989-08-01,72.8
1989-09-01,75.8
1989-10-01,75.2
1989-11-01,75.5
1989-12-01,77.3
1990-01-01,82.0
1990-02-01,82.3
1990-03-01,77.9
1990-04-01,73.1
1990-05-01,73.8
1990-06-01,69.4
1990-07-01,71.8
1990-08-01,80.7
1990-09-01,89.7
1990-10-01,103.0
1990-11-01,97.0
1990-12-01,91.8
1991-01-01,94.8
1991-02-01,81.0
1991-03-01,75.5
1991-04-01,74.1
1991-05-01,76.9
1991-06-01,74.5
1991-07-01,74.9
1991-08-01,75.9
1991-09-01,73.6
1991-10-01,77.6
1991-11-01,79.1
1991-12-01,77.1
1992-01-01,73.5
1992-02-01,73.5
1992-03-01,70.0
1992-04-01,71.8
1992-05-01,73.9
1992-06-01,75.5
1992-07-01,78.1
1992-08-01,76.9
1992-09-01,81.8
1992-10-01,80.3
1992-11-01,83.7
1992-12-01,79.4
1993-01-01,78.7
1993-02-01,75.8
1993-03-01,75.3
1993-04-01,75.9
1993-05-01,80.7
1993-06-01,82.0
1993-07-01,74.6
1993-08-01,73.0
1993-09-01,74.5
1993-10-01,78.8
