DATE,CAPUTLG211S
1972-01-01,92.1507
1972-02-01,92.6166
1972-03-01,93.9506
1972-04-01,95.1226
1972-05-01,95.1452
1972-06-01,94.9777
1972-07-01,94.8572
1972-08-01,95.4481
1972-09-01,96.3450
1972-10-01,95.6009
1972-11-01,95.6087
1972-12-01,95.4341
1973-01-01,94.8038
1973-02-01,95.7847
1973-03-01,94.6611
1973-04-01,94.8788
1973-05-01,95.3075
1973-06-01,95.3632
1973-07-01,95.5818
1973-08-01,95.7254
1973-09-01,95.1426
1973-10-01,95.6158
1973-11-01,95.6548
1973-12-01,95.0937
1974-01-01,95.0101
1974-02-01,95.0249
1974-03-01,94.5473
1974-04-01,94.3003
1974-05-01,94.5068
1974-06-01,93.4711
1974-07-01,93.8992
1974-08-01,93.4741
1974-09-01,92.9711
1974-10-01,92.6426
1974-11-01,92.4593
1974-12-01,92.2968
1975-01-01,92.3909
1975-02-01,92.2394
1975-03-01,91.7724
1975-04-01,92.0971
1975-05-01,91.2221
1975-06-01,92.0086
1975-07-01,91.3848
1975-08-01,91.3622
1975-09-01,91.3455
1975-10-01,91.5147
1975-11-01,91.3139
1975-12-01,91.9063
1976-01-01,92.6829
1976-02-01,91.3293
1976-03-01,91.7526
1976-04-01,91.0067
1976-05-01,91.4042
1976-06-01,91.7542
1976-07-01,91.9030
1976-08-01,91.6749
1976-09-01,91.7533
1976-10-01,91.0067
1976-11-01,91.4072
1976-12-01,91.5227
1977-01-01,90.2407
1977-02-01,92.0412
1977-03-01,91.5494
1977-04-01,91.3739
1977-05-01,90.7486
1977-06-01,90.8564
1977-07-01,90.3785
1977-08-01,91.0788
1977-09-01,92.1300
1977-10-01,91.7730
1977-11-01,91.2428
1977-12-01,91.1565
1978-01-01,90.4657
1978-02-01,90.1722
1978-03-01,92.0487
1978-04-01,93.0920
1978-05-01,92.1493
1978-06-01,93.0997
1978-07-01,93.1961
1978-08-01,92.7232
1978-09-01,92.6752
1978-10-01,92.5698
1978-11-01,91.8885
1978-12-01,91.7847
1979-01-01,91.7871
1979-02-01,92.0230
1979-03-01,92.2191
1979-04-01,92.8428
1979-05-01,93.0431
1979-06-01,92.3263
1979-07-01,91.6761
1979-08-01,93.3410
1979-09-01,93.3761
1979-10-01,94.0068
1979-11-01,95.4977
1979-12-01,94.5275
1980-01-01,95.0956
1980-02-01,94.3193
1980-03-01,95.1210
1980-04-01,94.0524
1980-05-01,93.9898
1980-06-01,92.8847
1980-07-01,92.9008
1980-08-01,91.0931
1980-09-01,93.5994
1980-10-01,92.9421
1980-11-01,92.8289
1980-12-01,94.6428
1981-01-01,93.1986
1981-02-01,92.5235
1981-03-01,93.5502
1981-04-01,93.5234
1981-05-01,93.4072
1981-06-01,94.5355
1981-07-01,93.6591
1981-08-01,95.3073
1981-09-01,93.7383
1981-10-01,93.3482
1981-11-01,92.3428
1981-12-01,92.7898
1982-01-01,91.7417
1982-02-01,92.8684
1982-03-01,92.7688
1982-04-01,91.9033
1982-05-01,91.7220
1982-06-01,91.9756
1982-07-01,91.9672
1982-08-01,91.4228
1982-09-01,91.4444
1982-10-01,91.0783
1982-11-01,91.3854
1982-12-01,89.6334
1983-01-01,90.4223
1983-02-01,89.3174
1983-03-01,88.4834
1983-04-01,89.4410
1983-05-01,88.2532
1983-06-01,88.8692
1983-07-01,89.0938
1983-08-01,89.5525
1983-09-01,89.6575
1983-10-01,90.0656
1983-11-01,90.0204
