DATE,IPG211111CS
1972-01-01,143.1679
1972-02-01,143.9888
1972-03-01,146.9540
1972-04-01,147.8615
1972-05-01,149.1830
1972-06-01,148.5146
1972-07-01,147.9224
1972-08-01,148.3246
1972-09-01,148.9521
1972-10-01,147.0768
1972-11-01,146.5880
1972-12-01,145.7892
1973-01-01,144.5796
1973-02-01,145.1972
1973-03-01,144.1534
1973-04-01,144.5904
1973-05-01,143.8810
1973-06-01,143.6813
1973-07-01,143.6557
1973-08-01,143.4798
1973-09-01,142.0939
1973-10-01,143.1119
1973-11-01,142.5523
1973-12-01,141.5838
1974-01-01,140.8724
1974-02-01,141.3456
1974-03-01,139.4375
1974-04-01,139.5792
1974-05-01,138.6358
1974-06-01,137.0749
1974-07-01,136.9799
1974-08-01,136.1809
1974-09-01,134.3230
1974-10-01,133.6514
1974-11-01,133.3615
1974-12-01,133.2341
1975-01-01,133.4031
1975-02-01,132.9994
1975-03-01,132.1443
1975-04-01,132.0545
1975-05-01,130.5001
1975-06-01,131.4796
1975-07-01,130.1528
1975-08-01,129.1584
1975-09-01,129.7208
1975-10-01,129.1095
1975-11-01,128.7467
1975-12-01,128.8786
1976-01-01,129.8913
1976-02-01,127.6536
1976-03-01,127.9830
1976-04-01,126.2879
1976-05-01,126.5038
1976-06-01,126.3875
1976-07-01,127.0397
1976-08-01,126.9481
1976-09-01,127.5568
1976-10-01,124.9832
1976-11-01,125.4453
1976-12-01,125.7494
1977-01-01,123.8137
1977-02-01,126.4600
1977-03-01,125.6314
1977-04-01,127.3329
1977-05-01,125.5279
1977-06-01,126.4566
1977-07-01,126.6076
1977-08-01,129.4873
1977-09-01,132.0103
1977-10-01,132.3554
1977-11-01,132.5157
1977-12-01,131.8844
1978-01-01,131.0255
1978-02-01,129.9769
1978-03-01,134.7435
1978-04-01,137.0288
1978-05-01,136.3774
1978-06-01,137.3339
1978-07-01,136.0814
1978-08-01,135.6003
1978-09-01,136.3532
1978-10-01,135.6910
1978-11-01,134.3158
1978-12-01,134.0522
1979-01-01,131.9850
1979-02-01,131.9253
1979-03-01,132.4881
1979-04-01,132.5563
1979-05-01,132.6219
1979-06-01,130.9505
1979-07-01,129.7952
1979-08-01,132.1938
1979-09-01,131.7425
1979-10-01,132.5896
1979-11-01,134.3841
1979-12-01,133.0651
1980-01-01,134.4415
1980-02-01,134.0090
1980-03-01,133.4984
1980-04-01,133.7705
1980-05-01,132.6703
1980-06-01,132.1955
1980-07-01,132.3676
1980-08-01,129.8225
1980-09-01,132.7964
1980-10-01,131.1849
1980-11-01,130.3940
1980-12-01,132.8017
1981-01-01,131.8852
1981-02-01,131.9933
1981-03-01,132.0918
1981-04-01,131.6222
1981-05-01,130.5353
1981-06-01,133.1197
1981-07-01,131.4902
1981-08-01,132.6396
1981-09-01,132.3258
1981-10-01,131.7703
1981-11-01,131.8790
1981-12-01,132.4079
1982-01-01,130.8748
1982-02-01,132.8480
1982-03-01,132.6564
1982-04-01,131.9008
1982-05-01,132.9804
1982-06-01,133.1767
1982-07-01,133.7147
1982-08-01,133.4279
1982-09-01,133.5183
1982-10-01,133.8202
1982-11-01,133.6152
1982-12-01,132.5382
1983-01-01,133.5053
1983-02-01,133.2129
1983-03-01,132.8734
1983-04-01,134.6064
1983-05-01,131.8842
1983-06-01,133.3546
1983-07-01,133.2276
1983-08-01,134.4111
1983-09-01,134.6942
1983-10-01,134.8217
1983-11-01,134.6377
1983-12-01,129.2600
1984-01-01,136.0074
1984-02-01,134.4965
1984-03-01,132.1080
1984-04-01,135.6702
1984-05-01,136.3892
1984-06-01,135.9758
1984-07-01,136.7603
1984-08-01,136.7492
1984-09-01,137.9585
1984-10-01,136.7296
1984-11-01,137.5950
1984-12-01,136.7878
1985-01-01,133.7306
1985-02-01,136.5118
