DATE,IPG211S
1972-01-01,107.7361
1972-02-01,107.9986
1972-03-01,109.2762
1972-04-01,110.3692
1972-05-01,110.1281
1972-06-01,109.6714
1972-07-01,109.2776
1972-08-01,109.7129
1972-09-01,110.5076
1972-10-01,109.4314
1972-11-01,109.2290
1972-12-01,108.8299
1973-01-01,107.9233
1973-02-01,108.8587
1973-03-01,107.4093
1973-04-01,107.4890
1973-05-01,107.8072
1973-06-01,107.7000
1973-07-01,107.7726
1973-08-01,107.7521
1973-09-01,106.9040
1973-10-01,107.2297
1973-11-01,107.0526
1973-12-01,106.1920
1974-01-01,105.8527
1974-02-01,105.6086
1974-03-01,104.8058
1974-04-01,104.2511
1974-05-01,104.1892
1974-06-01,102.7532
1974-07-01,102.9270
1974-08-01,102.1661
1974-09-01,101.3256
1974-10-01,100.6820
1974-11-01,100.2032
1974-12-01,99.7557
1975-01-01,99.5942
1975-02-01,99.1758
1975-03-01,98.4276
1975-04-01,98.5377
1975-05-01,97.3707
1975-06-01,97.9804
1975-07-01,97.0924
1975-08-01,96.8469
1975-09-01,96.6090
1975-10-01,96.5692
1975-11-01,96.1434
1975-12-01,96.5590
1976-01-01,97.1752
1976-02-01,95.5680
1976-03-01,95.8364
1976-04-01,94.9040
1976-05-01,95.1887
1976-06-01,95.4512
1976-07-01,95.5373
1976-08-01,95.2688
1976-09-01,95.3548
1976-10-01,94.6196
1976-11-01,95.1119
1976-12-01,95.3411
1977-01-01,94.1454
1977-02-01,96.1965
1977-03-01,95.8855
1977-04-01,95.9331
1977-05-01,95.5292
1977-06-01,95.9125
1977-07-01,95.6837
1977-08-01,96.7012
1977-09-01,98.0878
1977-10-01,97.9615
1977-11-01,97.6274
1977-12-01,97.7387
1978-01-01,97.1659
1978-02-01,96.9759
1978-03-01,99.0738
1978-04-01,100.2262
1978-05-01,99.1971
1978-06-01,100.1678
1978-07-01,100.1882
1978-08-01,99.5778
1978-09-01,99.4126
1978-10-01,99.1807
1978-11-01,98.3301
1978-12-01,98.1007
1979-01-01,97.9902
1979-02-01,98.1384
1979-03-01,98.2545
1979-04-01,98.8373
1979-05-01,98.9775
1979-06-01,98.1488
1979-07-01,97.3960
1979-08-01,99.1011
1979-09-01,99.0705
1979-10-01,99.6653
1979-11-01,101.1637
1979-12-01,100.0474
1980-01-01,100.5524
1980-02-01,99.6279
1980-03-01,100.3635
1980-04-01,99.1218
1980-05-01,98.9402
1980-06-01,97.6645
1980-07-01,97.5746
1980-08-01,95.5804
1980-09-01,98.1235
1980-10-01,97.3614
1980-11-01,97.1840
1980-12-01,99.0374
1981-01-01,97.4955
1981-02-01,96.7726
1981-03-01,97.8422
1981-04-01,97.8209
1981-05-01,97.7138
1981-06-01,98.9136
1981-07-01,98.0180
1981-08-01,99.7630
1981-09-01,98.1368
1981-10-01,97.7389
1981-11-01,96.6902
1981-12-01,97.1552
1982-01-01,96.0474
1982-02-01,97.2096
1982-03-01,97.0812
1982-04-01,96.1461
1982-05-01,95.9238
1982-06-01,96.1549
1982-07-01,96.1131
1982-08-01,95.5146
1982-09-01,95.5127
1982-10-01,95.1120
1982-11-01,95.4216
1982-12-01,93.5891
1983-01-01,94.4179
1983-02-01,93.2776
1983-03-01,92.4282
1983-04-01,93.4592
1983-05-01,92.2560
1983-06-01,92.9459
1983-07-01,93.2336
1983-08-01,93.7731
1983-09-01,93.9479
1983-10-01,94.4454
1983-11-01,94.4721
1983-12-01,92.1926
1984-01-01,97.3360
1984-02-01,95.0989
1984-03-01,94.2933
1984-04-01,96.6388
1984-05-01,97.1343
1984-06-01,97.0227
1984-07-01,97.6511
1984-08-01,97.5090
1984-09-01,97.9346
1984-10-01,97.4199
1984-11-01,97.2933
1984-12-01,96.7337
1985-01-01,94.6109
1985-02-01,96.5672
1985-03-01,95.5958
1985-04-01,95.4218
1985-05-01,95.7444
1985-06-01,95.7926
1985-07-01,95.1443
1985-08-01,95.0194
1985-09-01,95.9773
1985-10-01,95.6904
1985-11-01,94.7834
1985-12-01,97.6011
1986-01-01,97.0579
1986-02-01,95.8830
1986-03-01,94.8852
1986-04-01,92.6769
1986-05-01,93.3575
1986-06-01,92.3866
1986-07-01,93.0042
1986-08-01,91.2335
1986-09-01,90.4312
1986-10-01,90.7592
1986-11-01,91.4964
1986-12-01,91.1425
1987-01-01,92.3511
1987-02-01,91.5511
1987-03-01,92.0786
1987-04-01,92.6510
1987-05-01,91.3017
1987-06-01,91.5094
1987-07-01,91.3817
1987-08-01,91.6697
1987-09-01,91.5307
1987-10-01,92.5745
1987-11-01,92.7172
1987-12-01,92.8554
1988-01-01,91.9635
1988-02-01,91.8433
1988-03-01,92.7425
1988-04-01,91.8444
1988-05-01,92.4257
1988-06-01,92.3077
1988-07-01,91.5759
1988-08-01,92.0339
1988-09-01,90.6192
1988-10-01,91.0519
1988-11-01,90.8084
1988-12-01,90.3036
1989-01-01,89.4523
1989-02-01,89.0857
1989-03-01,88.0536
1989-04-01,90.1295
1989-05-01,90.7678
1989-06-01,89.6304
1989-07-01,88.8607
1989-08-01,88.8075
1989-09-01,88.5527
1989-10-01,86.1723
1989-11-01,87.5177
1989-12-01,85.6037
1990-01-01,88.3895
1990-02-01,87.7765
1990-03-01,87.2389
1990-04-01,87.3995
1990-05-01,87.3729
1990-06-01,86.3968
1990-07-01,87.2349
1990-08-01,88.1653
1990-09-01,87.4853
1990-10-01,89.4175
1990-11-01,88.1413
1990-12-01,87.4088
1991-01-01,88.7764
1991-02-01,89.2352
1991-03-01,88.9885
1991-04-01,89.1652
1991-05-01,88.3374
1991-06-01,87.6753
1991-07-01,87.8269
1991-08-01,87.4692
1991-09-01,88.3500
1991-10-01,88.4298
1991-11-01,88.1775
1991-12-01,88.2300
1992-01-01,87.9605
1992-02-01,86.4457
1992-03-01,86.5019
1992-04-01,87.6593
1992-05-01,87.4429
1992-06-01,88.1152
1992-07-01,88.4520
1992-08-01,85.7250
1992-09-01,86.8980
1992-10-01,87.0434
1992-11-01,86.1185
1992-12-01,86.7801
1993-01-01,85.8245
1993-02-01,85.9383
1993-03-01,86.3001
1993-04-01,86.0631
1993-05-01,85.5574
1993-06-01,85.7222
1993-07-01,85.1629
1993-08-01,85.8547
1993-09-01,85.6473
1993-10-01,85.9279
1993-11-01,85.9562
1993-12-01,85.8669
1994-01-01,86.0567
1994-02-01,85.6579
1994-03-01,86.2793
1994-04-01,85.6454
1994-05-01,86.6247
1994-06-01,86.1604
1994-07-01,86.2055
1994-08-01,86.4551
1994-09-01,86.0530
1994-10-01,85.3790
1994-11-01,86.1923
1994-12-01,87.2568
1995-01-01,86.0222
1995-02-01,86.1254
1995-03-01,85.0396
1995-04-01,85.6449
1995-05-01,85.8193
1995-06-01,85.6277
1995-07-01,85.2737
1995-08-01,84.8849
1995-09-01,84.6661
1995-10-01,83.4399
1995-11-01,85.4649
1995-12-01,85.0880
1996-01-01,84.6107
1996-02-01,85.0261
1996-03-01,85.2927
1996-04-01,85.5342
1996-05-01,84.7006
1996-06-01,85.9642
1996-07-01,85.2645
1996-08-01,85.6775
1996-09-01,86.2667
1996-10-01,85.4696
1996-11-01,85.1600
1996-12-01,85.2443
1997-01-01,84.9962
1997-02-01,85.6759
1997-03-01,85.5572
1997-04-01,84.9956
1997-05-01,85.5691
1997-06-01,85.0745
1997-07-01,85.4726
1997-08-01,85.1598
1997-09-01,86.2201
1997-10-01,85.4700
1997-11-01,84.3883
1997-12-01,84.6835
1998-01-01,86.8622
1998-02-01,85.7876
1998-03-01,85.5691
1998-04-01,86.3901
1998-05-01,85.9956
1998-06-01,85.2467
1998-07-01,84.0912
1998-08-01,84.9347
1998-09-01,80.4247
1998-10-01,83.0755
1998-11-01,82.7392
1998-12-01,81.8471
1999-01-01,82.4617
1999-02-01,82.5545
1999-03-01,81.8002
1999-04-01,81.9795
1999-05-01,81.4660
1999-06-01,81.7418
1999-07-01,82.2791
1999-08-01,82.0452
1999-09-01,82.2772
1999-10-01,82.6277
1999-11-01,83.1592
1999-12-01,83.3966
2000-01-01,82.6550
2000-02-01,82.5114
2000-03-01,83.0710
2000-04-01,82.3684
2000-05-01,82.5439
2000-06-01,82.9724
2000-07-01,82.9909
2000-08-01,83.5640
2000-09-01,83.3273
2000-10-01,83.5602
2000-11-01,82.9291
2000-12-01,82.3693
2001-01-01,82.2041
2001-02-01,83.2162
2001-03-01,83.4320
2001-04-01,83.9001
2001-05-01,84.1108
2001-06-01,83.5192
2001-07-01,83.7837
2001-08-01,83.6748
2001-09-01,84.0584
2001-10-01,83.7932
2001-11-01,83.9036
2001-12-01,83.6856
2002-01-01,82.8692
2002-02-01,82.6297
2002-03-01,81.9071
2002-04-01,82.3375
2002-05-01,82.9828
2002-06-01,82.7689
2002-07-01,83.0153
2002-08-01,82.5585
2002-09-01,79.3487
2002-10-01,77.8478
2002-11-01,81.1885
2002-12-01,81.5949
2003-01-01,81.7887
2003-02-01,82.1790
2003-03-01,81.7314
2003-04-01,81.2531
2003-05-01,80.0177
2003-06-01,80.2649
2003-07-01,79.6439
2003-08-01,80.8827
2003-09-01,81.3737
2003-10-01,81.0418
2003-11-01,80.3887
2003-12-01,80.2515
2004-01-01,80.6783
2004-02-01,79.8101
2004-03-01,79.6512
2004-04-01,79.5574
2004-05-01,78.9472
2004-06-01,78.4607
2004-07-01,80.1228
2004-08-01,78.8876
2004-09-01,76.4328
2004-10-01,76.9371
2004-11-01,78.8762
2004-12-01,79.0588
2005-01-01,78.8774
2005-02-01,79.6283
2005-03-01,79.7945
2005-04-01,79.4363
2005-05-01,78.8137
2005-06-01,78.4784
2005-07-01,77.6106
2005-08-01,77.0843
2005-09-01,66.5554
2005-10-01,68.9987
2005-11-01,73.0654
2005-12-01,73.9964
2006-01-01,75.5719
2006-02-01,74.9135
2006-03-01,74.5897
2006-04-01,75.2139
2006-05-01,75.7827
2006-06-01,76.7279
2006-07-01,77.2124
2006-08-01,77.1528
2006-09-01,77.7078
2006-10-01,77.9608
2006-11-01,77.1430
2006-12-01,77.9132
2007-01-01,76.8809
2007-02-01,76.8874
2007-03-01,76.9353
2007-04-01,77.3191
2007-05-01,78.2374
2007-06-01,77.4417
2007-07-01,78.1919
2007-08-01,78.1298
2007-09-01,78.0747
2007-10-01,78.8404
2007-11-01,79.3069
2007-12-01,79.4724
2008-01-01,79.5438
2008-02-01,79.4650
2008-03-01,79.9324
2008-04-01,80.2154
2008-05-01,79.6637
2008-06-01,80.4037
2008-07-01,82.7269
2008-08-01,80.7915
2008-09-01,67.6049
2008-10-01,76.6656
2008-11-01,80.1701
2008-12-01,79.8841
2009-01-01,81.4458
2009-02-01,81.8614
2009-03-01,81.4975
2009-04-01,81.9448
2009-05-01,82.6669
2009-06-01,82.5726
2009-07-01,84.2547
2009-08-01,84.4545
2009-09-01,84.9795
2009-10-01,84.3270
2009-11-01,83.0599
2009-12-01,82.8883
2010-01-01,83.2189
2010-02-01,84.4161
2010-03-01,84.3280
2010-04-01,83.9025
2010-05-01,84.2125
2010-06-01,84.6624
2010-07-01,85.0981
2010-08-01,86.4868
2010-09-01,88.1130
2010-10-01,87.7041
2010-11-01,87.2094
2010-12-01,87.8964
2011-01-01,86.6986
2011-02-01,84.2268
2011-03-01,88.1958
2011-04-01,88.3436
2011-05-01,89.1945
2011-06-01,89.8435
2011-07-01,88.8788
2011-08-01,90.9771
2011-09-01,89.8845
2011-10-01,92.7599
2011-11-01,94.2784
2011-12-01,94.7147
2012-01-01,96.7269
2012-02-01,96.4740
2012-03-01,97.2656
2012-04-01,97.0736
2012-05-01,98.2105
2012-06-01,98.3780
2012-07-01,100.4802
2012-08-01,98.9842
2012-09-01,101.6042
2012-10-01,104.2178
2012-11-01,104.9077
2012-12-01,105.6774
2013-01-01,105.1606
2013-02-01,106.3574
2013-03-01,106.8992
2013-04-01,108.3492
2013-05-01,108.7507
2013-06-01,109.3651
2013-07-01,111.8687
2013-08-01,112.1357
2013-09-01,114.4995
2013-10-01,112.4284
2013-11-01,113.7696
2013-12-01,114.4168
2014-01-01,116.7033
2014-02-01,118.0894
2014-03-01,119.6750
2014-04-01,122.8828
2014-05-01,124.1562
2014-06-01,126.8127
2014-07-01,127.4696
2014-08-01,128.5011
2014-09-01,129.8303
2014-10-01,130.8220
2014-11-01,130.0715
2014-12-01,133.5039
2015-01-01,133.1540
2015-02-01,134.2910
2015-03-01,134.6823
2015-04-01,135.6711
2015-05-01,134.5918
2015-06-01,134.6157
2015-07-01,134.7636
2015-08-01,134.5316
2015-09-01,135.0857
2015-10-01,133.6251
2015-11-01,131.6077
2015-12-01,132.7025
2016-01-01,132.5283
2016-02-01,131.6008
2016-03-01,130.8875
2016-04-01,128.9798
2016-05-01,129.3395
2016-06-01,128.7911
2016-07-01,128.0676
2016-08-01,127.2585
2016-09-01,125.4367
