DATE,CES5552000001
1990-01-01,4966.9
1990-02-01,4972.3
1990-03-01,4969.3
1990-04-01,4969.3
1990-05-01,4972.4
1990-06-01,4982.2
1990-07-01,4987.7
1990-08-01,4993.1
1990-09-01,4983.7
1990-10-01,4980.3
1990-11-01,4975.4
1990-12-01,4967.1
1991-01-01,4975.6
1991-02-01,4967.3
1991-03-01,4971.3
1991-04-01,4957.2
1991-05-01,4947.4
1991-06-01,4940.4
1991-07-01,4927.8
1991-08-01,4923.9
1991-09-01,4919.5
1991-10-01,4911.3
1991-11-01,4909.1
1991-12-01,4907.8
1992-01-01,4903.0
1992-02-01,4908.6
1992-03-01,4909.0
1992-04-01,4915.6
1992-05-01,4923.2
1992-06-01,4926.8
1992-07-01,4926.3
1992-08-01,4932.9
1992-09-01,4944.7
1992-10-01,4949.9
1992-11-01,4959.0
1992-12-01,4970.3
1993-01-01,4980.4
1993-02-01,4987.3
1993-03-01,4996.6
1993-04-01,5012.3
1993-05-01,5031.1
1993-06-01,5051.4
1993-07-01,5072.8
1993-08-01,5091.1
1993-09-01,5110.0
1993-10-01,5129.1
1993-11-01,5150.3
1993-12-01,5166.8
1994-01-01,5179.3
1994-02-01,5194.0
1994-03-01,5206.3
1994-04-01,5205.8
1994-05-01,5197.0
1994-06-01,5191.8
1994-07-01,5184.5
1994-08-01,5174.2
1994-09-01,5160.8
1994-10-01,5147.6
1994-11-01,5135.0
1994-12-01,5124.0
1995-01-01,5116.2
1995-02-01,5106.9
1995-03-01,5106.6
1995-04-01,5100.8
1995-05-01,5096.1
1995-06-01,5094.1
1995-07-01,5096.5
1995-08-01,5103.0
1995-09-01,5108.7
1995-10-01,5113.7
1995-11-01,5122.3
1995-12-01,5127.3
1996-01-01,5139.0
1996-02-01,5148.4
1996-03-01,5152.2
1996-04-01,5164.5
1996-05-01,5181.0
1996-06-01,5195.6
1996-07-01,5207.8
1996-08-01,5221.6
1996-09-01,5234.5
1996-10-01,5243.1
1996-11-01,5256.1
1996-12-01,5266.4
1997-01-01,5278.2
1997-02-01,5291.8
1997-03-01,5303.6
1997-04-01,5324.3
1997-05-01,5342.6
1997-06-01,5360.1
1997-07-01,5383.2
1997-08-01,5408.0
1997-09-01,5427.9
1997-10-01,5448.2
1997-11-01,5473.2
1997-12-01,5502.3
1998-01-01,5520.2
1998-02-01,5542.9
1998-03-01,5569.5
1998-04-01,5588.9
1998-05-01,5610.0
1998-06-01,5629.7
1998-07-01,5648.2
1998-08-01,5663.0
1998-09-01,5674.4
1998-10-01,5697.3
1998-11-01,5710.4
1998-12-01,5723.2
1999-01-01,5740.7
1999-02-01,5744.3
1999-03-01,5754.8
1999-04-01,5764.5
1999-05-01,5771.5
1999-06-01,5776.8
1999-07-01,5784.1
1999-08-01,5784.8
1999-09-01,5780.5
1999-10-01,5778.1
1999-11-01,5779.7
1999-12-01,5781.2
2000-01-01,5771.3
2000-02-01,5769.9
2000-03-01,5762.5
2000-04-01,5758.0
2000-05-01,5756.1
2000-06-01,5758.0
2000-07-01,5759.1
2000-08-01,5772.3
2000-09-01,5785.9
2000-10-01,5785.7
2000-11-01,5795.2
2000-12-01,5804.7
2001-01-01,5807.8
2001-02-01,5824.0
2001-03-01,5839.0
2001-04-01,5844.3
2001-05-01,5857.3
2001-06-01,5872.9
2001-07-01,5858.1
2001-08-01,5879.5
2001-09-01,5874.0
2001-10-01,5887.1
2001-11-01,5901.3
2001-12-01,5902.5
2002-01-01,5903.9
2002-02-01,5900.4
2002-03-01,5899.2
2002-04-01,5904.7
2002-05-01,5900.4
2002-06-01,5903.9
2002-07-01,5911.6
2002-08-01,5918.7
2002-09-01,5926.6
2002-10-01,5953.4
2002-11-01,5966.9
2002-12-01,5980.6
2003-01-01,5988.5
2003-02-01,5995.8
2003-03-01,6004.6
2003-04-01,6020.7
2003-05-01,6036.5
2003-06-01,6034.9
2003-07-01,6037.3
2003-08-01,6036.2
2003-09-01,6035.5
2003-10-01,6024.5
2003-11-01,6018.7
2003-12-01,6008.7
2004-01-01,6007.9
2004-02-01,6009.6
2004-03-01,6014.3
2004-04-01,6022.8
2004-05-01,6026.4
2004-06-01,6030.3
2004-07-01,6018.2
2004-08-01,6021.8
2004-09-01,6019.0
2004-10-01,6017.8
2004-11-01,6017.3
2004-12-01,6025.6
2005-01-01,6036.0
2005-02-01,6029.4
2005-03-01,6020.5
2005-04-01,6027.7
2005-05-01,6031.7
2005-06-01,6044.2
2005-07-01,6054.0
2005-08-01,6070.3
2005-09-01,6078.9
2005-10-01,6108.2
2005-11-01,6126.5
2005-12-01,6127.3
2006-01-01,6142.1
2006-02-01,6162.2
2006-03-01,6182.1
2006-04-01,6194.2
2006-05-01,6197.7
2006-06-01,6183.0
2006-07-01,6195.3
2006-08-01,6200.4
2006-09-01,6216.2
2006-10-01,6218.4
2006-11-01,6219.2
2006-12-01,6219.6
2007-01-01,6215.1
2007-02-01,6215.7
2007-03-01,6206.3
2007-04-01,6185.7
2007-05-01,6196.6
2007-06-01,6195.3
2007-07-01,6199.4
2007-08-01,6174.3
2007-09-01,6153.4
2007-10-01,6143.7
2007-11-01,6134.7
2007-12-01,6128.3
2008-01-01,6119.3
2008-02-01,6116.3
2008-03-01,6115.4
2008-04-01,6113.0
2008-05-01,6105.4
2008-06-01,6093.1
2008-07-01,6084.1
2008-08-01,6075.8
2008-09-01,6055.3
2008-10-01,6036.0
2008-11-01,6012.0
2008-12-01,5988.4
2009-01-01,5956.3
2009-02-01,5926.5
2009-03-01,5903.1
2009-04-01,5867.0
2009-05-01,5853.7
2009-06-01,5835.8
2009-07-01,5823.5
2009-08-01,5806.2
2009-09-01,5797.2
2009-10-01,5786.3
2009-11-01,5788.3
2009-12-01,5783.6
2010-01-01,5776.9
2010-02-01,5772.7
2010-03-01,5762.9
2010-04-01,5761.4
2010-05-01,5760.5
2010-06-01,5754.3
2010-07-01,5752.8
2010-08-01,5751.5
2010-09-01,5762.2
2010-10-01,5761.1
2010-11-01,5759.5
2010-12-01,5758.4
2011-01-01,5761.2
2011-02-01,5755.9
2011-03-01,5756.4
2011-04-01,5752.5
2011-05-01,5770.2
2011-06-01,5768.0
