DATE,IPG3254N
1972-01-01,26.9923
1972-02-01,26.9592
1972-03-01,26.7923
1972-04-01,26.9651
1972-05-01,26.9112
1972-06-01,27.5733
1972-07-01,27.3354
1972-08-01,26.6552
1972-09-01,27.3070
1972-10-01,27.7753
1972-11-01,28.3224
1972-12-01,29.1104
1973-01-01,28.8577
1973-02-01,29.1552
1973-03-01,29.7485
1973-04-01,29.2037
1973-05-01,29.1142
1973-06-01,29.6328
1973-07-01,29.4643
1973-08-01,29.4272
1973-09-01,29.8998
1973-10-01,30.3364
1973-11-01,30.9145
1973-12-01,31.3905
1974-01-01,31.2397
1974-02-01,31.3360
1974-03-01,31.7960
1974-04-01,31.0600
1974-05-01,32.0579
1974-06-01,32.6622
1974-07-01,32.1148
1974-08-01,32.4644
1974-09-01,32.4054
1974-10-01,32.2958
1974-11-01,32.2011
1974-12-01,32.2827
1975-01-01,31.7512
1975-02-01,31.2287
1975-03-01,31.3683
1975-04-01,31.7167
1975-05-01,31.6083
1975-06-01,31.7835
1975-07-01,31.4895
1975-08-01,31.6139
1975-09-01,32.1627
1975-10-01,32.4819
1975-11-01,33.1093
1975-12-01,33.8502
1976-01-01,34.0179
1976-02-01,33.7158
1976-03-01,34.2248
1976-04-01,33.8357
1976-05-01,34.8043
1976-06-01,35.7558
1976-07-01,34.9052
1976-08-01,35.3508
1976-09-01,35.4455
1976-10-01,35.7493
1976-11-01,35.9607
1976-12-01,36.7880
1977-01-01,35.8350
1977-02-01,36.5398
1977-03-01,36.6892
1977-04-01,36.4541
1977-05-01,36.3849
1977-06-01,36.9860
1977-07-01,35.8748
1977-08-01,35.7523
1977-09-01,36.0647
1977-10-01,36.3613
1977-11-01,36.9063
1977-12-01,37.8611
1978-01-01,36.9411
1978-02-01,36.9729
1978-03-01,37.5582
1978-04-01,38.0575
1978-05-01,38.3612
1978-06-01,39.3372
1978-07-01,38.3225
1978-08-01,38.4232
1978-09-01,38.2851
1978-10-01,38.4624
1978-11-01,38.5185
1978-12-01,39.3537
1979-01-01,38.9417
1979-02-01,38.7058
1979-03-01,38.6484
1979-04-01,37.6628
1979-05-01,37.8112
1979-06-01,38.7153
1979-07-01,38.8429
1979-08-01,38.5969
1979-09-01,39.2312
1979-10-01,39.0883
1979-11-01,40.2167
1979-12-01,41.0486
1980-01-01,41.1812
1980-02-01,40.5304
1980-03-01,40.7734
1980-04-01,40.7523
1980-05-01,40.8235
1980-06-01,41.6740
1980-07-01,40.1268
1980-08-01,40.0572
1980-09-01,40.1157
1980-10-01,40.5308
1980-11-01,41.0021
1980-12-01,41.0779
1981-01-01,40.9795
1981-02-01,40.7249
1981-03-01,40.4451
1981-04-01,40.4603
1981-05-01,40.6767
1981-06-01,41.2979
1981-07-01,40.5988
1981-08-01,40.7982
1981-09-01,41.2780
1981-10-01,41.5346
1981-11-01,41.8375
1981-12-01,42.1205
1982-01-01,41.2736
1982-02-01,41.3620
1982-03-01,41.2700
1982-04-01,41.1764
1982-05-01,41.4132
1982-06-01,41.7551
1982-07-01,41.3800
1982-08-01,42.1950
1982-09-01,41.8854
1982-10-01,42.0594
1982-11-01,42.5876
1982-12-01,43.6017
1983-01-01,43.0333
1983-02-01,42.4497
1983-03-01,42.4681
1983-04-01,43.5235
1983-05-01,43.1966
1983-06-01,44.4513
1983-07-01,44.1874
1983-08-01,43.6292
1983-09-01,44.0958
1983-10-01,44.3802
1983-11-01,44.7502
1983-12-01,45.4375
1984-01-01,44.8091
1984-02-01,44.8528
1984-03-01,44.1138
1984-04-01,44.6092
