DATE,LICTCMDODFS
1945-10-01,0.00
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,0.00
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,0.00
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,0.00
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,0.00
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,0.00
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,0.00
1952-01-01,0.00
1952-04-01,0.00
1952-07-01,0.00
1952-10-01,0.00
1953-01-01,0.00
1953-04-01,0.00
1953-07-01,0.00
1953-10-01,0.00
1954-01-01,0.00
1954-04-01,0.00
1954-07-01,0.00
1954-10-01,0.00
1955-01-01,0.00
1955-04-01,0.00
1955-07-01,0.00
1955-10-01,0.00
1956-01-01,0.00
1956-04-01,0.00
1956-07-01,0.00
1956-10-01,0.00
1957-01-01,0.00
1957-04-01,0.00
1957-07-01,0.00
1957-10-01,0.00
1958-01-01,0.00
1958-04-01,0.00
1958-07-01,0.00
1958-10-01,0.00
1959-01-01,0.00
1959-04-01,0.00
1959-07-01,0.00
1959-10-01,0.00
1960-01-01,0.00
1960-04-01,0.00
1960-07-01,0.00
1960-10-01,0.00
1961-01-01,0.00
1961-04-01,0.00
1961-07-01,0.00
1961-10-01,0.00
1962-01-01,0.00
1962-04-01,0.00
1962-07-01,0.00
1962-10-01,0.00
1963-01-01,0.00
1963-04-01,0.00
1963-07-01,0.00
1963-10-01,0.00
1964-01-01,0.00
1964-04-01,0.00
1964-07-01,0.00
1964-10-01,0.00
1965-01-01,0.00
1965-04-01,0.00
1965-07-01,0.00
1965-10-01,0.00
1966-01-01,0.00
1966-04-01,0.00
1966-07-01,0.00
1966-10-01,0.00
1967-01-01,0.00
1967-04-01,0.00
1967-07-01,0.00
1967-10-01,0.00
1968-01-01,0.00
1968-04-01,0.00
1968-07-01,0.00
1968-10-01,0.00
1969-01-01,0.00
1969-04-01,0.00
1969-07-01,0.00
1969-10-01,0.00
1970-01-01,0.00
1970-04-01,0.00
1970-07-01,0.00
1970-10-01,0.00
1971-01-01,0.00
1971-04-01,0.00
1971-07-01,0.00
1971-10-01,0.00
1972-01-01,0.00
1972-04-01,0.00
1972-07-01,0.00
1972-10-01,0.00
1973-01-01,0.00
1973-04-01,0.00
1973-07-01,0.00
1973-10-01,0.00
1974-01-01,0.00
1974-04-01,0.00
1974-07-01,0.00
1974-10-01,0.00
1975-01-01,0.00
1975-04-01,0.00
1975-07-01,0.00
1975-10-01,0.00
1976-01-01,0.00
1976-04-01,0.00
1976-07-01,0.00
1976-10-01,0.00
1977-01-01,0.00
1977-04-01,0.00
1977-07-01,0.00
1977-10-01,0.00
1978-01-01,0.00
1978-04-01,0.00
1978-07-01,0.00
1978-10-01,0.00
1979-01-01,0.00
1979-04-01,0.00
1979-07-01,0.00
1979-10-01,0.00
1980-01-01,0.00
1980-04-01,0.00
1980-07-01,0.00
1980-10-01,0.00
1981-01-01,0.00
1981-04-01,0.00
1981-07-01,0.00
1981-10-01,0.00
1982-01-01,0.00
1982-04-01,0.00
1982-07-01,0.00
1982-10-01,0.00
1983-01-01,0.00
1983-04-01,0.00
1983-07-01,0.00
1983-10-01,0.00
1984-01-01,0.00
1984-04-01,0.00
1984-07-01,0.00
1984-10-01,0.00
1985-01-01,0.00
1985-04-01,0.00
1985-07-01,0.00
1985-10-01,0.00
1986-01-01,0.00
1986-04-01,0.00
1986-07-01,0.00
1986-10-01,0.00
1987-01-01,0.00
1987-04-01,0.00
1987-07-01,0.00
1987-10-01,0.00
1988-01-01,0.00
1988-04-01,0.00
1988-07-01,0.00
1988-10-01,0.00
1989-01-01,0.00
1989-04-01,0.00
1989-07-01,0.00
1989-10-01,0.00
1990-01-01,0.00
1990-04-01,0.00
1990-07-01,0.00
1990-10-01,0.00
1991-01-01,0.00
1991-04-01,0.00
1991-07-01,0.00
1991-10-01,0.00
1992-01-01,1.00
1992-04-01,4.00
1992-07-01,49.00
1992-10-01,7.00
1993-01-01,39.00
1993-04-01,184.00
1993-07-01,149.00
1993-10-01,246.00
1994-01-01,255.00
1994-04-01,261.00
1994-07-01,269.00
1994-10-01,592.00
1995-01-01,585.00
1995-04-01,622.00
1995-07-01,609.00
1995-10-01,512.00
1996-01-01,1143.00
1996-04-01,1213.00
1996-07-01,1112.00
1996-10-01,1600.00
1997-01-01,1788.00
1997-04-01,1822.00
1997-07-01,1867.00
1997-10-01,1783.00
1998-01-01,1785.00
1998-04-01,1632.00
1998-07-01,2037.00
1998-10-01,2475.00
1999-01-01,3288.00
1999-04-01,4033.00
1999-07-01,4307.00
1999-10-01,3200.00
2000-01-01,3016.00
2000-04-01,2746.00
2000-07-01,2659.00
2000-10-01,2481.00
2001-01-01,1884.00
2001-04-01,1908.00
2001-07-01,2773.00
2001-10-01,3119.00
2002-01-01,3716.00
2002-04-01,4025.00
2002-07-01,4518.00
2002-10-01,5142.00
2003-01-01,6250.00
2003-04-01,6619.00
2003-07-01,7405.00
2003-10-01,8030.00
2004-01-01,7939.00
2004-04-01,8615.00
2004-07-01,8639.00
2004-10-01,11063.00
2005-01-01,8401.00
2005-04-01,8966.00
2005-07-01,9061.00
2005-10-01,9184.00
2006-01-01,9888.00
2006-04-01,10218.00
2006-07-01,10835.00
2006-10-01,11942.00
2007-01-01,13183.00
2007-04-01,16335.00
2007-07-01,22364.00
2007-10-01,25666.00
2008-01-01,28571.00
2008-04-01,29868.00
2008-07-01,38490.00
2008-10-01,49291.00
2009-01-01,49647.00
2009-04-01,47622.00
2009-07-01,44951.00
2009-10-01,45471.00
2010-01-01,45006.00
2010-04-01,43774.00
2010-07-01,43540.00
2010-10-01,43415.00
2011-01-01,44236.00
2011-04-01,44280.00
2011-07-01,44600.00
2011-10-01,44912.00
2012-01-01,46123.00
2012-04-01,49535.00
2012-07-01,49443.00
2012-10-01,48151.00
2013-01-01,49123.00
2013-04-01,50330.00
2013-07-01,49441.00
2013-10-01,50111.00
2014-01-01,50498.00
2014-04-01,51081.00
2014-07-01,51402.00
2014-10-01,51928.00
2015-01-01,54076.00
2015-04-01,56223.00
2015-07-01,57239.00
2015-10-01,58121.00
2016-01-01,61115.00
2016-04-01,65710.00
2016-07-01,67995.00
2016-10-01,68257.00
2017-01-01,71198.00
2017-04-01,71225.0
2017-07-01,72040.0
2017-10-01,74757.0
2018-01-01,78800.0
2018-04-01,79790.0
2018-07-01,79642.0
2018-10-01,81141.0
2019-01-01,82173.0
2019-04-01,82196.0
2019-07-01,86127.0
