DATE,PCU32543254
1984-12-01,100.0
1985-01-01,100.8
1985-02-01,102.0
1985-03-01,103.5
1985-04-01,104.1
1985-05-01,104.9
1985-06-01,104.7
1985-07-01,106.4
1985-08-01,105.9
1985-09-01,106.6
1985-10-01,107.1
1985-11-01,108.0
1985-12-01,107.3
1986-01-01,109.2
1986-02-01,109.7
1986-03-01,110.9
1986-04-01,111.7
1986-05-01,112.0
1986-06-01,111.9
1986-07-01,112.3
1986-08-01,112.3
1986-09-01,113.1
1986-10-01,113.7
1986-11-01,114.4
1986-12-01,114.9
1987-01-01,116.2
1987-02-01,116.9
1987-03-01,118.0
1987-04-01,118.8
1987-05-01,119.8
1987-06-01,119.3
1987-07-01,119.8
1987-08-01,120.0
1987-09-01,121.1
1987-10-01,120.5
1987-11-01,122.6
1987-12-01,122.6
1988-01-01,123.6
1988-02-01,124.3
1988-03-01,125.7
1988-04-01,126.2
1988-05-01,127.5
1988-06-01,127.5
1988-07-01,128.7
1988-08-01,128.9
1988-09-01,129.9
1988-10-01,130.5
1988-11-01,132.0
1988-12-01,132.1
1989-01-01,134.3
1989-02-01,134.4
1989-03-01,135.9
1989-04-01,136.8
1989-05-01,136.7
1989-06-01,138.0
1989-07-01,138.6
1989-08-01,139.6
1989-09-01,139.3
1989-10-01,139.9
1989-11-01,140.7
1989-12-01,141.1
1990-01-01,142.6
1990-02-01,143.9
1990-03-01,144.9
1990-04-01,145.8
1990-05-01,146.3
1990-06-01,146.1
1990-07-01,146.8
1990-08-01,147.4
1990-09-01,147.5
1990-10-01,148.6
1990-11-01,149.7
1990-12-01,150.2
1991-01-01,151.3
1991-02-01,152.5
1991-03-01,152.8
1991-04-01,155.1
1991-05-01,155.5
1991-06-01,156.1
1991-07-01,157.7
1991-08-01,158.3
1991-09-01,157.3
1991-10-01,159.0
1991-11-01,159.0
1991-12-01,159.2
1992-01-01,160.9
1992-02-01,162.6
1992-03-01,163.6
1992-04-01,165.1
1992-05-01,165.6
1992-06-01,165.8
1992-07-01,166.4
1992-08-01,167.2
1992-09-01,167.0
1992-10-01,167.9
1992-11-01,167.8
1992-12-01,168.7
1993-01-01,169.8
1993-02-01,171.0
1993-03-01,170.9
1993-04-01,172.2
1993-05-01,172.2
1993-06-01,172.7
1993-07-01,173.1
1993-08-01,173.7
1993-09-01,173.5
1993-10-01,173.9
1993-11-01,173.6
1993-12-01,172.5
1994-01-01,173.6
1994-02-01,173.4
1994-03-01,173.8
1994-04-01,174.3
1994-05-01,174.9
1994-06-01,175.1
1994-07-01,175.1
1994-08-01,175.0
1994-09-01,175.2
1994-10-01,175.3
1994-11-01,175.8
1994-12-01,176.2
1995-01-01,176.7
1995-02-01,176.8
1995-03-01,177.2
1995-04-01,178.3
1995-05-01,178.5
1995-06-01,178.6
