DATE,DIFSRG3Q086SBEA
1947-01-01,7.832
1947-04-01,7.89
1947-07-01,8.148
1947-10-01,8.279
1948-01-01,8.303
1948-04-01,8.407
1948-07-01,8.55
1948-10-01,8.578
1949-01-01,8.556
1949-04-01,8.574
1949-07-01,8.613
1949-10-01,8.677
1950-01-01,8.728
1950-04-01,8.701
1950-07-01,8.764
1950-10-01,8.837
1951-01-01,8.84
1951-04-01,8.816
1951-07-01,8.831
1951-10-01,8.939
1952-01-01,9.084
1952-04-01,9.261
1952-07-01,9.515
1952-10-01,9.742
1953-01-01,10.124
1953-04-01,10.35
1953-07-01,10.575
1953-10-01,10.705
1954-01-01,10.777
1954-04-01,10.779
1954-07-01,10.81
1954-10-01,10.879
1955-01-01,11.006
1955-04-01,11.049
1955-07-01,11.115
1955-10-01,11.221
1956-01-01,11.317
1956-04-01,11.359
1956-07-01,11.44
1956-10-01,11.549
1957-01-01,11.705
1957-04-01,11.77
1957-07-01,11.854
1957-10-01,11.901
1958-01-01,11.917
1958-04-01,11.912
1958-07-01,12.042
1958-10-01,12.209
1959-01-01,12.629
1959-04-01,12.617
1959-07-01,12.692
1959-10-01,12.843
1960-01-01,13.029
1960-04-01,13.174
1960-07-01,13.333
1960-10-01,13.484
1961-01-01,13.491
1961-04-01,13.531
1961-07-01,13.729
1961-10-01,13.922
1962-01-01,14.152
1962-04-01,14.259
1962-07-01,14.242
1962-10-01,14.245
1963-01-01,14.289
1963-04-01,14.257
1963-07-01,14.345
1963-10-01,14.457
1964-01-01,14.65
1964-04-01,14.819
1964-07-01,14.969
1964-10-01,15.11
1965-01-01,15.105
1965-04-01,15.152
1965-07-01,15.284
1965-10-01,15.464
1966-01-01,15.797
1966-04-01,16.065
1966-07-01,16.293
1966-10-01,16.436
1967-01-01,16.361
1967-04-01,16.352
1967-07-01,16.49
1967-10-01,16.783
1968-01-01,17.138
1968-04-01,17.598
1968-07-01,18.049
1968-10-01,18.416
1969-01-01,18.846
1969-04-01,19.178
1969-07-01,19.452
1969-10-01,19.766
1970-01-01,19.967
1970-04-01,20.142
1970-07-01,20.336
1970-10-01,20.648
1971-01-01,20.904
1971-04-01,21.283
1971-07-01,21.715
1971-10-01,22.032
1972-01-01,22.484
1972-04-01,22.703
1972-07-01,22.921
1972-10-01,23.016
1973-01-01,22.769
1973-04-01,23.086
1973-07-01,23.41
1973-10-01,23.778
1974-01-01,24.357
1974-04-01,24.837
1974-07-01,25.352
1974-10-01,25.854
1975-01-01,26.278
1975-04-01,26.745
1975-07-01,26.962
1975-10-01,27.486
1976-01-01,27.67
1976-04-01,27.47
1976-07-01,28.097
1976-10-01,28.489
1977-01-01,28.727
1977-04-01,29.636
1977-07-01,30.753
1977-10-01,31.529
1978-01-01,32.759
1978-04-01,33.861
1978-07-01,34.183
1978-10-01,34.991
1979-01-01,33.646
1979-04-01,36.233
1979-07-01,36.747
1979-10-01,36.777
1980-01-01,37.158
1980-04-01,37.954
1980-07-01,39.012
1980-10-01,41.001
1981-01-01,42.163
1981-04-01,42.058
1981-07-01,41.652
1981-10-01,41.545
1982-01-01,42.544
1982-04-01,43.483
1982-07-01,45.286
1982-10-01,46.874
1983-01-01,47.93
1983-04-01,46.527
1983-07-01,50.043
1983-10-01,49.522
1984-01-01,49.483
1984-04-01,51.389
1984-07-01,52.743
1984-10-01,52.661
1985-01-01,55.475
1985-04-01,55.146
1985-07-01,56.474
1985-10-01,55.237
1986-01-01,57.554
1986-04-01,56.925
1986-07-01,55.892
1986-10-01,55.613
1987-01-01,53.566
