 
                                                                                                                                                                                                                                                                
 
gvkey     datadate    fyearq    fqtr    tic                     epsfxq                 revtq                  ugiq    consol    indfmt          datafmt         popsrc    datafqtr    datacqtr    curcdq    costat

005783    20100331      2010       1    JBHT                    0.2900              844.6730                 .          C       INDL            STD               D        2010Q1      2010Q1      USD        A   
005783    20100630      2010       2    JBHT                    0.4000              942.7760                 .          C       INDL            STD               D        2010Q2      2010Q2      USD        A   
005783    20100930      2010       3    JBHT                    0.4100              986.0240                 .          C       INDL            STD               D        2010Q3      2010Q3      USD        A   
005783    20101231      2010       4    JBHT                    0.4600             1020.0120                 .          C       INDL            STD               D        2010Q4      2010Q4      USD        A   
005783    20110331      2011       1    JBHT                    0.4000             1000.7800                 .          C       INDL            STD               D        2011Q1      2011Q1      USD        A   
005783    20110630      2011       2    JBHT                    0.5300             1149.8550                 .          C       INDL            STD               D        2011Q2      2011Q2      USD        A   
005783    20110930      2011       3    JBHT                    0.5700             1171.2700                 .          C       INDL            STD               D        2011Q3      2011Q3      USD        A   
005783    20111231      2011       4    JBHT                    0.6100             1204.9370                 .          C       INDL            STD               D        2011Q4      2011Q4      USD        A   
005783    20120331      2012       1    JBHT                    0.5700             1165.9220                 .          C       INDL            STD               D        2012Q1      2012Q1      USD        A   
005783    20120630      2012       2    JBHT                    0.6700             1255.1300                 .          C       INDL            STD               D        2012Q2      2012Q2      USD        A   
005783    20120930      2012       3    JBHT                    0.6500             1295.7920                 .          C       INDL            STD               D        2012Q3      2012Q3      USD        A   
005783    20121231      2012       4    JBHT                    0.7000             1338.1360                 .          C       INDL            STD               D        2012Q4      2012Q4      USD        A   
005783    20130331      2013       1    JBHT                    0.6100             1291.5870                 .          C       INDL            STD               D        2013Q1      2013Q1      USD        A   
005783    20130630      2013       2    JBHT                    0.7300             1382.8570                 .          C       INDL            STD               D        2013Q2      2013Q2      USD        A   
005783    20130930      2013       3    JBHT                    0.7500             1435.8510                 .          C       INDL            STD               D        2013Q3      2013Q3      USD        A   
005783    20131231      2013       4    JBHT                    0.7700             1474.2760                 .          C       INDL            STD               D        2013Q4      2013Q4      USD        A   
005783    20140331      2014       1    JBHT                    0.5800             1406.9080                 .          C       INDL            STD               D        2014Q1      2014Q1      USD        A   
005783    20140630      2014       2    JBHT                    0.7900             1547.8660                 .          C       INDL            STD               D        2014Q2      2014Q2      USD        A   
005783    20140930      2014       3    JBHT                    0.8700             1601.1560                 .          C       INDL            STD               D        2014Q3      2014Q3      USD        A   
005783    20141231      2014       4    JBHT                    0.9300             1609.5110                 .          C       INDL            STD               D        2014Q4      2014Q4      USD        A   
005783    20150331      2015       1    JBHT                    0.7800             1440.1800                 .          C       INDL            STD               D        2015Q1      2015Q1      USD        A   
005783    20150630      2015       2    JBHT                    0.8800             1539.9570                 .          C       INDL            STD               D        2015Q2      2015Q2      USD        A   
005783    20150930      2015       3    JBHT                    0.9900             1586.4940                 .          C       INDL            STD               D        2015Q3      2015Q3      USD        A   
005783    20151231      2015       4    JBHT                    1.0100             1621.0150                 .          C       INDL            STD               D        2015Q4      2015Q4      USD        A   
005783    20160331      2016       1    JBHT                    0.8800             1528.7120                 .          C       INDL            STD               D        2016Q1      2016Q1      USD        A   
005783    20160630      2016       2    JBHT                    0.9200             1615.0260                 .          C       INDL            STD               D        2016Q2      2016Q2      USD        A   
005783    20160930      2016       3    JBHT                    0.9700             1690.6590                 .          C       INDL            STD               D        2016Q3      2016Q3      USD        A   
005783    20161231      2016       4    JBHT                    1.0500             1721.0620                 .          C       INDL            STD               D        2016Q4      2016Q4      USD        A   
005783    20170331      2017       1    JBHT                    0.9200             1629.1580                 .          C       INDL            STD               D        2017Q1      2017Q1      USD        A   
005783    20170630      2017       2    JBHT                    0.8800             1726.9150                 .          C       INDL            STD               D        2017Q2      2017Q2      USD        A   
005783    20170930      2017       3    JBHT                    0.9100             1843.3350                 .          C       INDL            STD               D        2017Q3      2017Q3      USD        A   
